station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TL,2023-01-14 15:10:00,11.9,1014.5,,89,10,,,,22.5,224,11.9,11.9,,,,,,0,0,0,,,,,,@@@@188.5@@@22.5@11.2@10.4@11.2@4:00am@4:06am@12.2@12.2@0@85@85@88@4:05am@4:00am@1600@1600@+0100,wlkIPxml
000TL,2023-01-14 15:20:00,11.9,1014.4,,89,10,,6.4,,29,224,11.9,11.9,,,,,,0,0,0,,,,,,@@@@188.5@@@29@11.9@10.4@11.9@4:00am@4:20pm@12.2@12.2@0@83@83@88@4:17pm@4:00am@1600@1600@+0100,wlkIPxml
000TL,2023-01-14 15:40:00,12,1014.1,,88,10,,8,,22.5,224,11.9,12,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.4@10.4@12.4@4:00am@4:38pm@12.2@12.2@0@81@81@88@4:35pm@4:00am@1639@1600@+0100,wlkIPxml
000TL,2023-01-14 15:50:00,12,1014.1,,88,10,,6.4,,29,224,11.9,12,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.6@10.4@12.6@4:00am@4:46pm@11.7@12.2@0@80@80@88@4:46pm@4:00am@1639@1600@+0100,wlkIPxml
000TL,2023-01-14 16:10:00,11.9,1013.9,,89,10,,6.4,,17.7,224,11.9,12.1,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.7@10.4@12.7@4:00am@5:07pm@11.7@12.2@0@80@79@88@5:08pm@4:00am@1653@1600@+0100,wlkIPxml
000TL,2023-01-14 16:20:00,11.8,1013.8,,89,10,,6.4,,24.1,224,11.8,12.1,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.8@10.4@12.8@4:00am@5:15pm@11.7@11.7@0@79@79@88@5:08pm@4:00am@1653@1718@+0100,wlkIPxml
000TL,2023-01-14 16:40:00,11.8,1013.6,,89,10,,6.4,,20.9,224,11.8,12.1,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.8@10.4@12.8@4:00am@5:39pm@11.1@11.7@0@79@78@88@5:35pm@4:00am@1653@1718@+0100,wlkIPxml
000TL,2023-01-14 16:50:00,11.9,1013.6,,88,10,,8,,27.4,224,11.8,12.1,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.8@10.4@12.8@4:00am@5:39pm@11.7@12.2@0@78@78@88@5:35pm@4:00am@1653@1718@+0100,wlkIPxml
000TL,2023-01-14 17:10:00,12.1,1013.5,,88,10,,9.7,,24.1,224,11.8,12.1,,,,,,0,0,0,,,,,,@@@@188.5@@@29@12.9@10.4@12.9@4:00am@6:09pm@11.1@12.2@0@78@78@88@5:35pm@4:00am@1653@1718@+0100,wlkIPxml
000TL,2023-01-14 17:20:00,12.1,1005.6,,88,10,,8,,22.5,224,11.8,12.1,,,,,,0,0,0,,,,,,@@@@188.5@@@29@14@10.4@14@4:00am@6:21pm@11.7@12.2@0@76@76@88@6:20pm@4:00am@1812@1718@+0100,wlkIPxml
