station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TN,2020-10-19 20:00:00,11.3,1010.5,,71,6.3,,20.9,,35.4,142,6.6,13.8,0,0,0,0,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.71@5.4@46.7,weatherlink
000TN,2020-10-19 20:30:00,11.2,1010,,72,6.4,,19.3,,48.3,167,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.78@5.4@48.3,weatherlink
000TN,2020-10-19 20:50:00,11,1009.7,,73,6.3,,19.3,,,177,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.78@5.4@48.3,weatherlink
000TN,2020-10-19 21:00:00,10.9,1009.5,,74,6.5,,19.3,,32.2,121,6.6,13.8,0,0,0,0,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.78@5.4@48.3,weatherlink
000TN,2020-10-19 21:10:00,10.9,1009.5,,74,6.4,,17.7,,27.4,174,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.84@5.4@48.3,weatherlink
000TN,2020-10-19 21:20:00,10.9,1009.3,,74,6.4,,19.3,,41.8,140,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.84@5.4@48.3,weatherlink
000TN,2020-10-19 21:30:00,10.9,1009.4,,74,6.5,,17.7,,37,175,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.84@5.4@48.3,weatherlink
000TN,2020-10-19 21:40:00,11,1009.5,,74,6.5,,19.3,,32.2,164,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.84@5.4@48.3,weatherlink
000TN,2020-10-19 21:50:00,10.9,1009.5,,74,6.5,,19.3,,33.8,170,6.6,13.8,,,,,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.84@5.4@48.3,weatherlink
000TN,2020-10-19 22:00:00,10.8,1008.9,,75,6.6,,17.7,,29,173,6.6,13.8,0,0,0,0,,0,0,0,0,0,,,,0@2.6@533@18.4@316.5@30.84@5.4@48.3,weatherlink
000TN,2020-10-19 22:10:00,10.8,1009.1,,75,6.6,,19.3,,,168,10.8,10.8,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@30.99@5.4@35.4,weatherlink
000TN,2020-10-19 22:20:00,10.9,1008.9,,75,6.6,,20.9,,35.4,169,10.8,10.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@30.99@5.4@35.4,weatherlink
000TN,2020-10-19 22:30:00,10.8,1008.6,,75,6.5,,19.3,,38.6,154,10.8,10.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@30.99@5.4@38.6,weatherlink
000TN,2020-10-19 22:40:00,10.8,1008.7,,75,6.6,,20.9,,35.4,182,10.7,10.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@30.99@5.4@38.6,weatherlink
000TN,2020-10-19 22:50:00,10.9,1008.5,,74,6.4,,22.5,,37,172,10.7,10.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@30.99@5.4@40.2,weatherlink
000TN,2020-10-19 23:00:00,10.9,1008.5,-2,74,6.5,,22.5,,37,142,10.7,10.9,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@30.99@5.4@41.8,weatherlink
000TN,2020-10-19 23:10:00,10.9,1008.5,-2,75,6.7,,19.3,,32.2,201,10.7,10.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.04@5.4@41.8,weatherlink
000TN,2020-10-19 23:20:00,11,1008.3,-2.2,75,6.7,,19.3,,33.8,193,10.7,11.1,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.04@5.4@41.8,weatherlink
000TN,2020-10-19 23:30:00,11.1,1008.2,-2.3,75,6.8,,19.3,,38.6,182,10.7,11.1,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.04@5.4@41.8,weatherlink
000TN,2020-10-19 23:40:00,11.3,1008.2,-2.3,74,6.9,,20.9,,37,171,10.7,11.3,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.04@5.4@41.8,weatherlink
000TN,2020-10-19 23:50:00,11.4,1008.5,-2,75,7.1,,17.7,,29,183,10.7,11.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.04@5.4@41.8,weatherlink
000TN,2020-10-20 00:00:00,11.3,1008.6,,75,7.1,,17.7,,33.8,159,10.7,11.5,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.04@5.4@41.8,weatherlink
000TN,2020-10-20 00:10:00,11.2,1008.4,,76,7.1,,14.5,,27.4,181,10.7,11.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.09@5.4@41.8,weatherlink
000TN,2020-10-20 00:20:00,11.2,1008.3,,76,7.1,,14.5,,27.4,206,10.7,11.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.09@5.4@41.8,weatherlink
000TN,2020-10-20 00:30:00,11.3,1007.9,,77,7.4,,16.1,,29,146,10.7,11.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.09@5.4@41.8,weatherlink
000TN,2020-10-20 00:40:00,11.3,1007.5,,77,7.4,,17.7,,30.6,194,10.7,11.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.09@5.4@41.8,weatherlink
000TN,2020-10-20 00:50:00,11.3,1007.4,,77,7.4,,14.5,,24.1,122,10.7,11.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.09@5.4@41.8,weatherlink
000TN,2020-10-20 01:00:00,11.4,1007.5,,77,7.6,,12.9,,29,194,10.7,11.5,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.09@5.4@41.8,weatherlink
000TN,2020-10-20 01:10:00,11.6,1007.4,,77,7.7,,12.9,,22.5,178,10.7,11.6,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.14@5.4@41.8,weatherlink
000TN,2020-10-20 01:20:00,11.6,1007.3,,78,7.9,,12.9,,24.1,191,10.7,11.7,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.14@5.4@41.8,weatherlink
000TN,2020-10-20 01:30:00,11.6,1007.3,,79,8,,14.5,,24.1,167,10.7,11.7,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.14@5.4@41.8,weatherlink
000TN,2020-10-20 01:40:00,11.6,1007.8,,79,8,,12.9,,22.5,187,10.7,11.7,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.14@5.4@41.8,weatherlink
000TN,2020-10-20 01:50:00,11.6,1007,,79,8,,14.5,,24.1,203,10.7,11.7,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.14@5.4@41.8,weatherlink
000TN,2020-10-20 02:00:00,11.7,1007,,79,8.1,,14.5,,22.5,170,10.7,11.7,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.14@5.4@41.8,weatherlink
000TN,2020-10-20 02:10:00,11.8,1007.1,,79,8.3,,14.5,,24.1,188,10.7,11.8,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.19@5.4@41.8,weatherlink
000TN,2020-10-20 02:20:00,11.9,1006.6,,79,8.4,,14.5,,25.7,161,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.19@5.4@41.8,weatherlink
000TN,2020-10-20 02:30:00,11.9,1006.4,,80,8.6,,12.9,,22.5,188,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.19@5.4@41.8,weatherlink
000TN,2020-10-20 02:40:00,11.9,1006.7,,80,8.5,,12.9,,20.9,171,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.19@5.4@41.8,weatherlink
000TN,2020-10-20 02:50:00,11.8,1006.5,,80,8.5,,9.7,,19.3,173,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.19@5.4@41.8,weatherlink
000TN,2020-10-20 03:00:00,11.7,1006.4,-2.2,81,8.6,,8,,17.7,148,10.7,11.9,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.19@5.4@41.8,weatherlink
000TN,2020-10-20 03:10:00,11.7,1006.6,-2,82,8.7,,11.3,,24.1,168,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.22@5.4@41.8,weatherlink
000TN,2020-10-20 03:20:00,11.7,1006.4,-2.2,82,8.7,,11.3,,22.5,223,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.22@5.4@41.8,weatherlink
000TN,2020-10-20 03:30:00,11.8,1006.4,-2.2,83,9,,11.3,,19.3,147,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.22@5.4@41.8,weatherlink
000TN,2020-10-20 03:40:00,11.9,1006.5,-2.1,84,9.3,,12.9,,24.1,186,10.7,11.9,,,,,,0,0,0,0,0,,,,0@0.0@0@18.4@316.5@31.22@5.4@41.8,weatherlink
000TN,2020-10-20 03:50:00,11.8,1006.4,-2.2,85,9.3,,9.7,,17.7,159,10.7,11.9,,,,,,0.3,0,0,0,0,,,,0@0.0@0@18.4@316.7@31.22@5.4@41.8,weatherlink
000TN,2020-10-20 04:00:00,11.7,1006.4,-1.1,86,9.4,,8,,16.1,173,10.7,11.9,0.3,0,0,0,,0.3,0,0,0,0,,,,0@0.0@0@18.4@316.7@31.22@5.4@41.8,weatherlink
000TN,2020-10-20 04:10:00,11.6,1006.4,-1.1,87,9.5,,8,,14.5,178,10.7,11.9,,,,,,0.3,0,0,0,0,,,,0@0.0@0@18.4@316.7@31.24@5.4@41.8,weatherlink
000TN,2020-10-20 04:20:00,11.6,1006.2,-1.3,87,9.5,,9.7,,16.1,161,10.7,11.9,,,,,,0.3,0,0,0,0,,,,0@0.0@0@18.4@316.7@31.24@5.4@41.8,weatherlink
000TN,2020-10-20 04:30:00,11.4,1006,-1.5,87,9.4,,9.7,,22.5,150,10.7,11.9,,,,,,0.3,0,0,0,0,,,,0@0.0@0@18.4@316.7@31.24@5.4@41.8,weatherlink
000TN,2020-10-20 04:40:00,11.3,1006.1,-1.4,88,9.4,,11.3,,17.7,172,10.7,11.9,,,,,,0.3,0,0,0,0,,,,0@0.0@0@18.4@316.7@31.24@5.4@41.8,weatherlink
000TN,2020-10-20 04:50:00,11.5,1006.2,-1.3,88,9.6,,9.7,,17.7,124,10.7,11.9,,,,,,0.5,0,0,0,0,,,,0@0.0@0@18.4@317.0@31.24@5.4@41.8,weatherlink
000TN,2020-10-20 05:00:00,11.5,1005.7,-1.3,88,9.6,,9.7,,16.1,138,10.7,11.9,0.2,0,0,0,,0.5,0,0,0,0,,,,0@0.0@0@18.4@317.0@31.24@5.4@41.8,weatherlink
000TN,2020-10-20 05:10:00,11.7,1006.1,-0.9,88,9.8,,9.7,,19.3,178,10.7,11.9,,,,,,0.5,0,0,0,0,,,,0@0.0@0@18.4@317.0@31.27@5.4@41.8,weatherlink
