station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TO,2025-01-01 00:00:00,3.8,1030.1,,48,-6.3,,10.6,,22.5,207,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 00:15:00,3.9,1030.1,,47,-6.4,,12.1,,27.4,218,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 00:30:00,4,1029.9,,46,-6.6,,10.5,,20.9,211,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 00:45:00,4,1030.1,,45,-6.8,,9.1,,22.5,215,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 01:00:00,4,1030,,45,-6.9,,9,,19.3,212,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 01:15:00,4,1030.1,,45,-6.8,,9.1,,17.7,222,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 01:30:00,4.3,1030,,44,-7.1,,9.8,,17.7,217,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 01:45:00,4.2,1030.1,,44,-6.9,,9.4,,19.3,205,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 02:00:00,3.9,1030.1,,45,-6.9,,7.9,,16.1,210,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 02:15:00,3.9,1029.9,,46,-6.8,,8.6,,19.3,221,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 02:30:00,4.2,1029.9,,44,-6.9,,10.3,,22.5,214,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 02:45:00,4.3,1029.8,,44,-6.9,,10.7,,20.9,222,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 03:00:00,4.2,1029.6,-0.5,45,-6.8,,9.8,,24.1,220,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 03:15:00,3.9,1029.7,-0.4,45,-6.8,,9.9,,20.9,220,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 03:30:00,3.9,1029.4,-0.7,46,-6.7,,10.5,,22.5,224,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 03:45:00,3.8,1029.4,-0.7,46,-6.6,,9.5,,19.3,222,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 04:00:00,4.1,1029.3,-0.7,46,-6.7,,10.8,,22.5,227,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 04:15:00,4,1029.3,-0.7,46,-6.5,,10.9,,27.4,225,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 04:30:00,3.5,1029.2,-0.8,48,-6.4,,11.1,,22.5,214,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 04:45:00,3.2,1029.2,-0.8,51,-6.2,,10.5,,22.5,218,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 05:00:00,3.1,1029,-1.1,52,-5.9,,11.5,,20.9,220,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 05:15:00,3.1,1029.1,-1,52,-6,,10.7,,22.5,212,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 05:30:00,2.6,1029.1,-1,52,-6.2,,10.2,,19.3,198,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 05:45:00,2.8,1028.9,-1.2,51,-6.4,,9.1,,19.3,202,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 06:00:00,2.9,1028.8,-0.8,50,-6.4,,9.7,,19.3,204,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 06:15:00,3.4,1028.9,-0.7,48,-6.6,,10.5,,20.9,196,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 06:30:00,3.7,1028.7,-0.9,47,-6.7,,10.2,,20.9,201,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 06:45:00,3.8,1028.7,-0.9,47,-6.6,,11,,19.3,197,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 07:00:00,3.8,1028.7,-0.6,47,-6.6,,10.5,,20.9,203,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 07:15:00,3.7,1028.6,-0.7,47,-6.6,,10.2,,25.7,216,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 07:30:00,3.8,1028.5,-0.8,47,-6.4,,10.3,,20.9,217,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 07:45:00,4,1028.5,-0.8,47,-6.3,,10.3,,20.9,220,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 08:00:00,4.3,1028.4,-0.6,47,-6.2,,9.5,,22.5,222,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 08:15:00,5,1028.6,-0.4,44,-6.2,,11.8,,22.5,216,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 08:30:00,5.4,1028.8,-0.2,43,-6.1,,13.3,,24.1,215,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 08:45:00,5.3,1028.9,-0.1,43,-6.2,,12.5,,29,215,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 09:00:00,5.7,1028.9,0.1,42,-6.2,,11.1,,25.7,214,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 09:15:00,5.9,1028.9,0.1,41,-6.3,,11.6,,20.9,203,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 09:30:00,6.1,1028.9,0.1,41,-6.1,,10.6,,19.3,201,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 09:45:00,6.3,1028.8,,42,-5.8,,12,,22.5,209,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 10:00:00,6.7,1028.7,,40,-5.9,,11.5,,24.1,204,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 10:15:00,7.1,1028.7,,40,-5.7,,12.6,,24.1,202,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 10:30:00,7.4,1028.6,-0.1,39,-5.8,,10.5,,20.9,211,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 10:45:00,7.7,1028.4,-0.3,39,-5.4,,12,,22.5,219,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 11:00:00,7.9,1028.2,-0.2,40,-4.9,,11.2,,24.1,206,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 11:15:00,7.9,1028.2,-0.2,38,-5.5,,11.3,,24.1,209,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 11:30:00,7.9,1028,-0.4,39,-5.3,,10.9,,19.3,204,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 11:45:00,8.1,1027.8,-0.6,39,-5,,11.7,,19.3,197,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 12:00:00,7.8,1027.7,-1.2,41,-4.7,,12.6,,24.1,199,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 12:15:00,8,1027.4,-1.5,40,-4.9,,12.9,,25.7,215,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 12:30:00,7.9,1027.1,-1.8,41,-4.4,,13.1,,25.7,222,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 12:45:00,7.7,1026.9,-2,42,-4.3,,15,,29,209,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 13:00:00,7.7,1026.7,-2,43,-4,,13.2,,24.1,205,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 13:15:00,7.7,1026.6,-2.1,44,-3.9,,14.7,,27.4,219,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 13:30:00,7.6,1026.3,-2.4,45,-3.6,,13.5,,27.4,225,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 13:45:00,7.6,1026.3,-2.4,45,-3.5,,13,,30.6,207,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 14:00:00,7.4,1026.2,-2,46,-3.5,,12.8,,25.7,212,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 14:15:00,7.2,1026,-2.2,47,-3.4,,12.2,,24.1,211,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 14:30:00,7.1,1026,-2.2,47,-3.4,,12.1,,22.5,208,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 14:45:00,7.1,1026.1,-2.1,47,-3.6,,10.9,,24.1,228,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 15:00:00,7.1,1026.1,-1.6,46,-3.7,,11.1,,20.9,223,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 15:15:00,6.9,1026,-1.7,47,-3.7,,10.3,,19.3,213,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 15:30:00,6.3,1025.9,-1.8,49,-3.6,,10.2,,20.9,223,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 15:45:00,5.8,1025.9,-1.8,50,-3.8,,8.4,,17.7,213,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 16:00:00,5.6,1025.8,-0.9,50,-3.9,,8.7,,19.3,220,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000TO,2025-01-01 16:15:00,5.5,1025.9,-0.8,51,-3.9,,9.3,,16.1,220,,,,,,,,,0,,,,,,,@@@@0,wlkLive
