station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TP,2021-01-01 00:00:00,2.3,1006,,97,1.9,,0,,0,120,1.3,2.3,0,0,0,0,,0.5,0,2.3,,,,,,@@@2.3@0.5@@1.3@0.0,weatherlink
000TP,2021-01-01 00:10:00,2.7,1006.2,,97,2.3,,0,,0,136,1.3,2.8,,,,,,0.8,0,0,,,,,,@@@2.8@0.8@@1.3@0.0,weatherlink
000TP,2021-01-01 00:20:00,3.2,1006.1,,97,2.7,,0,,0,132,1.3,3.2,,,,,,1,1.8,1.8,,,,,,@@@3.2@1.0@@1.3@0.0,weatherlink
000TP,2021-01-01 00:30:00,3.4,1005.7,,98,3.2,,1.6,,14.5,124,1.3,3.4,,,,,,1.5,3.8,4.6,,,,,,@@@3.4@1.5@@1.3@14.5,weatherlink
000TP,2021-01-01 00:40:00,3.6,1005.4,,97,3.2,,6.4,,14.5,113,1.3,3.7,,,,,,2.3,3.3,4.6,,,,,,@@@3.7@2.3@@1.3@14.5,weatherlink
000TP,2021-01-01 00:50:00,3.7,1005.4,,97,3.2,,3.2,,11.3,111,1.3,3.7,,,,,,2.8,2.8,4.6,,,,,,@@@3.7@2.8@@1.3@14.5,weatherlink
000TP,2021-01-01 01:00:00,3.8,1005.5,,97,3.4,,1.6,,6.4,254,1.3,3.8,3,0,0,0,,3,2.5,4.6,,,,,,@@@3.8@3.0@@1.3@14.5,weatherlink
000TP,2021-01-01 01:10:00,3.9,1005.4,,97,3.5,,0,,1.6,60,1.3,3.9,,,,,,3.6,2.5,2.5,,,,,,@@@3.9@3.6@@1.3@14.5,weatherlink
000TP,2021-01-01 01:20:00,4,1005.4,,97,3.6,,1.6,,8,109,1.3,4,,,,,,3.8,1.8,2.5,,,,,,@@@4.0@3.8@@1.3@14.5,weatherlink
000TP,2021-01-01 01:30:00,4,1005.5,,97,3.6,,4.8,,8,128,1.3,4,,,,,,4.1,2,2.5,,,,,,@@@4.0@4.1@@1.3@14.5,weatherlink
000TP,2021-01-01 01:40:00,3.9,1005.4,,97,3.5,,4.8,,9.7,162,1.3,4,,,,,,4.3,1.5,2.5,,,,,,@@@4.0@4.3@@1.3@14.5,weatherlink
000TP,2021-01-01 01:50:00,4.2,1005.4,,97,3.7,,0,,4.8,130,1.3,4.2,,,,,,4.6,1,2.5,,,,,,@@@4.2@4.6@@1.3@14.5,weatherlink
000TP,2021-01-01 02:00:00,4.4,1005.4,,97,4,,4.8,,14.5,89,1.3,4.4,1.8,0,0,0,,4.8,1.5,2.5,,,,,,@@@4.4@4.8@@1.3@14.5,weatherlink
000TP,2021-01-01 02:10:00,4.4,1005.2,,97,4,,6.4,,12.9,93,1.3,4.4,,,,,,4.8,1.3,1.5,,,,,,@@@4.4@4.8@@1.3@14.5,weatherlink
000TP,2021-01-01 02:20:00,4.4,1004.8,,97,4,,8,,16.1,150,1.3,4.4,,,,,,5.1,0,1.5,,,,,,@@@4.4@5.1@@1.3@16.1,weatherlink
000TP,2021-01-01 02:30:00,4.6,1004.7,,97,4.2,,8,,12.9,94,1.3,4.7,,,,,,5.3,1.5,1.5,,,,,,@@@4.7@5.3@@1.3@16.1,weatherlink
000TP,2021-01-01 02:40:00,4.8,1004.7,,97,4.3,,11.3,,19.3,100,1.3,4.8,,,,,,5.6,2,2,,,,,,@@@4.8@5.6@@1.3@19.3,weatherlink
000TP,2021-01-01 02:50:00,4.8,1004.5,,97,4.4,,8,,16.1,127,1.3,4.9,,,,,,6.1,2.5,2.5,,,,,,@@@4.9@6.1@@1.3@19.3,weatherlink
000TP,2021-01-01 03:00:00,4.8,1004.5,-1.5,97,4.3,,8,,17.7,129,1.3,4.9,1.5,6.3,0,0,,6.3,2,2.5,,,,,,@@@4.9@6.3@@1.3@19.3,weatherlink
000TP,2021-01-01 03:10:00,4.7,1004.3,-1.7,97,4.3,,9.7,,17.7,115,1.3,4.9,,,,,,6.9,2.3,2.3,,,,,,@@@4.9@6.9@@1.3@19.3,weatherlink
000TP,2021-01-01 03:20:00,4.7,1004.1,-1.9,97,4.3,,9.7,,16.1,83,1.3,4.9,,,,,,7.4,2.8,2.8,,,,,,@@@4.9@7.4@@1.3@19.3,weatherlink
000TP,2021-01-01 03:30:00,4.7,1004.4,-1.6,97,4.3,,4.8,,12.9,137,1.3,4.9,,,,,,7.9,2.5,3,,,,,,@@@4.9@7.9@@1.3@19.3,weatherlink
000TP,2021-01-01 03:40:00,4.8,1004.1,-1.9,97,4.3,,3.2,,12.9,65,1.3,4.9,,,,,,8.4,2.8,3,,,,,,@@@4.9@8.4@@1.3@19.3,weatherlink
000TP,2021-01-01 03:50:00,4.7,1003.8,-2.2,97,4.3,,6.4,,14.5,98,1.3,4.9,,,,,,8.6,2.8,3,,,,,,@@@4.9@8.6@@1.3@19.3,weatherlink
000TP,2021-01-01 04:00:00,4.6,1003.5,-2,97,4.2,,8,,16.1,104,1.3,4.9,2.8,0,0,0,,9.1,2.8,3,,,,,,@@@4.9@9.1@@1.3@19.3,weatherlink
000TP,2021-01-01 04:10:00,4.6,1003.5,-2,97,4.2,,8,,14.5,108,1.3,4.9,,,,,,9.7,2,2.3,,,,,,@@@4.9@9.7@@1.3@19.3,weatherlink
000TP,2021-01-01 04:20:00,4.8,1003.4,-2.1,97,4.3,,4.8,,14.5,122,1.3,4.9,,,,,,9.9,1.8,2.3,,,,,,@@@4.9@9.9@@1.3@19.3,weatherlink
000TP,2021-01-01 04:30:00,4.9,1003.6,-1.9,97,4.5,,4.8,,11.3,142,1.3,4.9,,,,,,10.2,1.5,2.3,,,,,,@@@4.9@10.2@@1.3@19.3,weatherlink
000TP,2021-01-01 04:40:00,5,1003.6,-1.9,97,4.6,,6.4,,16.1,113,1.3,5,,,,,,10.4,1.8,2.3,,,,,61,@@@5.0@10.4@@1.3@19.3,weatherlink
000TP,2021-01-01 04:50:00,5.1,1003.4,-2.1,97,4.7,,8,,17.7,55,1.3,5.1,,,,,,10.9,2.8,2.8,,,,,63,@@@5.1@10.9@@1.3@19.3,weatherlink
000TP,2021-01-01 05:00:00,5.1,1003.3,-2.1,97,4.7,,9.7,,20.9,88,1.3,5.2,2.1,0,0,0,,11.2,2.5,2.8,,,,,63,@@@5.2@11.2@@1.3@20.9,weatherlink
000TP,2021-01-01 05:10:00,5.1,1003.1,-2.3,97,4.7,,11.3,,19.3,83,1.3,5.2,,,,,,11.7,2,2.3,,,,,61,@@@5.2@11.7@@1.3@20.9,weatherlink
000TP,2021-01-01 05:20:00,5.1,1003.2,-2.2,97,4.6,,4.8,,19.3,90,1.3,5.2,,,,,,11.9,1.8,2.3,,,,,61,@@@5.2@11.9@@1.3@20.9,weatherlink
000TP,2021-01-01 05:30:00,5.1,1003.1,-2.3,97,4.7,,6.4,,14.5,60,1.3,5.2,,,,,,11.9,1.3,2.3,,,,,61,@@@5.2@11.9@@1.3@20.9,weatherlink
000TP,2021-01-01 05:40:00,5.3,1003.1,-2.3,97,4.8,,8,,20.9,65,1.3,5.3,,,,,,11.9,0,2.3,,,,,,@@@5.3@11.9@@1.3@20.9,weatherlink
000TP,2021-01-01 05:50:00,5.2,1003,-2.4,97,4.8,,12.9,,24.1,75,1.3,5.3,,,,,,11.9,0,2.3,,,,,,@@@5.3@11.9@@1.3@24.1,weatherlink
000TP,2021-01-01 06:00:00,5.2,1003,-1.5,97,4.7,,12.9,,22.5,69,1.3,5.3,1,5.9,0,0,,12.2,0,2.3,,,,,,@@@5.3@12.2@@1.3@24.1,weatherlink
000TP,2021-01-01 06:10:00,5.1,1003.1,-1.4,97,4.7,,9.7,,19.3,102,1.3,5.3,,,,,,12.2,0,0,,,,,,@@@5.3@12.2@@1.3@24.1,weatherlink
000TP,2021-01-01 06:20:00,5.1,1003.2,-1.3,97,4.7,,4.8,,14.5,79,1.3,5.3,,,,,,12.2,0,0,,,,,,@@@5.3@12.2@@1.3@24.1,weatherlink
000TP,2021-01-01 06:30:00,5.1,1003.2,-1.3,97,4.7,,4.8,,14.5,105,1.3,5.3,,,,,,12.2,0,0,,,,,,@@@5.3@12.2@@1.3@24.1,weatherlink
000TP,2021-01-01 06:40:00,5.1,1003.2,-1.3,97,4.6,,0,,9.7,87,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 06:50:00,5.1,1003.3,-1.2,96,4.5,,8,,14.5,106,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 07:00:00,5,1003.3,-0.2,97,4.6,,3.2,,11.3,94,1.3,5.3,0.2,0,0,0,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 07:10:00,4.9,1003.3,-0.2,97,4.5,,1.6,,8,98,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 07:20:00,4.9,1003.3,-0.2,97,4.5,,4.8,,9.7,98,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 07:30:00,4.9,1003.4,-0.1,97,4.5,,8,,16.1,102,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 07:40:00,4.8,1003.4,-0.1,97,4.4,,8,,14.5,109,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 07:50:00,4.9,1003.5,,97,4.5,,6.4,,14.5,98,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 08:00:00,4.9,1003.6,0.3,97,4.5,,6.4,,14.5,93,1.3,5.3,0,0,0,0,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 08:10:00,5,1003.6,0.3,97,4.6,,8,,16.1,112,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
000TP,2021-01-01 08:20:00,5.1,1003.6,0.3,97,4.6,,4.8,,14.5,113,1.3,5.3,,,,,,12.4,0,0,,,,,,@@@5.3@12.4@@1.3@24.1,weatherlink
