station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TQ,2021-01-01 00:00:00,1.7,,,91,0.4,,,,,35,1.7,9.4,0,0,0,0,,3.8,0,0,,,,,,@@@@@@@37.0,weatherlink
000TQ,2021-01-01 00:10:00,1.7,,,92,0.6,,0.1,,1.6,35,1.7,1.7,,,,,,0,0,0,,,,,,@@@@@@@1.6,weatherlink
000TQ,2021-01-01 00:20:00,1.7,,,92,0.6,,0,,0,35,1.7,1.8,,,,,,0,0,0,,,,,,@@@@@@@1.6,weatherlink
000TQ,2021-01-01 00:30:00,1.9,,,93,0.9,,1.6,,3.2,35,1.6,1.9,,,,,,0,0,0,,,,,,@@@@@@@3.2,weatherlink
000TQ,2021-01-01 00:40:00,1.6,,,91,0.2,,2.4,,4.8,35,1.6,2.1,,,,,,0,0,0,,,,,,@@@@@@@4.8,weatherlink
000TQ,2021-01-01 00:50:00,1.2,,,91,-0.1,,2.7,,4.8,35,1.2,2.1,,,,,,0,0,0,,,,,,@@@@@@@4.8,weatherlink
000TQ,2021-01-01 01:00:00,1.3,,,92,0.2,,2.7,,4.8,35,1.2,2.1,0,0,0,0,,0,0,0,,,,,,@@@@@@@4.8,weatherlink
000TQ,2021-01-01 01:10:00,1.2,,,92,0,,1,,3.2,35,1.2,2.1,,,,,,0,0,0,,,,,,@@@@@@@4.8,weatherlink
000TQ,2021-01-01 01:20:00,1.4,,,92,0.2,,0,,0,35,1.1,2.1,,,,,,0,0,0,,,,,,@@@@@@@4.8,weatherlink
000TQ,2021-01-01 01:30:00,1,,,91,-0.3,,2.7,,4.8,35,1,2.1,,,,,,0,0,0,,,,,,@@@@@@@4.8,weatherlink
000TQ,2021-01-01 01:40:00,0.8,,,92,-0.3,,3.6,,6.4,40,0.8,2.1,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 01:50:00,0.9,,,92,-0.2,,3.2,,6.4,81,0.8,2.1,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 02:00:00,1.2,,,92,0.1,,3.4,,6.4,94,0.8,2.1,0,0,0,0,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 02:10:00,1.4,,,92,0.2,,3.3,,6.4,95,0.8,2.1,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 02:20:00,2.1,,,93,1.1,,1.7,,4.8,96,0.8,2.1,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 02:30:00,1.9,,,92,0.7,,1.9,,6.4,96,0.8,2.2,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 02:40:00,1.6,,,91,0.3,,2.5,,4.8,96,0.8,2.2,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 02:50:00,1.6,,,92,0.4,,3.2,,4.8,96,0.8,2.2,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 03:00:00,1.1,,,91,-0.2,,3,,4.8,96,0.8,2.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 03:10:00,1.1,,,92,-0.1,,3.8,,6.4,96,0.8,2.2,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
000TQ,2021-01-01 03:20:00,1.3,,,92,0.1,,4,,9.7,99,0.8,2.2,,,,,,0.2,0,0,,,,,,@@@@@@@9.7,weatherlink
000TQ,2021-01-01 03:30:00,1.1,,,91,-0.2,,4.8,,9.7,95,0.8,2.2,,,,,,0.2,0,0,,,,,,@@@@@@@9.7,weatherlink
000TQ,2021-01-01 03:40:00,1.1,,,92,-0.1,,3.6,,6.4,96,0.8,2.2,,,,,,0.2,0,0,,,,,,@@@@@@@9.7,weatherlink
000TQ,2021-01-01 03:50:00,1.2,,,92,0.1,,4,,8,97,0.8,2.2,,,,,,0.2,0,0,,,,,,@@@@@@@9.7,weatherlink
000TQ,2021-01-01 04:00:00,1.3,,,92,0.2,,4.4,,8,99,0.8,2.2,0.2,0,0,0,,0.2,0,0,,,,,,@@@@@@@9.7,weatherlink
000TQ,2021-01-01 04:10:00,1.3,,,92,0.2,,4,,8,99,0.8,2.2,,,,,,0.2,0,0,,,,,,@@@@@@@9.7,weatherlink
