station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TR,2020-11-06 16:30:00,12.4,1023.9,,79,8.9,,2.7,,12.9,92,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 16:45:00,12.2,1023.9,,80,8.7,,3.1,,11.3,75,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 17:00:00,11.8,1023.8,,80,8.6,,1.8,,11.3,74,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 17:15:00,11.8,1023.9,,80,8.6,,2.3,,8,86,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 17:30:00,11.8,1023.9,,80,8.6,,3.2,,11.3,82,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 17:45:00,11.8,1023.8,,80,8.6,,3.5,,11.3,90,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 18:00:00,11.8,1023.6,,81,8.6,,3.4,,11.3,87,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 18:15:00,11.8,1023.5,,80,8.6,,4.3,,12.9,88,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 18:30:00,11.9,1023.5,,81,8.6,,4.9,,12.9,87,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 18:45:00,12,1023.5,,80,8.7,,5.3,,12.9,97,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 19:00:00,12.2,1023.4,-0.5,79,8.7,,5.3,,11.3,105,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 19:15:00,12.1,1023.4,-0.5,79,8.6,,4.1,,11.3,107,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 19:30:00,11.7,1023.4,-0.5,80,8.4,,2.9,,11.3,104,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 19:45:00,11.6,1023.4,-0.5,81,8.4,,3.5,,11.3,102,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 20:00:00,11.5,1023.4,-0.4,81,8.3,,4,,11.3,96,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 20:10:00,11.5,1023.5,-0.3,81,8.3,,2,,8,97,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 20:20:00,11.3,1023.5,-0.3,81,8.2,,0.7,,8,88,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TR,2020-11-06 20:30:00,11.2,1023.5,-0.3,82,8.2,,0.7,,6.4,73,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
