station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TS,2025-01-01 00:00:00,3.9,1028.6,,93,2.8,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 00:15:00,3.8,1028.4,,93,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 00:30:00,3.7,1028.2,,93,2.7,,0,,1.6,234,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 00:45:00,3.7,1027.8,,93,2.6,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 01:00:00,3.6,1027.7,,93,2.6,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 01:15:00,3.6,1027.6,,93,2.6,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 01:30:00,3.6,1027.5,,93,2.6,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 01:45:00,3.6,1027.4,,93,2.7,,0,,1.6,360,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 02:00:00,3.6,1027.3,,94,2.7,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 02:15:00,3.7,1027.5,,94,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 02:30:00,3.7,1027.4,,94,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 02:45:00,3.8,1027.3,,94,2.8,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 03:00:00,3.8,1027.1,-1.5,94,2.9,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 03:15:00,3.8,1026.8,-1.8,94,2.9,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 03:30:00,3.8,1026.7,-1.9,94,2.9,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 03:45:00,3.7,1026.7,-1.9,94,2.8,,0,,1.6,360,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 04:00:00,3.7,1026.4,-1.3,94,2.8,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 04:15:00,3.6,1026.4,-1.3,94,2.7,,0,,0,,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 04:30:00,3.6,1026.6,-1.1,94,2.7,,0,,0,,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 04:45:00,3.6,1026.4,-1.3,94,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 05:00:00,3.6,1026.1,-1.2,94,2.7,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 05:15:00,3.6,1026,-1.3,94,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 05:30:00,3.6,1026,-1.3,94,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 05:45:00,3.5,1026.1,-1.2,94,2.7,,0,,0,0,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 06:00:00,3.4,1026.1,-1,94,2.6,,0,,0,0,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000TS,2025-01-01 06:15:00,3.4,1026,-1.1,94,2.6,,0,,1.6,360,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
