station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TU,2020-11-11 06:00:00,,,,,,,,,,,9.2,12.4,,,,0,,,,,,,,,,,wlkLivePostprocessed
000TU,2020-11-11 12:30:00,12.3,1022.9,,93,11.2,,3.8,,7.2,170,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 12:40:00,12.3,1022.7,,93,11.2,,3.5,,9.9,178,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 12:50:00,12.3,1022.7,,93,11.2,,4.2,,9.5,188,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 13:00:00,12.6,1022.5,,90,11,,4.9,,9.9,187,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 13:10:00,12.7,1022.2,,91,11.2,,5.1,,11.2,177,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 13:20:00,12.8,1022,,91,11.4,,2.9,,6.9,177,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 13:30:00,12.9,1021.9,,90,11.4,,3.7,,11.8,197,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 13:40:00,13.1,1021.8,,89,11.2,,3.4,,7.4,195,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 13:50:00,13,1021.7,,89,11.3,,4,,8.9,195,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 14:00:00,12.9,1021.7,,88,11.1,,4.4,,10.1,211,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 14:10:00,13.1,1021.4,,87,11.1,,4.8,,11.5,205,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 14:20:00,13.4,1021.3,,86,11.2,,5,,13.2,187,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 14:30:00,13.3,1021.3,,86,10.9,,4.4,,10.8,203,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 14:40:00,13.1,1021.3,,87,10.9,,4.8,,10.9,202,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 14:50:00,13,1021.3,,87,10.8,,4.9,,11.3,221,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 15:00:00,12.9,1021.2,-1.7,87,10.8,,4.1,,9,186,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 15:10:00,12.8,1021,-1.9,88,10.8,,2.7,,7.5,189,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 15:20:00,12.8,1020.9,-2,87,10.7,,2.7,,5.8,183,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 15:30:00,12.7,1021.1,-1.8,88,10.7,,3.8,,7.8,198,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 15:40:00,12.5,1021.1,-1.8,89,10.7,,2.5,,5.3,193,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 15:50:00,12.3,1021,-1.9,89,10.6,,1,,5,200,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 16:00:00,12,1020.9,-1.6,90,10.4,,0,,1.3,244,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 16:10:00,11.9,1020.6,-1.9,91,10.4,,0,,0,244,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 16:20:00,11.7,1020.6,-1.9,92,10.3,,0.5,,6.2,150,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 16:30:00,11.5,1020.5,-2,92,10.2,,0.4,,4.2,156,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 16:40:00,11.2,1020.5,-2,93,10.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 16:50:00,11.1,1020.6,-1.9,94,10.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 17:00:00,10.8,1020.6,-1.1,94,9.9,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 17:10:00,10.7,1020.7,-1,95,9.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 17:20:00,10.8,1020.4,-1.3,95,10.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 17:30:00,10.6,1020.5,-1.2,95,9.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 17:40:00,10.5,1020.6,-1.1,96,9.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 17:50:00,10.4,1020.6,-1.1,96,9.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 18:00:00,10.4,1020.7,-0.5,97,9.9,,0,,0,0,10.2,13.4,0,,,0,,,0,,,,,,,@@@@609.6@@@@,wlkLivePostprocessed
000TU,2020-11-11 18:10:00,10.5,1020.7,-0.5,97,10.1,,0,,1.2,159,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 18:20:00,10.8,1020.5,-0.7,97,10.3,,1.5,,4.2,163,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 18:30:00,10.9,1020.5,-0.7,96,10.3,,2.2,,7.2,,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 18:40:00,10.9,1020.5,-0.7,95,10.1,,2.9,,6.9,170,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 18:50:00,10.9,1020.4,-0.8,94,9.9,,3.3,,7.9,171,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 19:00:00,10.7,1020.3,-0.6,94,9.8,,2.5,,7.4,178,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 19:10:00,10.7,1020.3,-0.6,94,9.7,,3.3,,8.4,174,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 19:20:00,10.6,1020.1,-0.8,94,9.6,,3.1,,7.2,172,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 19:30:00,10.5,1019.8,-1.1,94,9.5,,4.1,,10.8,166,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 19:40:00,10.4,1019.7,-1.2,94,9.4,,3.1,,6.8,176,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 19:50:00,10.3,1019.6,-1.3,94,9.4,,3.8,,9.8,175,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 20:00:00,10.3,1019.5,-1.1,94,9.4,,3.4,,8.7,174,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 20:10:00,10.2,1019.4,-1.2,94,9.2,,1.9,,8.9,184,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 20:20:00,10.2,1019.2,-1.4,94,9.3,,2.5,,8.9,177,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 20:30:00,10.2,1019.2,-1.4,94,9.2,,2.9,,9.8,176,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 20:40:00,10.2,1019.2,-1.4,94,9.2,,3.8,,8.9,170,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 20:50:00,10.2,1019.2,-1.4,94,9.3,,4.9,,13.9,172,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 21:00:00,10.3,1019.2,-1.5,94,9.3,,5.8,,12.1,170,,,0,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
000TU,2020-11-11 21:10:00,10.3,1019.3,-1.4,93,9.2,,5.6,,12.1,168,,,,,,,,,0,,,,,,,@@@@609.6@@@@,wlkLive
