station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000U4,2017-01-01 00:00:00,-1.4,1029.5,,99,-1.5,,3.2,,7.9,223,-1.4,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@3.2,weatherlink
000U4,2017-01-01 00:30:00,-1.6,1029.2,,99,-1.7,,3.2,,9.7,221,-1.7,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 01:00:00,-1.7,1028.8,,99,-1.8,,3.2,,9.7,221,-1.7,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 01:30:00,-1.8,1028.5,,99,-1.9,,3.2,,9.7,213,-1.8,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 02:00:00,-1.9,1028.2,,99,-2,,3.2,,9.7,226,-1.9,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 02:30:00,-1.8,1028.1,,99,-1.9,,1.4,,9.7,212,-1.9,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 03:00:00,-1.8,1027.8,-1.7,99,-1.9,,1.4,,9.7,214,-1.9,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 03:30:00,-1.8,1027.4,-2.1,99,-1.9,,3.2,,7.9,203,-1.9,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 04:00:00,-1.8,1027.1,-1.7,99,-1.9,,3.2,,11.2,198,-1.9,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 04:30:00,-2.2,1026.9,-1.9,99,-2.3,,3.2,,11.2,191,-2.2,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 05:00:00,-2.2,1026.6,-1.6,99,-2.3,,3.2,,9.7,215,-2.2,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 05:30:00,-2.2,1026.5,-1.7,99,-2.3,,3.2,,9.7,219,-2.2,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 06:00:00,-2.4,1026.4,-1.4,99,-2.5,,1.4,,9.7,217,-2.4,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 06:30:00,-2.4,1026.3,-1.5,99,-2.5,,1.4,,7.9,213,-2.5,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 07:00:00,-2.6,1026.1,-1,99,-2.7,,1.4,,7.9,213,-2.6,-1.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
000U4,2017-01-01 07:30:00,-2.7,1026.1,-1,99,-2.8,,1.4,,7.9,226,-2.7,-1.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@4.7,weatherlink
