station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UA,2021-01-01 00:00:00,-1.8,1002.9,,97,-2.2,,8.5,,20.9,229,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 00:15:00,-1.9,1002.8,,97,-2.3,,7.1,,16.1,246,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 00:30:00,-1.9,1002.8,,97,-2.3,,6.2,,19.3,260,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 00:45:00,-1.9,1002.7,,97,-2.4,,6.3,,12.9,253,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 01:00:00,-1.9,1002.7,,97,-2.4,,7.7,,16.1,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 01:15:00,-1.9,1002.8,,96,-2.4,,8.9,,16.1,255,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 01:30:00,-2,1002.8,,97,-2.5,,8.1,,17.7,253,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 01:45:00,-2.1,1002.9,,97,-2.4,,6.8,,12.9,259,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 02:00:00,-2.1,1002.8,,97,-2.5,,6.2,,14.5,272,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 02:15:00,-2.2,1002.9,,97,-2.6,,5.2,,11.3,279,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 02:30:00,-2.3,1002.8,,97,-2.7,,5.3,,12.9,287,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 02:45:00,-2.4,1002.8,,98,-2.7,,5.4,,12.9,291,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 03:00:00,-2.6,1002.8,-0.1,97,-2.9,,6.1,,14.5,308,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 03:15:00,-2.7,1002.7,-0.2,97,-3.1,,6.4,,14.5,304,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000UA,2021-01-01 03:30:00,-2.7,1002.8,-0.1,97,-3.1,,5.8,,12.9,300,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
