station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UB,2021-01-01 00:00:00,4.3,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 00:10:00,4.2,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 00:20:00,4.1,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 00:30:00,4.1,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 00:40:00,4,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 00:45:00,3.9,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 01:00:00,3.9,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 01:05:00,3.8,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 01:15:00,3.7,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 01:30:00,3.7,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 01:40:00,3.7,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 01:45:00,3.6,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 02:00:00,3.4,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 02:05:00,3.4,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 02:20:00,3.3,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 02:30:00,3.3,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 02:40:00,3.2,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 02:50:00,3,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 03:00:00,2.8,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 03:10:00,2.8,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 03:15:00,2.8,,,97,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 03:30:00,2.8,,,97,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 03:40:00,2.7,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 03:50:00,2.6,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 04:00:00,2.4,,,96,,,0,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 04:10:00,2.3,,,96,,,0,,,62,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 04:15:00,2.2,,,96,,,0,,,90,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 04:25:00,2.3,,,94,,,1.6,,,243,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 04:35:00,2.8,,,90,,,3.2,,,84,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 04:50:00,2.9,,,87,,,3.2,,,329,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 05:00:00,3.3,,,83,,,3.2,,,62,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 05:10:00,3.4,,,81,,,3.2,,,327,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 05:20:00,3.1,,,84,,,1.6,,,61,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 05:30:00,2.8,,,85,,,3.2,,,39,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 05:40:00,3,,,85,,,1.6,,,4,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 05:45:00,2.6,,,86,,,1.6,,,24,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 06:00:00,2.4,,,86,,,1.6,,,95,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 06:10:00,2,,,89,,,1.6,,,127,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 06:20:00,1.5,,,91,,,0,,,51,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 06:30:00,1.2,,,91,,,0,,,51,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 06:40:00,0.8,,,92,,,0,,,36,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 06:50:00,0.5,,,93,,,0,,,359,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000UB,2021-01-01 07:00:00,0.2,,,93,,,0,,,359,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
