station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UC,2020-12-23 14:30:00,12.9,1012.1,,74,8.3,,10,,37,250,12.3,13.7,,,,,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 15:00:00,12.6,1012.2,,73,7.8,,13.7,,30.6,239,12.3,13.7,0,0,0,0,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 15:30:00,11.7,1012.5,,74,7.2,,15.8,,35.4,235,11.8,13.7,,,,,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 16:00:00,11.4,1012.4,,75,7.1,,14.5,,40.2,234,11.5,13.7,0,0,0,0,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 16:30:00,11.2,1012.5,,76,7.2,,10.4,,27.4,237,11.2,13.7,,,,,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 17:00:00,10.8,1012.3,0.2,77,7,,13.8,,32.2,226,10.8,13.7,0,0,0,0,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 17:30:00,10.7,1012.4,0.3,77,6.8,,13.3,,35.4,231,10.8,13.7,,,,,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 18:00:00,9.8,1012.2,,76,5.8,,13.3,,33.8,230,9.9,13.7,0,0,0,0,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 18:30:00,10,1012,-0.2,77,6.2,,17.6,,46.7,222,9.8,13.7,,,,,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 19:00:00,10.2,1011.6,-0.8,76,6.2,,18.4,,33.8,221,9.8,13.7,0,0,0,0,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
000UC,2020-12-23 19:30:00,10.4,1011.5,-0.9,76,6.4,,16.4,,35.4,230,9.8,13.7,,,,,,5,0,0,,,,,,@@@@508.9@@@,weatherlink
