station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UH,2023-01-01 00:00:00,9.9,1022.2,,88,8,,7.4,,12.9,109,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 00:10:00,9.9,1022.2,,87,7.9,,7.4,,14.5,109,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 00:20:00,9.9,1022.2,,88,8,,7.4,,12.9,104,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 00:30:00,9.8,1022.3,,88,7.9,,7.9,,14.5,107,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 00:40:00,9.6,1022.2,,87,7.6,,6.6,,12.9,,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 00:50:00,9,1022.2,,88,7.1,,5.8,,9.7,85,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 01:00:00,8.8,1022.1,,90,7.3,,4.6,,9.7,102,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 01:10:00,8.3,1022,,90,6.8,,9.3,,16.1,88,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 01:20:00,8.8,1022,,91,7.3,,5.5,,12.9,96,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 01:30:00,8.9,1022,,89,7.2,,4.2,,9.7,98,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 01:40:00,8.8,1022,,89,7.1,,7.6,,16.1,97,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000UH,2023-01-01 01:50:00,9.3,1022,,90,7.7,,13.7,,20.9,94,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
