station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-20 13:20:00,7,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 13:30:00,6.9,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 13:40:00,6.8,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-20 13:50:00,6.7,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 14:00:00,6.5,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 14:10:00,6.4,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 14:20:00,6.3,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 14:30:00,6.1,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 14:40:00,5.7,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 14:50:00,5.4,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 15:00:00,5.3,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 15:10:00,5.3,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 15:20:00,5.2,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 15:30:00,5,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.8},liveobjects
000UO,2024-11-20 15:40:00,4.9,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 15:50:00,4.8,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.8},liveobjects
000UO,2024-11-20 16:00:00,4.7,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 16:10:00,4.5,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 16:20:00,4.6,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.8},liveobjects
000UO,2024-11-20 16:30:00,4.6,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 16:40:00,4.3,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 17:00:00,4.2,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 17:10:00,4.2,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.83},liveobjects
