station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UX,2024-01-01 01:00:00,-0.7,1019.4,,89,-2.3,,0,,1.6,257,-0.7,0.3,0,0,0,0,,0,0,0,,,,,,@@@0.3@78.4@@-0.7@14.5,weatherlink
000UX,2024-01-01 02:00:00,-1.4,1019.8,,90,-2.9,,0,,0,360,-1.4,0.3,0,0,0,0,,0,0,0,,,,,,@@@0.3@78.4@@-1.4@14.5,weatherlink
000UX,2024-01-01 03:00:00,-1.7,1019.9,,90,-3.1,,0,,0,360,-1.8,0.3,0,0,0,0,,0,0,0,,,,,,@@@0.3@78.4@@-1.8@14.5,weatherlink
000UX,2024-01-01 04:00:00,-2.3,1019.6,0.2,91,-3.6,,3.2,,6.4,360,-2.3,0.3,0,0,0,0,,0,0,0,,,,,,@@@0.3@78.4@@-2.3@14.5,weatherlink
000UX,2024-01-01 05:30:00,-3,1019.8,,91,-4.3,,4.8,,14.5,360,-3.1,0.3,,,,,,0,0,0,,,,,,@@@0.3@78.4@@-3.1@14.5,weatherlink
000UX,2024-01-01 06:30:00,-3.1,1020.1,0.2,90,-4.5,,0,,0,248,-3.2,0.3,,,,,,0,0,0,,,,,,@@@0.3@78.4@@-3.2@14.5,weatherlink
000UX,2024-01-01 07:30:00,-3.6,1020.8,1.2,90,-5,,0,,0,246,-3.7,0.3,,,,,,0,0,0,,,,,,@@@0.3@78.4@@-3.7@14.5,weatherlink
000UX,2024-01-01 08:30:00,-4.2,1021.4,1.6,91,-5.4,,0,,0,249,-4.2,0.3,,,,,,0,0,0,,,,,,@@@0.3@78.4@@-4.2@14.5,weatherlink
000UX,2024-01-01 09:30:00,-4.2,1022.1,2,91,-5.4,,0,,0,245,-4.2,0.3,,,,,,0,0,0,,,,,,@@@0.3@78.4@@-4.2@14.5,weatherlink
000UX,2024-01-01 11:00:00,-2.4,1021.3,-0.1,83,-4.9,,0,,0,254,-4.2,0.3,0,0,0,0,,0,0,0,,,,,,@@@0.3@78.4@@-4.2@14.5,weatherlink
000UX,2024-01-01 12:00:00,0.2,1020.9,-1.2,77,-3.3,,0,,0,239,-4.2,0.3,0,0,0,0,,0,0,0,,,,,,@@@0.3@78.4@@-4.2@14.5,weatherlink
000UX,2024-01-01 13:00:00,1.8,1020.7,,67,-3.7,,12.9,,20.9,240,-4.2,1.8,0,0,0,0,,0,0,0,,,,,,@@@1.8@78.4@@-4.2@20.9,weatherlink
000UX,2024-01-01 14:00:00,1,1020.4,-0.9,74,-3.1,,0,,9.7,222,-4.2,2.2,0,0,0,0,,0,0,0,,,,,,@@@2.2@78.4@@-4.2@20.9,weatherlink
000UX,2024-01-01 15:30:00,-0.1,1021.3,0.4,76,-3.8,,1.6,,9.7,195,-4.2,2.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-4.2@20.9,weatherlink
000UX,2024-01-01 16:30:00,-1.6,1021.9,1.2,81,-4.4,,0,,0,200,-4.2,2.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-4.2@20.9,weatherlink
000UX,2024-01-01 17:30:00,-2.7,1023.3,2.9,84,-5,,0,,0,360,-4.2,2.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-4.2@20.9,weatherlink
000UX,2024-01-01 18:30:00,-3.6,1024.5,3.2,87,-5.5,,0,,0,360,-4.2,2.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-4.2@20.9,weatherlink
000UX,2024-01-01 19:30:00,-4.4,1024.7,2.8,87,-6.3,,0,,4.8,201,-4.4,2.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-4.4@20.9,weatherlink
000UX,2024-01-01 20:30:00,-5.2,1026,2.7,87,-7,,0,,0,360,-5.2,2.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-5.2@20.9,weatherlink
000UX,2024-01-01 22:00:00,-5.8,1025.8,1.1,86,-7.7,,1.6,,4.8,103,-5.8,2.2,0,0,0,0,,0,0,0,,,,,,@@@2.2@78.4@@-5.8@20.9,weatherlink
000UX,2024-01-01 23:00:00,-6.2,1026.2,,87,-8,,0,,0,92,-6.2,2.2,0,0,0,0,,0,0,0,,,,,,@@@2.2@78.4@@-6.2@20.9,weatherlink
000UX,2024-01-02 00:00:00,-6.6,1026.8,,89,-8.1,,0,,0,104,-6.7,2.2,0,0,0,0,,0,0,0,,,,,,@@@2.2@78.4@@-6.7@20.9,weatherlink
000UX,2024-01-02 01:30:00,-6.2,1026.3,,87,-8,,0,,0,114,-6.7,-6.2,,,,,,0,0,0,,,,,,@@@2.2@78.4@@-6.7@9.7,weatherlink
