station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UY,2024-01-01 00:00:00,5.8,1011.2,,90,4.3,,5.8,,14.5,242,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 00:15:00,5.7,1011.1,,91,4.2,,6.6,,17.7,245,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 00:30:00,5.6,1011.1,,90,4.2,,6.2,,12.9,249,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 00:45:00,5.6,1011.1,,91,4.2,,6.4,,14.5,251,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 01:00:00,5.7,1011.1,,92,4.4,,7,,12.9,257,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 01:15:00,5.6,1011.1,,92,4.3,,5.2,,11.3,250,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 01:30:00,5.5,1011.1,,92,4.3,,5.8,,12.9,245,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 01:45:00,5.5,1011.2,,93,4.4,,6.7,,12.9,245,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 02:00:00,5.4,1011.2,,92,4.3,,5.5,,12.9,243,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 02:15:00,5.2,1011.3,,92,4,,4.7,,9.7,238,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 02:30:00,4.9,1011.4,,93,3.8,,3.8,,14.5,240,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 02:45:00,4.8,1011.5,,93,3.8,,4.3,,12.9,242,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 03:00:00,4.7,1011.8,0.6,93,3.7,,3.7,,11.3,243,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 03:15:00,4.7,1011.8,0.6,94,3.8,,4.2,,9.7,241,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 03:30:00,4.7,1011.9,0.7,94,3.9,,4.3,,12.9,248,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 03:45:00,5.1,1011.9,0.7,94,4.2,,6.2,,12.9,254,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 04:00:00,5.1,1011.9,0.8,94,4.2,,5.7,,14.5,249,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 04:15:00,5.1,1012,0.9,94,4.2,,4.7,,11.3,246,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 04:30:00,4.9,1012,0.9,94,4.1,,3.5,,6.4,243,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 04:45:00,4.8,1011.9,0.8,94,4,,4,,9.7,244,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 05:00:00,4.6,1011.7,0.5,94,3.8,,3,,6.4,243,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 05:15:00,4.4,1011.9,0.7,95,3.6,,3.1,,8,243,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 05:30:00,4.6,1011.9,0.7,95,3.8,,3.8,,9.7,245,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 05:45:00,4.4,1012,0.8,95,3.7,,3,,8,241,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 06:00:00,4.3,1012,0.2,95,3.5,,2.3,,6.4,245,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 06:15:00,4.2,1012.2,0.4,95,3.4,,2.7,,4.8,243,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 06:30:00,4.1,1012.1,0.3,95,3.3,,2.4,,3.2,227,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 06:45:00,4.2,1012.4,0.6,95,3.5,,3,,6.4,229,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 07:00:00,4.3,1012.5,0.6,96,3.7,,2.9,,6.4,228,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 07:15:00,4.3,1012.5,0.6,96,3.7,,3.1,,8,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 07:30:00,4.6,1012.8,0.9,96,3.9,,3.8,,8,236,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 07:45:00,4.9,1013.2,1.3,96,4.3,,4.2,,8,237,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 08:00:00,4.9,1013.3,1.6,96,4.3,,3.6,,6.4,236,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 08:15:00,4.9,1013.5,1.8,96,4.3,,2.8,,4.8,223,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 08:30:00,4.9,1013.6,1.9,96,4.3,,3,,6.4,225,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 08:45:00,5.3,1013.4,1.7,97,4.8,,3.5,,8,224,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 09:00:00,6,1013.6,1.6,96,5.4,,4.6,,12.9,237,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 09:15:00,6.4,1013.8,1.8,96,5.9,,4.9,,12.9,245,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 09:30:00,6.9,1014,2,96,6.3,,7.3,,17.7,250,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 09:45:00,7.2,1013.8,1.8,95,6.5,,7,,16.1,251,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 10:00:00,7.7,1013.9,1.4,94,6.9,,8.9,,17.7,251,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 10:15:00,7.8,1013.7,1.2,94,6.8,,6.3,,12.9,247,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 10:30:00,8.8,1013.7,1.2,93,7.7,,6.4,,17.7,246,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 10:45:00,9.2,1013.8,1.3,89,7.4,,11.5,,19.3,257,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 11:00:00,9.1,1013.7,0.4,90,7.5,,9.3,,17.7,254,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 11:15:00,9.6,1013.6,0.3,88,7.7,,8.9,,19.3,256,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 11:30:00,9.6,1013.4,0.1,87,7.5,,11.1,,22.5,256,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000UY,2024-01-01 11:45:00,10,1013.5,0.2,87,7.8,,11.3,,20.9,253,,,,,,,,,0,,,,,,,@@@@0,wlkLive
