station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VE,2023-01-01 00:00:00,9.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 00:10:00,9.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 00:20:00,9,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 00:30:00,8.9,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 00:40:00,9,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 00:50:00,8.7,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 01:00:00,8.7,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 01:10:00,8.6,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 01:20:00,8.6,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 01:30:00,8.8,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 01:40:00,8.9,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 01:50:00,9,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 02:00:00,8.9,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 02:10:00,8.8,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 02:20:00,8.8,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 02:30:00,8.8,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 02:40:00,8.7,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 02:50:00,8.6,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 03:00:00,8.5,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 03:10:00,8.5,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 03:20:00,8.5,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 03:30:00,8.3,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 03:40:00,8.3,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 03:50:00,8.3,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 04:00:00,8.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 04:10:00,8.5,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 04:20:00,8.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 04:30:00,8.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 04:40:00,8.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 04:50:00,8.3,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 05:00:00,8.3,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 05:10:00,8.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000VE,2023-01-01 05:20:00,8.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
