station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VG,2022-01-01 00:00:00,9.6,1030.7,,69,4.1,,4.8,,,38,9.6,10.2,0,0,0,0,,0,0,0,,,,,,@@@10.2@0.0@@9.6@8.0,weatherlink
000VG,2022-01-01 00:10:00,9.4,1030.6,,69,4,,4.8,,8,50,9.4,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@9.4@8.0,weatherlink
000VG,2022-01-01 00:20:00,9.3,1030.6,,69,3.9,,6.4,,9.7,51,9.3,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@9.3@9.7,weatherlink
000VG,2022-01-01 00:30:00,9.1,1030.7,,70,3.9,,6.4,,9.7,49,9.1,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@9.1@9.7,weatherlink
000VG,2022-01-01 00:40:00,8.9,1030.8,,70,3.7,,4.8,,9.7,38,8.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@8.9@9.7,weatherlink
000VG,2022-01-01 00:50:00,8.7,1030.7,,70,3.6,,6.4,,9.7,52,8.7,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@8.7@9.7,weatherlink
000VG,2022-01-01 01:00:00,8.5,1030.7,,71,3.5,,6.4,,9.7,48,8.5,10.2,0,0,0,0,,0,0,0,,,,,,@@@10.2@0.0@@8.5@9.7,weatherlink
000VG,2022-01-01 01:10:00,8.3,1030.5,,72,3.5,,6.4,,9.7,48,8.3,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@8.3@9.7,weatherlink
000VG,2022-01-01 01:20:00,8.1,1030.5,,73,3.6,,4.8,,8,44,8.1,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@8.1@9.7,weatherlink
000VG,2022-01-01 01:30:00,7.9,1030.5,,74,3.6,,6.4,,9.7,45,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 01:40:00,7.9,1030.4,,74,3.6,,4.8,,9.7,360,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 01:50:00,8,1030.4,,73,3.5,,4.8,,8,30,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 02:00:00,8.1,1030.5,,72,3.3,,4.8,,8,352,7.9,10.2,0,0,0,0,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 02:10:00,8.1,1030.7,,72,3.3,,4.8,,9.7,36,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 02:20:00,7.9,1030.5,,72,3.1,,4.8,,6.4,37,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 02:30:00,7.9,1030.7,,72,3.2,,4.8,,6.4,25,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 02:40:00,8.1,1030.7,,70,2.9,,4.8,,6.4,50,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 02:50:00,8.1,1030.8,,69,2.8,,4.8,,8,45,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 03:00:00,8.1,1030.7,,67,2.3,,6.4,,9.7,54,7.9,10.2,0,0,0,0,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 03:10:00,7.9,1030.8,0.1,67,2.2,,4.8,,8,25,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 03:20:00,7.9,1030.7,,66,2,,4.8,,9.7,15,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@9.7,weatherlink
000VG,2022-01-01 03:30:00,7.9,1030.7,,66,2,,6.4,,11.3,41,7.9,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.9@11.3,weatherlink
000VG,2022-01-01 03:40:00,7.9,1030.6,-0.1,66,1.9,,6.4,,9.7,41,7.8,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.8@11.3,weatherlink
000VG,2022-01-01 03:50:00,7.9,1030.6,-0.1,66,2,,6.4,,9.7,23,7.8,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.8@11.3,weatherlink
000VG,2022-01-01 04:00:00,8,1030.5,-0.2,66,2,,4.8,,8,23,7.8,10.2,0,0,0,0,,0,0,0,,,,,,@@@10.2@0.0@@7.8@11.3,weatherlink
000VG,2022-01-01 04:10:00,8,1030.5,-0.2,65,1.8,,4.8,,8,52,7.8,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.8@11.3,weatherlink
000VG,2022-01-01 04:20:00,7.7,1030.5,-0.2,66,1.8,,6.4,,9.7,59,7.7,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.7@11.3,weatherlink
000VG,2022-01-01 04:30:00,7.4,1030.7,,66,1.5,,6.4,,12.9,50,7.4,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.4@12.9,weatherlink
000VG,2022-01-01 04:40:00,7.3,1030.7,,66,1.4,,8,,12.9,29,7.3,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.3@12.9,weatherlink
000VG,2022-01-01 04:50:00,7.2,1030.7,,66,1.3,,6.4,,12.9,47,7.2,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.2@12.9,weatherlink
000VG,2022-01-01 05:00:00,7.2,1030.5,,66,1.3,,8,,12.9,57,7.2,10.2,0,0,0,0,,0,0,0,,,,,,@@@10.2@0.0@@7.2@12.9,weatherlink
000VG,2022-01-01 05:10:00,7.3,1030.4,-0.1,64,0.9,,8,,14.5,357,7.2,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.2@14.5,weatherlink
000VG,2022-01-01 05:20:00,7.4,1030.4,-0.1,64,1,,6.4,,12.9,43,7.2,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.2@14.5,weatherlink
000VG,2022-01-01 05:30:00,7.3,1030.3,-0.2,64,0.9,,6.4,,11.3,41,7.2,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.2@14.5,weatherlink
000VG,2022-01-01 05:40:00,7.2,1030.4,-0.1,65,1.1,,4.8,,8,8,7.2,10.2,,,,,,0,0,0,,,,,,@@@10.2@0.0@@7.2@14.5,weatherlink
