station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VK,2021-03-17 17:00:00,17.5,1019.9,,65,10.9,,27.5,,41.8,360,,,0,,,,,,0,,290,1,,,,1@@@@224.536@@@@,wlkLive
000VK,2021-03-17 17:15:00,17.3,1019.8,,65,10.7,,26.6,,40.2,359,,,,,,,,,0,,204,0.7,,,,0.7@@@@224.536@@@@,wlkLive
000VK,2021-03-17 17:30:00,17.7,1019.9,,61,10.1,,24.3,,35.4,360,,,,,,,,,0,,174,0.6,,,,0.6@@@@224.536@@@@,wlkLive
000VK,2021-03-17 17:45:00,18.2,1019.8,,58,9.6,,23.9,,37,5,,,,,,,,,0,,91,0,,,,0@@@@224.536@@@@,wlkLive
000VK,2021-03-17 18:00:00,18.2,1019.9,,59,10.1,,24.4,,40.2,10,,,0,,,,,,0,,54,0,,,,0@@@@224.536@@@@,wlkLive
000VK,2021-03-17 18:15:00,17.1,1020,,67,11,,21.8,,35.4,5,,,,,,,,,0,,23,0,,,,0@@@@224.536@@@@,wlkLive
000VK,2021-03-17 18:30:00,16.7,1019.9,,71,11.3,,23,,35.4,6,,,,,,,,,0,,14,0,,,,0@@@@224.536@@@@,wlkLive
000VK,2021-03-17 18:45:00,16.1,1019.9,,75,11.6,,23.4,,32.2,360,,,,,,,,,0,,0,0,,,,0@@@@224.536@@@@,wlkLive
000VK,2021-03-17 19:00:00,15.7,1019.9,,75,11.3,,17.9,,27.4,359,,,0,,,,,,0,,0,0,,,,0@@@@224.536@@@@,wlkLive
000VK,2021-03-17 19:15:00,15.7,1019.9,,74,11.1,,14.6,,20.9,352,,,,,,,,,0,,0,0,,,,0@@@@224.536@@@@,wlkLive
