station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VQ,2023-05-01 14:10:00,329.5,,,127,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 17:20:00,329.5,,,127,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 17:40:00,329.5,,,127,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 18:20:00,13,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 18:30:00,12.7,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 18:40:00,12.3,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 18:50:00,11.9,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 19:00:00,11.8,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 19:10:00,11.7,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 19:20:00,11.5,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 19:30:00,11.4,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 19:40:00,11.4,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 19:50:00,11.3,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 20:00:00,11,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 20:10:00,10.9,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 20:20:00,10.7,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-01 20:30:00,10.6,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
