station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VT,2022-01-01 00:00:00,9.3,1025,,96,8.8,,0.5,,6.4,126,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 00:15:00,9.2,1024.9,,96,8.7,,0.3,,4.8,152,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 00:30:00,9.1,1024.7,,96,8.4,,0,,0.2,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 00:45:00,8.9,1024.9,,96,8.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 01:00:00,8.6,1024.6,,96,8,,0.2,,4.8,121,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 01:15:00,8.4,1024.6,,96,7.8,,2.1,,6.4,120,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 01:30:00,8.4,1024.3,,96,7.8,,2.4,,8,133,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 01:45:00,8.2,1024.2,,96,7.6,,2.5,,6.4,141,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 02:00:00,8.1,1024.3,,96,7.4,,0.4,,6.4,154,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 02:15:00,7.8,1024.2,,96,7.2,,0.8,,4.8,138,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 02:30:00,7.7,1024.2,,96,7.1,,1.8,,4.8,129,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 02:45:00,7.6,1024.1,,96,7,,1.1,,4.8,119,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 03:00:00,7.5,1024,-1,96,6.9,,1,,4.8,114,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 03:15:00,7.4,1023.8,-1.2,96,6.8,,0.2,,3.2,124,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 03:30:00,7.3,1023.8,-1.2,96,6.7,,0.8,,3.2,121,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 03:45:00,7.1,1023.8,-1.2,96,6.5,,0,,1.6,115,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 04:00:00,7,1023.7,-0.9,96,6.4,,0.9,,4.8,135,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 04:15:00,7.1,1023.9,-0.7,96,6.6,,1.3,,4.8,118,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 04:30:00,7.1,1023.7,-0.9,96,6.5,,1,,4.8,121,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 05:00:00,7.1,1023.2,-1.1,96,6.5,,3,,11.3,123,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 05:15:00,7.1,1023.1,-1.2,96,6.6,,4,,9.7,119,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 05:30:00,7.1,1023.2,-1.1,96,6.5,,2.3,,8,130,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 05:45:00,7,1023.2,-1.1,96,6.4,,1.8,,4.8,136,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 06:00:00,6.8,1023.1,-0.9,96,6.3,,4,,11.3,143,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 06:15:00,6.8,1023.3,-0.7,96,6.3,,1.5,,4.8,254,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 06:30:00,6.8,1023.4,-0.6,96,6.2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 06:45:00,6.4,1023.6,-0.4,96,5.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 07:00:00,6.2,1023.9,0.2,96,5.6,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 07:30:00,5.9,1023.6,-0.1,96,5.4,,3.1,,8,142,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 07:45:00,6.3,1023.4,-0.3,96,5.7,,4.5,,11.3,148,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 08:00:00,6.6,1023.4,0.2,96,6,,5.2,,12.9,156,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 08:15:00,6.8,1023.3,0.1,97,6.3,,5.3,,12.9,163,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 08:30:00,6.9,1023.3,0.1,97,6.4,,5.6,,11.3,158,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 08:45:00,7.1,1023.4,0.2,96,6.5,,4.2,,12.9,169,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 09:00:00,7.1,1023.7,0.6,97,6.6,,0.9,,8,162,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 09:15:00,7.3,1023.8,0.7,97,6.8,,2.9,,11.3,191,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 09:30:00,7.9,1023.8,0.7,97,7.4,,4.9,,12.9,174,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 09:45:00,8.3,1023.8,0.7,96,7.8,,2.7,,9.7,175,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 10:00:00,8.7,1023.6,-0.3,95,7.9,,6.2,,12.9,161,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000VT,2022-01-01 10:15:00,8.9,1023.7,-0.2,94,8.1,,2,,8,170,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
