station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VX,2021-04-18 11:40:00,6.3,1020.9,,71,1.5,,6.9,,17.7,40,0.6,6.3,,,,,,0,0,0,491,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 11:50:00,6.4,1020.9,,70,1.4,,5.6,,17.7,32,0.6,6.4,,,,,,0,0,0,468,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 12:00:00,6.6,1020.9,,70,1.5,,5.6,,14.5,360,0.6,6.6,0,0,0,0,,0,0,0,510,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 12:20:00,6.9,1020.9,,68,1.4,,5.6,,16.1,303,0.6,6.9,,,,,,0,0,0,543,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 12:30:00,7,1020.8,,68,1.5,,8,,19.3,8,0.6,6.9,,,,,,0,0,0,508,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 12:40:00,7.4,1020.9,,69,2.1,,6.6,,19.3,344,0.6,7.4,,,,,,0,0,0,510,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 12:50:00,7.4,1020.9,,67,1.7,,7.2,,24.1,31,0.6,7.5,,,,,,0,0,0,441,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 13:00:00,7.6,1020.8,,69,2.3,,5.5,,16.1,17,0.6,7.5,0,0,0,0,,0,0,0,1099,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 13:10:00,7.3,1020.9,,65,1.2,,6.8,,19.3,29,0.6,7.7,,,,,,0,0,0,297,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 13:20:00,7.1,1021.1,,66,1.2,,5.8,,17.7,299,0.6,7.7,,,,,,0,0,0,216,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 13:30:00,6.7,1021.1,,67,1,,6,,14.5,23,0.6,7.7,,,,,,0,0,0,153,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 13:40:00,6.5,1021.3,,69,1.2,,5.5,,19.3,14,0.6,7.7,,,,,,0,0,0,213,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 13:50:00,6.7,1021.2,,68,1.2,,3.7,,11.3,29,0.6,7.7,,,,,,0,0,0,241,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 14:00:00,6.9,1021.1,0.2,67,1.2,,3.7,,16.1,58,0.6,7.7,0,0,0,0,,0,0,0,230,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 14:10:00,7,1021.2,0.3,66,1.1,,4.3,,12.9,72,0.6,7.7,,,,,,0,0,0,192,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 14:20:00,7,1021,0.1,67,1.3,,4,,9.7,33,0.6,7.7,,,,,,0,0,0,200,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 14:30:00,7.3,1021.1,0.2,65,1.1,,3.4,,14.5,83,0.6,7.7,,,,,,0,0,0,256,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 14:40:00,7.4,1021,0.1,64,1,,2.6,,8,41,0.6,7.7,,,,,,0,0,0,151,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 14:50:00,7.1,1020.9,,66,1.2,,4.5,,16.1,331,0.6,7.7,,,,,,0,0,0,144,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 15:00:00,6.9,1021.1,0.2,66,1,,4.5,,19.3,241,0.6,7.7,0,0,0,0,,0,0,0,123,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 15:10:00,7.1,1021,0.1,66,1.2,,2.4,,8,52,0.6,7.7,,,,,,0,0,0,258,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 15:20:00,7.3,1020.9,,65,1.1,,3.2,,8,344,0.6,7.7,,,,,,0,0,0,144,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 15:30:00,7.2,1021,0.1,65,1,,3.7,,17.7,61,0.6,7.7,,,,,,0,0,0,77,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 15:40:00,6.9,1021.1,0.2,64,0.6,,2.7,,11.3,135,0.6,7.7,,,,,,0,0,0,69,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 15:50:00,6.7,1021.1,0.2,65,0.6,,3.2,,12.9,21,0.6,7.7,,,,,,0,0,0,74,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 16:00:00,6.6,1021.2,0.4,67,0.9,,2.6,,12.9,19,0.6,7.7,0,0,0,0,,0,0,0,56,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 16:10:00,6.7,1021.3,0.5,68,1.2,,1.3,,4.8,165,0.6,7.7,,,,,,0,0,0,86,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 16:20:00,6.7,1021.5,0.7,67,1,,1.6,,11.3,178,0.6,7.7,,,,,,0,0,0,58,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 16:30:00,6.6,1021.5,0.7,67,0.9,,1.4,,9.7,136,0.6,7.7,,,,,,0,0,0,70,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 16:40:00,6.6,1021.5,0.7,67,0.9,,2.6,,9.7,82,0.6,7.7,,,,,,0,0,0,67,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 16:50:00,6.6,1021.7,0.9,68,1.1,,1.8,,11.3,54,0.6,7.7,,,,,,0,0,0,58,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 17:00:00,6.6,1021.7,0.6,68,1.1,,1.1,,9.7,11,0.6,7.7,0,0,0,0,,0,0,0,47,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 17:10:00,6.5,1021.7,0.6,69,1.2,,2.3,,8,348,0.6,7.7,,,,,,0,0,0,39,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 17:20:00,6.4,1021.7,0.6,70,1.3,,2.3,,8,195,0.6,7.7,,,,,,0,0,0,26,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 17:30:00,6.3,1021.6,0.5,70,1.3,,0,,1.6,,0.6,7.7,,,,,,0,0,0,28,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 17:40:00,6.3,1021.7,0.6,71,1.4,,1.3,,6.4,272,0.6,7.7,,,,,,0,0,0,28,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 17:50:00,6.1,1021.7,0.6,71,1.3,,1.1,,6.4,234,0.6,7.7,,,,,,0,0,0,23,,,,,@@@@291.2@@@,weatherlink
000VX,2021-04-18 18:00:00,6,1021.9,0.8,71,1.1,,0.3,,3.2,124,0.6,7.7,0,0,0,0,,0,0,0,19,,,,,@@@@291.2@@@,weatherlink
