station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WA,2024-01-01 00:00:00,4.7,1016.3,,77,1,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 00:15:00,4.5,1016.3,,79,1.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 00:30:00,4.9,1016.4,,78,1.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 00:45:00,4.5,1016.4,,77,0.8,,0,,3.2,3,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 01:00:00,4.6,1016.3,,76,0.8,,0,,1.8,3,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 01:15:00,4.5,1016.2,,77,0.7,,0,,1.8,3,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 01:30:00,4.4,1016.1,,77,0.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 01:45:00,3.9,1016.3,,79,0.5,,0,,0,3,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 02:00:00,3.9,1016.2,,79,0.6,,0.3,,2,4,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 02:15:00,4.2,1016,,77,0.6,,0,,1.4,4,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 02:30:00,4.2,1016,,77,0.6,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 02:45:00,4.1,1015.8,,77,0.4,,0,,0,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 03:00:00,3.8,1015.7,-0.6,79,0.4,,0.4,,2.9,4,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 03:15:00,3.8,1015.7,-0.6,78,0.4,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 03:30:00,3.5,1015.7,-0.6,80,0.3,,0.4,,2,337,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 03:45:00,3.6,1015.7,-0.6,79,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 04:00:00,3.2,1015.7,-0.6,81,0.2,,0.6,,3.1,127,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WA,2024-01-01 04:15:00,3.3,1015.6,-0.7,80,0.2,,0.1,,2.1,252,,,,,,,,,0,,,,,,,@@@@0,wlkLive
