station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WD,2021-05-08 15:20:00,21.3,1018.6,,54,11.7,,19,,34.3,135,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 15:30:00,21.3,1018.7,,55,12,,16.6,,32.2,131,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 15:50:00,20.9,1018.6,,56,11.9,,19.1,,35.5,127,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 16:00:00,20.4,1018.6,,58,11.8,,18.9,,31.8,135,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 16:20:00,20.1,1018.6,,58,11.5,,17.4,,27.5,138,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 16:30:00,19.6,1018.7,,59,11.3,,16.8,,28.8,140,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 16:50:00,19.1,1018.8,,60,11.2,,19.2,,32.1,140,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 17:00:00,18.7,1018.7,,61,11.1,,19.6,,30.7,140,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 17:20:00,18,1018.8,,64,11,,17.9,,31.3,141,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 17:30:00,17.3,1018.8,,65,10.6,,17.6,,31.5,145,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 17:50:00,16.9,1018.8,,67,10.8,,16.2,,25.1,140,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 18:00:00,16.4,1018.8,0.2,69,10.6,,15.4,,26.9,143,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 18:20:00,16.1,1018.9,0.3,71,10.8,,14.4,,24.9,143,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 18:30:00,15.7,1019.1,0.5,72,10.7,,15.6,,25,142,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 18:50:00,15.2,1019.2,0.6,74,10.7,,16.5,,26.7,140,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 19:00:00,14.9,1019.3,0.7,76,10.7,,15.1,,24.3,141,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 19:20:00,14.7,1019.5,0.9,78,10.9,,16.7,,29.2,138,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 19:30:00,14.6,1019.6,1,80,11.1,,18.3,,27.9,137,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 19:50:00,14.6,1019.7,1.1,81,11.3,,16.3,,31.1,139,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 20:00:00,14.4,1019.8,1.1,81,11.2,,16.8,,27.4,136,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 20:20:00,14.3,1019.9,1.2,82,11.3,,16.7,,27,138,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 20:30:00,14.1,1019.9,1.2,83,11.2,,17.1,,27.1,137,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 20:50:00,13.8,1019.9,1.2,83,11,,19.1,,32.5,137,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 21:00:00,13.8,1019.9,1.1,84,11,,17.2,,32.1,135,9.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 21:20:00,13.6,1020,1.2,83,10.7,,15.9,,26.1,137,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 21:30:00,13.4,1020,1.2,83,10.6,,16.5,,26.5,138,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 21:50:00,13.3,1019.9,1.1,84,10.6,,17.2,,28.4,135,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 22:00:00,13.2,1019.8,0.5,85,10.7,,14.1,,29.6,134,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 22:20:00,13.1,1019.8,0.5,85,10.7,,18,,30.5,133,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 22:30:00,12.9,1019.8,0.5,86,10.6,,19.2,,37,135,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 22:50:00,12.8,1019.7,0.4,86,10.6,,18.7,,37.5,137,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 23:00:00,12.7,1019.5,-0.3,87,10.6,,22.2,,41.9,137,-39.8,21.8,0,0,0,0,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 23:20:00,12.7,1019.4,-0.4,87,10.7,,23.5,,40.2,136,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 23:30:00,12.7,1019.3,-0.5,87,10.6,,21.1,,34,139,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-08 23:50:00,12.7,1019.3,-0.5,86,10.4,,23,,40.3,141,-39.8,21.8,,,,,,0.1,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 00:00:00,12.5,1019.1,,86,10.3,,20.7,,34.4,138,-39.8,21.8,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 00:20:00,12.4,1019,,86,10.1,,20.2,,39.4,141,12.4,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 00:30:00,12.3,1018.7,,85,9.8,,19.3,,31.8,138,12.3,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 00:50:00,12.2,1018.7,,83,9.5,,18.4,,36.3,142,12.2,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 01:00:00,12.2,1018.4,,83,9.4,,18.7,,30.2,138,12.1,21.8,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 01:20:00,12.1,1018.4,,83,9.3,,17.3,,31.4,133,12.1,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 01:30:00,11.9,1018.3,,82,9,,15.7,,26.8,136,11.9,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 01:50:00,12,1018,,82,9.1,,14.9,,29.4,133,11.9,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 02:00:00,12.1,1018,,82,9.2,,14,,25.6,131,11.9,21.8,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 02:20:00,12.1,1018,,82,9,,17.3,,31.6,136,11.9,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 02:30:00,11.9,1017.8,,81,8.8,,18.2,,34.1,124,11.9,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 02:50:00,12.1,1017.8,,81,8.9,,16.3,,29.1,123,11.9,21.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 03:00:00,12.2,1017.7,-1.4,80,8.9,,18.3,,38,127,11.9,21.6,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 03:20:00,12.2,1017.6,-1.5,80,8.9,,18.3,,45.8,129,11.9,21.3,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 03:30:00,12.2,1017.9,-1.2,79,8.8,,17.5,,36.4,134,11.9,21.2,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 03:50:00,12.2,1017.5,-1.6,78,8.5,,19.4,,36.2,136,11.9,20.8,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 04:00:00,12.1,1017.5,-0.9,78,8.3,,19.7,,36.7,130,11.9,20.5,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 04:20:00,12.1,1017.3,-1.1,78,8.3,,22.5,,44.9,123,11.9,20.1,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 04:30:00,12.2,1017.2,-1.2,77,8.3,,24.2,,45.9,127,11.9,19.6,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 04:50:00,11.9,1017.4,-1,77,8,,17.5,,41.5,126,11.9,19.2,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 05:00:00,12.1,1017.4,-0.6,76,8.1,,23.9,,44.2,124,11.9,18.6,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 05:20:00,12.1,1017.5,-0.5,76,8,,19.5,,36.4,127,11.9,17.9,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 05:30:00,12,1017.5,-0.5,75,7.7,,18.1,,35.4,126,11.9,17.3,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 05:50:00,12,1017.4,-0.6,73,7.3,,17,,35.8,131,11.9,16.9,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 06:00:00,12.1,1017.4,-0.3,72,7.1,,19.2,,35.2,136,11.9,16.4,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 06:20:00,12.1,1017.3,-0.4,70,6.7,,24,,43.7,129,11.9,16.1,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 06:30:00,12.2,1017.2,-0.5,69,6.7,,20.6,,38.8,134,11.9,15.7,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 06:50:00,12.2,1017.3,-0.4,69,6.7,,19.5,,34.9,135,11.9,15.3,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 07:00:00,12.8,1017.2,-0.3,69,7.3,,20.6,,39,130,11.9,14.9,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 07:20:00,13.9,1016.9,-0.6,65,7.5,,22.8,,40.2,127,11.9,14.7,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 07:30:00,14.4,1016.9,-0.6,63,7.4,,24.4,,49.1,130,11.9,14.7,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 07:50:00,14.2,1016.9,-0.6,64,7.5,,28.7,,49.1,137,11.9,14.6,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 08:00:00,14.6,1016.8,-0.6,65,8.1,,25.2,,39.6,134,11.9,14.6,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 08:20:00,15,1016.7,-0.7,66,8.6,,24.8,,47.5,134,11.9,15,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 08:30:00,15.7,1016.7,-0.7,65,9.2,,23.4,,44.9,133,11.9,15.7,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 08:50:00,16,1016.5,-0.9,63,8.9,,25.3,,46.2,133,11.9,16,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 09:00:00,15.8,1016.7,-0.7,64,8.9,,24.1,,44.6,131,11.9,16,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 09:20:00,15.6,1016.6,-0.8,64,8.8,,24.2,,44.2,134,11.9,16,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 09:30:00,16.1,1016.5,-0.9,64,9.2,,24.6,,45.7,131,11.9,16.1,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 09:50:00,16.4,1016.5,-0.9,63,9.3,,27.6,,49.2,135,11.9,16.4,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 10:00:00,16.7,1016.3,-0.9,62,9.3,,29.6,,62.6,131,11.9,16.7,0,0,0,0,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
000WD,2021-05-09 10:20:00,16.3,1016.5,-0.7,62,9.1,,25.6,,51.7,143,11.9,16.7,,,,,,0,0,0,0,,,,,@@@@1.5@@@,weatherlink
