station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WI,2023-01-01 00:00:00,16.4,1019.5,,62,9,,8.3,,25.1,239,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 00:15:00,16.3,1019.5,,61,8.8,,8.4,,29,252,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 00:30:00,16.2,1019.8,,62,8.8,,7.1,,23.4,275,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 00:45:00,16.3,1020.1,,61,8.7,,8.2,,27.9,260,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 01:00:00,16.1,1020.2,,61,8.4,,4.3,,16.2,294,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 01:15:00,15.9,1020.3,,60,8.1,,6,,25.4,275,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 01:30:00,15.9,1020.3,,59,7.8,,4.5,,17.8,311,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 01:45:00,15.8,1020.4,,57,7.4,,5.4,,16,307,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 02:00:00,15.3,1020.3,,59,7.3,,6.1,,20.4,321,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 02:15:00,15.4,1020.2,,57,6.9,,3.1,,7.2,309,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 02:30:00,15.7,1020.3,,56,6.9,,4.1,,12.2,296,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 02:45:00,14.7,1020.2,,62,7.4,,1.9,,6.2,345,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 03:00:00,14.4,1020.3,0.8,62,7.2,,3.1,,12.9,,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 03:15:00,15.1,1020.2,0.7,59,7,,2.3,,14.2,300,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 03:30:00,14.2,1020.2,0.7,63,7.2,,2.5,,11.6,331,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 03:45:00,13.6,1020.4,0.9,66,7.3,,2.7,,9.4,313,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 04:00:00,13.4,1020.3,0.1,67,7.3,,3.6,,11.6,300,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 04:15:00,14.4,1020.3,0.1,61,6.9,,4.7,,20.9,305,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 04:30:00,14.7,1020.3,0.1,59,6.8,,3.7,,16.8,313,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 04:45:00,13.5,1020.3,0.1,66,7.3,,2.2,,9,291,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 05:00:00,13.4,1020.4,0.1,67,7.4,,4.1,,15.1,299,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 05:15:00,11.9,1020.4,0.1,72,6.9,,2.9,,9.1,278,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 05:30:00,11.7,1020.5,0.2,73,7.1,,2.2,,8.9,285,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 05:45:00,12.9,1020.7,0.4,68,7.2,,2.8,,16,278,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 06:00:00,11.7,1020.7,0.4,72,6.8,,1.8,,4.8,286,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 06:15:00,11.9,1020.5,0.2,72,7,,2.4,,10.1,321,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 06:30:00,11.3,1020.7,0.4,74,6.8,,0.9,,3.2,279,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 06:45:00,11.1,1020.7,0.4,73,6.4,,1.9,,8.5,288,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 07:00:00,11.8,1020.9,0.6,71,6.8,,3,,8.1,300,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 07:15:00,11.7,1021.2,0.9,72,6.8,,3,,9.7,307,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 07:30:00,12.1,1021.2,0.9,70,6.8,,3.1,,8.2,328,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 07:45:00,11.9,1021.5,1.2,70,6.6,,0.8,,3.3,272,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 08:00:00,12.4,1021.6,1.2,68,6.8,,1.6,,9.9,312,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 08:15:00,12.9,1021.7,1.3,66,6.8,,2.4,,9.3,349,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 08:30:00,13.6,1021.7,1.3,66,7.3,,1.8,,12.3,348,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 08:45:00,13.3,1021.8,1.4,68,7.6,,3.4,,11.4,334,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 09:00:00,13.1,1021.9,1.2,70,7.8,,1.5,,9.5,306,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 09:15:00,13.2,1022.1,1.4,69,7.6,,2.1,,6.8,270,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 09:30:00,12.9,1022,1.3,72,8.1,,1.7,,6.5,246,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 09:45:00,13.7,1022,1.3,68,7.8,,1.9,,6.9,312,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 10:00:00,13.4,1022.1,1.2,69,7.8,,1.2,,4.1,308,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 10:15:00,13.7,1022.1,1.2,71,8.6,,1,,5,301,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 10:30:00,14.7,1021.8,0.9,68,8.9,,2.4,,9.4,359,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 10:45:00,15.1,1021.5,0.6,67,8.9,,1.9,,4.6,20,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 11:00:00,15.4,1021.4,-0.2,64,8.6,,1,,3.2,23,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 11:15:00,16,1021.4,-0.2,63,8.9,,0.9,,3.1,335,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 11:30:00,16.3,1021.4,-0.2,60,8.6,,1.2,,3.8,338,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 11:45:00,16.3,1021.1,-0.5,60,8.5,,2,,4.5,309,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WI,2023-01-01 12:00:00,16.4,1021.1,-0.8,63,9.4,,1.1,,4,255,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
