station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WK,2021-05-26 19:10:00,13.1,,,56,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 19:20:00,12.8,,,57,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 19:30:00,12.6,,,60,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 19:40:00,12.3,,,61,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 19:50:00,11.9,,,62,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 20:00:00,11.6,,,65,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 20:10:00,11.1,,,68,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 20:20:00,10.7,,,70,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 20:30:00,10.2,,,72,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 20:40:00,9.5,,,75,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 20:50:00,9,,,77,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 21:00:00,8.9,,,78,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 21:20:00,9.4,,,78,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 21:30:00,8.7,,,81,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 21:40:00,8.1,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 21:50:00,7.5,,,85,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 22:00:00,7.1,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 22:10:00,6.8,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 22:20:00,6.5,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 22:30:00,6.2,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 22:40:00,5.9,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 22:50:00,5.9,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 23:00:00,5.7,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 23:10:00,5.8,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 23:20:00,5.8,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 23:30:00,5.8,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 23:40:00,5.7,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-26 23:50:00,5.7,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-27 00:00:00,5.5,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-27 00:10:00,5.5,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-27 00:20:00,5.4,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-27 00:30:00,5.5,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WK,2021-05-27 00:40:00,5.6,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
