station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WN,2023-01-01 00:00:00,12.5,1022.7,,69,6.9,,4,,9.3,215,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 00:15:00,12.3,1022.6,,71,7.2,,4.3,,10.9,228,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 00:30:00,12.1,1022.5,,72,7.2,,3.8,,10.9,215,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 00:45:00,12.1,1022.6,,72,7.2,,2.8,,10.6,208,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 01:00:00,11.7,1022.5,,73,6.9,,1.1,,4.8,181,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 01:15:00,9.9,1022.7,,82,6.9,,1,,5.3,87,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 01:30:00,10.2,1022.5,,79,6.7,,1.2,,7.5,188,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 01:45:00,11.5,1022.8,,74,7.1,,4.8,,14.2,211,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 02:00:00,11.4,1023,,74,7,,6.3,,15.6,219,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 02:15:00,11.6,1023.2,,74,7.1,,5.8,,15.6,230,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 02:30:00,11.6,1023,,74,7.1,,6.4,,13,221,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 02:45:00,11.7,1022.8,,73,7,,7.9,,17,215,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 03:00:00,11.4,1023,0.3,73,6.8,,4.7,,15,210,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 03:15:00,11.3,1023,0.3,74,6.8,,2.9,,9.7,194,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 03:30:00,9.5,1023,0.3,81,6.4,,0.5,,4.1,104,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 03:45:00,9,1023,0.3,83,6.3,,0.1,,2.1,225,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 04:00:00,8.4,1023,0.5,84,5.9,,0.3,,1.8,237,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000WN,2023-01-01 04:15:00,8.3,1022.8,0.3,85,6,,0.5,,2.3,223,,,,,,,,,0,,,,,,,@@@@0,wlkLive
