station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WT,2025-01-01 00:00:00,4.2,1021.8,,90,2.8,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 00:10:00,4.1,1021.7,,91,2.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 00:20:00,4.2,1021.7,,91,2.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 00:30:00,4.2,1021.6,,91,2.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 00:40:00,4.3,1021.5,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 01:00:00,4.3,1020.8,,91,3,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 01:10:00,4.2,1020.5,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 01:20:00,4.2,1020.3,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 01:30:00,4.2,1020.3,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 01:40:00,4.3,1020.5,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 01:50:00,4.3,1020.5,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 02:00:00,4.3,1020.5,,91,2.9,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 02:20:00,4.3,1020.3,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 02:30:00,4.2,1020,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 02:40:00,4.2,1019.8,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 02:50:00,4.3,1019.7,,91,2.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 03:00:00,4.4,1019.7,-2.1,90,3,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 03:10:00,4.5,1019.5,-2.3,90,3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 03:20:00,4.6,1019.3,-2.5,90,3.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 03:30:00,4.6,1019.2,-2.6,90,3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 03:50:00,4.8,1018.9,-2.9,89,3.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 04:00:00,4.8,1018.8,-2,89,3.1,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 04:10:00,4.9,1018.8,-2,88,3.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 04:20:00,5.1,1018.8,-2,88,3.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 04:30:00,5.1,1018.7,-2.1,87,3.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WT,2025-01-01 04:40:00,5.1,1018.5,-2.3,87,3.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
