station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WW,2023-01-01 00:00:00,14.4,1010.9,,64,7.6,,11.4,,29,208,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 00:15:00,14.1,1011.1,,66,7.7,,11.9,,22.5,209,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 00:30:00,13.8,1011,,68,7.9,,7,,17.7,208,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 00:45:00,13.8,1010.9,,67,7.8,,10.1,,25.7,202,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 01:00:00,13.9,1010.9,,68,8.1,,11.1,,25.7,207,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 01:15:00,13.9,1011.3,,69,8.2,,9.8,,22.5,209,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 01:30:00,14.2,1011.1,,68,8.3,,12.8,,35.4,200,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 01:45:00,14.3,1011.5,,68,8.4,,10.7,,25.7,211,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 02:00:00,14.5,1011.6,,67,8.4,,13,,30.6,215,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 02:15:00,14.4,1011.8,,68,8.6,,9.7,,24.1,215,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 02:30:00,14.4,1011.8,,69,8.7,,10.8,,20.9,211,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 02:45:00,14.3,1012,,69,8.8,,10.9,,24.1,210,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 03:00:00,14.2,1012,1.1,71,8.9,,10.7,,32.2,204,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 03:15:00,14.1,1011.9,1,71,8.9,,9.4,,20.9,211,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 03:30:00,14.1,1012.1,1.2,72,9.1,,10.6,,22.5,209,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 03:45:00,14,1012.2,1.3,73,9.3,,9.5,,24.1,212,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 04:00:00,14.1,1012.5,1.6,74,9.4,,9.8,,22.5,214,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 04:15:00,14.1,1012.4,1.5,74,9.5,,10.9,,20.9,212,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 04:30:00,14.1,1012.4,1.5,74,9.6,,10.6,,29,214,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 04:45:00,14.1,1012.7,1.8,75,9.6,,10.5,,29,218,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 05:00:00,13.9,1012.7,1.1,76,9.8,,9.9,,24.1,212,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 05:15:00,13.8,1013.1,1.5,77,9.8,,10.9,,24.1,214,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 05:30:00,13.7,1013.3,1.7,77,9.8,,9.1,,20.9,215,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 05:45:00,13.7,1013.2,1.6,77,9.8,,11.7,,24.1,209,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 06:00:00,13.6,1013.5,1.5,78,9.8,,10.3,,30.6,210,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 06:15:00,13.4,1013.5,1.5,79,9.8,,9.5,,24.1,214,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 06:30:00,13.4,1013.8,1.8,78,9.8,,11,,27.4,209,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 06:45:00,13.4,1014.2,2.2,78,9.7,,10.3,,24.1,214,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 07:00:00,13.3,1014.1,1.6,78,9.6,,7.3,,17.7,214,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 07:15:00,13.2,1014.5,2,79,9.5,,8.6,,19.3,206,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 07:30:00,13.1,1014.6,2.1,78,9.4,,10.3,,25.7,205,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 07:45:00,13.1,1014.5,2,78,9.2,,10.3,,27.4,209,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 08:00:00,12.9,1015,2.3,78,9.1,,8.5,,24.1,209,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000WW,2023-01-01 08:15:00,12.8,1015.1,2.4,78,9.1,,7.4,,19.3,202,,,,,,,,,0,,11,,,,,@@@@0,wlkLive
000WW,2023-01-01 08:30:00,12.7,1015.3,2.6,78,9,,7.8,,22.5,202,,,,,,,,,0,,21,,,,,@@@@0,wlkLive
000WW,2023-01-01 08:45:00,12.7,1015.4,2.7,78,8.9,,8,,22.5,201,,,,,,,,,0,,32,,,,,@@@@0,wlkLive
000WW,2023-01-01 09:00:00,12.7,1015.6,2.1,78,9,,8,,17.7,198,,,0,,,,,,0,,42,,,,,@@@@0,wlkLive
000WW,2023-01-01 09:15:00,12.6,1015.5,2,79,9.1,,7.8,,19.3,202,,,,,,,,,0,,56,,,,,@@@@0,wlkLive
000WW,2023-01-01 09:30:00,12.7,1015.4,1.9,80,9.2,,6.3,,19.3,210,,,,,,,,,0,,72,,,,,@@@@0,wlkLive
000WW,2023-01-01 09:45:00,12.8,1015.6,2.1,80,9.4,,8.5,,22.5,203,,,,,,,,,0,,77,,,,,@@@@0,wlkLive
000WW,2023-01-01 10:00:00,12.8,1015.9,1.8,80,9.4,,7.5,,19.3,205,,,0,,,,,,0,,65,,,,,@@@@0,wlkLive
000WW,2023-01-01 10:15:00,12.8,1016,1.9,81,9.5,,7.4,,17.7,203,,,,,,,,,0,,77,,,,,@@@@0,wlkLive
000WW,2023-01-01 10:30:00,12.8,1015.8,1.7,81,9.6,,8.2,,19.3,203,,,,,,,,,0,,86,,,,,@@@@0,wlkLive
000WW,2023-01-01 10:45:00,13,1015.7,1.6,80,9.6,,6.1,,16.1,199,,,,,,,,,0,,65,,,,,@@@@0,wlkLive
000WW,2023-01-01 11:00:00,13.1,1015.7,0.7,80,9.7,,7.5,,20.9,211,,,0,,,,,,0,,69,,,,,@@@@0,wlkLive
000WW,2023-01-01 11:15:00,13.1,1015.6,0.6,80,9.8,,7,,16.1,208,,,,,,,,,0,,62,,,,,@@@@0,wlkLive
000WW,2023-01-01 11:30:00,13.1,1015.4,0.4,80,9.8,,8.5,,24.1,203,,,,,,,,,0,,98,,,,,@@@@0,wlkLive
000WW,2023-01-01 11:45:00,13.3,1015.2,0.2,81,10,,8,,27.4,197,,,,,,,,,0,,120,,,,,@@@@0,wlkLive
000WW,2023-01-01 12:00:00,13.3,1014.9,-0.7,80,10.1,,7.3,,16.1,204,,,0,,,,,,0,,77,,,,,@@@@0,wlkLive
000WW,2023-01-01 12:15:00,13.3,1014.6,-1,81,10,,8,,19.3,197,,,,,,,,,0,,88,,,,,@@@@0,wlkLive
000WW,2023-01-01 12:30:00,13.3,1014.5,-1.1,81,10.1,,9,,24.1,190,,,,,,,,,0,,60,,,,,@@@@0,wlkLive
000WW,2023-01-01 12:45:00,13.2,1014.5,-1.1,81,10,,9.5,,20.9,186,,,,,,,,,0,,42,,,,,@@@@0,wlkLive
000WW,2023-01-01 13:00:00,13.1,1014.4,-1.5,81,9.9,,7.2,,20.9,195,,,0,,,,,,0,,33,,,,,@@@@0,wlkLive
000WW,2023-01-01 13:15:00,13,1014.3,-1.6,81,9.9,,7.1,,19.3,191,,,,,,,,,0,,33,,,,,@@@@0,wlkLive
000WW,2023-01-01 13:30:00,12.9,1014.3,-1.6,81,9.7,,8.6,,22.5,199,,,,,,,,,0,,23,,,,,@@@@0,wlkLive
000WW,2023-01-01 13:45:00,12.8,1014.2,-1.7,81,9.7,,8.5,,25.7,189,,,,,,,,,0,,16,,,,,@@@@0,wlkLive
000WW,2023-01-01 14:00:00,12.6,1013.9,-1.8,83,9.7,,5.9,,16.1,184,,,0,,,,,,0,,16,,,,,@@@@0,wlkLive
000WW,2023-01-01 14:15:00,12.3,1014,-1.7,84,9.7,,7.1,,17.7,188,,,,,,,,,0,,16,,,,,@@@@0,wlkLive
000WW,2023-01-01 14:30:00,12.1,1014,-1.7,86,9.8,,4.8,,12.9,182,,,,,,,,,0,,11,,,,,@@@@0,wlkLive
000WW,2023-01-01 14:45:00,11.8,1013.9,-1.8,88,9.8,,4.3,,11.3,184,,,,,,,,,0.2,,7,,,,,@@@@0.2,wlkLive
000WW,2023-01-01 15:00:00,11.6,1013.9,-1,89,9.9,,4.4,,9.7,171,,,0.6,0.6,0.6,0.6,,,1.4,,0,,,,61,@@@@0.6,wlkLive
000WW,2023-01-01 15:15:00,11.4,1013.7,-1.2,91,9.9,,3.1,,9.7,175,,,,,,,,,2,,0,,,,61,@@@@1,wlkLive
000WW,2023-01-01 15:30:00,11.3,1013.7,-1.2,91,9.9,,4.6,,11.3,175,,,,,,,,,2.4,,0,,,,61,@@@@1.6,wlkLive
000WW,2023-01-01 15:45:00,11.2,1013.4,-1.5,92,9.9,,3.3,,9.7,159,,,,,,,,,1.8,,0,,,,61,@@@@2.2,wlkLive
000WW,2023-01-01 16:00:00,11.1,1013.2,-1.2,93,9.9,,3.2,,6.4,145,,,2,2.6,2.6,2.6,,,1.6,,0,,,,61,@@@@2.6,wlkLive
000WW,2023-01-01 16:15:00,11,1012.9,-1.5,93,9.9,,2.7,,9.7,133,,,,,,,,,1.8,,0,,,,61,@@@@3,wlkLive
000WW,2023-01-01 16:30:00,10.9,1012.9,-1.5,94,9.9,,2.8,,8,138,,,,,,,,,1.6,,0,,,,61,@@@@3.4,wlkLive
000WW,2023-01-01 16:45:00,10.8,1012.8,-1.6,94,9.8,,4.6,,12.9,139,,,,,,,,,1.2,,0,,,,61,@@@@3.6,wlkLive
