station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WX,2021-06-16 15:45:00,31.3,1011.9,,51,20.1,,4.5,,11.3,127,,,,,,,,,0,,578,2.1,,,,2.1@@@@234.4@@@@,wlkLive
000WX,2021-06-16 16:00:00,31.3,1011.7,,49,19.2,,2.5,,9.7,105,,,0,,,,,,0,,343,2,,,,2@@@@234.4@@@@,wlkLive
000WX,2021-06-16 16:15:00,30.8,1011.5,,51,19.6,,3.3,,8,131,,,,,,,,,0,,490,2.1,,,,2.1@@@@234.4@@@@,wlkLive
000WX,2021-06-16 16:30:00,30.4,1011.3,,52,19.6,,2.7,,8,127,,,,,,,,,0,,118,1.3,,,,1.3@@@@234.4@@@@,wlkLive
000WX,2021-06-16 16:45:00,29.1,1011.2,,57,19.8,,1.6,,6.4,109,,,,,,,,,0,,100,0.9,,,,0.9@@@@234.4@@@@,wlkLive
000WX,2021-06-16 17:00:00,28.6,1010.9,,62,20.5,,2.3,,6.4,87,,,0,,,,,,0,,146,0.8,,,,0.8@@@@234.4@@@@,wlkLive
000WX,2021-06-16 17:15:00,29,1010.9,,61,20.8,,0.5,,3.2,131,,,,,,,,,0,,105,0.7,,,,0.7@@@@234.4@@@@,wlkLive
000WX,2021-06-16 17:30:00,28.3,1010.8,,62,20.4,,2.1,,4.8,96,,,,,,,,,0,,91,0.6,,,,0.6@@@@234.4@@@@,wlkLive
000WX,2021-06-16 17:45:00,28.4,1010.8,,60,19.9,,1.3,,4.8,112,,,,,,,,,0,,102,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 18:00:00,28.4,1010.9,-1,62,20.4,,0.8,,3.2,138,,,0,,,,,,0,,88,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 18:15:00,28.1,1010.9,-1,60,19.6,,1.3,,4.8,108,,,,,,,,,0,,42,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 18:30:00,28,1010.8,-1.1,62,20,,2.5,,11.3,119,,,,,,,,,0,,37,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 18:45:00,27.8,1010.8,-1.1,59,19,,1.6,,4.8,138,,,,,,,,,0,,30,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 19:00:00,27.6,1010.8,-0.9,60,19.2,,1.6,,6.4,129,,,0,,,,,,0,,16,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 19:15:00,27.7,1010.9,-0.8,60,19.2,,3.1,,11.3,167,,,,,,,,,0,,7,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 19:30:00,27.3,1010.9,-0.8,61,19.1,,2.8,,11.3,152,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 19:45:00,27.2,1010.9,-0.8,61,18.8,,3,,9.7,145,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 20:00:00,26.6,1011.1,0.2,63,18.9,,2.4,,4.8,98,,,0,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 20:15:00,26.4,1011.3,0.4,64,19,,0.7,,3.2,134,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 20:30:00,26,1011.5,0.6,65,18.9,,1,,4.8,110,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 20:45:00,26,1011.8,0.9,65,18.9,,0.9,,4.8,144,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 21:00:00,26.1,1012,1.1,65,18.9,,3.1,,11.3,146,,,0,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 21:15:00,25.6,1012,1.1,66,18.7,,3.1,,11.3,122,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
000WX,2021-06-16 21:30:00,25.1,1012,1.1,67,18.7,,2,,8,124,,,,,,,,,0,,0,0,,,,0@@@@234.4@@@@,wlkLive
