station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WY,2023-01-01 00:00:00,13.9,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 00:10:00,13.9,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 00:20:00,13.8,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 00:30:00,13.8,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 00:40:00,13.7,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 00:50:00,13.7,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 01:00:00,13.5,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 01:10:00,13.5,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 01:30:00,13.4,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 01:40:00,13.3,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 01:50:00,13.3,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 02:00:00,13.3,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 02:10:00,13.1,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 02:20:00,13,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 02:30:00,12.8,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 02:40:00,12.8,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 02:50:00,12.7,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 03:00:00,12.6,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000WY,2023-01-01 03:10:00,12.5,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
