station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WZ,2022-01-01 00:00:00,5.7,,,94,4.8,,2,,6.4,164,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 00:15:00,5.8,,,94,4.9,,2.4,,6.4,153,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 00:30:00,5.8,,,94,4.8,,2.2,,6.4,158,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 00:45:00,5.9,,,94,4.9,,0.8,,3.2,148,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 01:00:00,6.1,,,94,5.1,,2,,6.4,172,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 01:15:00,6.1,,,94,5.2,,2.1,,9.7,154,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 01:30:00,6.2,,,93,5.2,,1.7,,4.8,149,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 01:45:00,6.3,,,93,5.3,,0.8,,3.2,154,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 02:00:00,6.3,,,93,5.2,,3,,6.4,144,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 02:15:00,6.3,,,93,5.3,,2.4,,6.4,139,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000WZ,2022-01-01 02:30:00,6.4,,,93,5.4,,2.1,,6.4,146,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
