station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XB,2021-07-01 20:30:00,18,1016.7,,71,12.7,,0,,2,2,12.2,23.2,,,,,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-01 21:00:00,17.6,1016.7,,73,12.7,,0,,2,2,12.2,23.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-01 21:30:00,17,1016.9,,75,12.5,,0,,0,2,12.2,23.2,,,,,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-01 22:00:00,16.4,1016.9,,78,12.5,,0,,0,1,12.2,23.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-01 22:30:00,16.1,1017.1,,79,12.4,,0,,0,0,16.1,16.4,,,,,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-01 23:00:00,15.3,1017.1,0.4,82,12.3,,0,,0,0,15.3,16.4,0,0,0,0,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-01 23:30:00,15.2,1017.1,0.4,82,12.1,,0,,0,0,15.2,16.4,,,,,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-02 00:00:00,14.8,1016.9,,83,12,,0,,0,0,14.8,16.4,0,0,0,0,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-02 00:30:00,14.3,1016.9,,85,11.8,,0,,0,0,14.3,16.4,,,,,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
000XB,2021-07-02 01:00:00,14.1,1016.8,,85,11.6,,0,,0,0,14.1,16.4,0,0,0,0,,0,0,,0,0,,,,0@0@@@356.0@@@,weatherlink
