station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XD,2021-07-03 19:45:00,22.1,1013.6,,69,16.2,,2.9,,6.5,134,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 20:00:00,21.8,1013.7,,71,16.2,,2.5,,6.2,150,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 20:15:00,21.5,1013.8,,71,16.1,,1.7,,5.4,160,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 20:45:00,20.9,1014,,74,16.1,,1.5,,4.8,233,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 21:00:00,20.7,1013.9,,75,16.1,,2.3,,5.4,255,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 21:15:00,20.4,1013.8,,76,16.2,,1.7,,5.1,230,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 21:45:00,19.9,1013.6,,79,16.1,,1.2,,4.6,281,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 22:00:00,19.7,1013.5,-0.1,79,16,,1.6,,5.1,241,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 22:15:00,19.4,1013.4,-0.2,80,16,,2,,5.8,234,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 22:45:00,18.9,1013.3,-0.3,82,15.7,,1.1,,4.8,198,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 23:00:00,18.6,1013.2,-0.5,83,15.6,,0.7,,3.5,196,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 23:15:00,18.1,1013.2,-0.5,85,15.6,,1.2,,3.3,117,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-03 23:45:00,17.4,1013.1,-0.6,88,15.5,,2,,5.1,85,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 00:00:00,17.4,1013,,89,15.6,,1.4,,3.5,90,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 00:15:00,17.2,1013.1,,89,15.4,,1.2,,3.6,60,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 00:30:00,17.2,1012.9,,89,15.3,,1.5,,3.6,70,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 00:45:00,17.2,1012.8,,89,15.4,,1.7,,3.6,114,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 01:00:00,17.1,1012.7,,89,15.3,,2.1,,3.5,102,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 01:15:00,17,1012.6,,90,15.3,,1.5,,4.1,116,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 01:30:00,16.9,1012.6,,90,15.3,,1.3,,2.8,120,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 01:45:00,16.8,1012.5,,90,15.2,,1.9,,4.1,109,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 02:00:00,16.7,1012.4,,90,15.1,,0.6,,3.2,114,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 02:15:00,16.7,1012.3,,91,15.2,,0.8,,3.2,106,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 02:30:00,16.7,1012.3,,91,15.3,,1.6,,2.9,103,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 02:45:00,16.8,1012.5,,91,15.3,,2.1,,4.3,120,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 03:00:00,17,1012.4,-0.6,89,15.2,,1.5,,5.4,174,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 03:15:00,17.1,1012.3,-0.7,89,15.2,,2.2,,5.8,111,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 03:30:00,17.1,1012.1,-0.9,90,15.3,,1.7,,3.7,146,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 03:45:00,17,1012.2,-0.8,89,15.2,,1.3,,3.9,249,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000XD,2021-07-04 04:00:00,16.7,1012.3,-0.4,92,15.3,,3.6,,8.5,258,,,1.8,1.8,1.8,,,,4.4,,,,,,80,@@@@1.8@@@@,wlkLive
000XD,2021-07-04 04:15:00,16.5,1012.2,-0.5,92,15.3,,2.8,,10.3,261,,,,,,,,,4.8,,,,,,63,@@@@3@@@@,wlkLive
000XD,2021-07-04 04:30:00,16.4,1011.7,-1,93,15.2,,2.3,,7.1,17,,,,,,,,,3.6,,,,,,63,@@@@4.2@@@@,wlkLive
000XD,2021-07-04 04:45:00,16.4,1011.5,-1.2,94,15.5,,0.9,,2.3,51,,,,,,,,,1,,,,,,61,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 05:00:00,16.3,1011.8,-0.6,94,15.4,,1.6,,3.6,135,,,2.6,4.4,4.4,,,,0,,,,,,25,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 05:15:00,16.5,1011.9,-0.5,94,15.4,,0.5,,2.8,223,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 05:30:00,16.6,1011.9,-0.5,94,15.6,,1.2,,3.8,181,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 05:45:00,16.7,1012,-0.4,93,15.5,,1.5,,3.6,280,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 06:00:00,16.7,1012.2,-0.2,92,15.4,,1.1,,5.3,259,,,0,4.4,4.4,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 06:15:00,16.8,1012,-0.4,92,15.5,,2.8,,8.5,245,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 06:30:00,17.1,1011.8,-0.6,92,15.7,,2.8,,8.1,271,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 06:45:00,17.1,1012,-0.4,90,15.5,,3.2,,8.5,236,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 07:00:00,17.3,1011.9,-0.4,90,15.6,,3.3,,9,266,,,0,2.6,4.4,4.4,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 07:15:00,17.5,1012,-0.3,89,15.7,,4.1,,11.8,247,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 07:30:00,17.5,1012,-0.3,89,15.6,,4.4,,14.1,245,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 07:45:00,17.7,1012.2,-0.1,88,15.7,,3.6,,10.1,259,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 08:00:00,18.6,1012,0.2,84,15.9,,4,,13.4,270,,,0,,4.4,4.4,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 08:15:00,19.7,1011.7,-0.1,84,16.9,,4.2,,11.1,297,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 08:30:00,19.9,1011.8,,79,16.2,,4,,10.8,298,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 08:45:00,20.6,1011.9,0.1,76,16.1,,3.1,,7.6,264,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 09:00:00,20.7,1011.7,-0.5,72,15.4,,6.2,,14.5,242,,,0,,4.4,4.4,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 09:15:00,20.6,1011.7,-0.5,72,15.3,,5.7,,17.3,235,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
000XD,2021-07-04 09:30:00,19.8,1011.7,-0.5,76,15.4,,6.7,,14,264,,,,,,,,,0,,,,,,,@@@@4.4@@@@,wlkLive
