station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XI,2023-01-01 00:00:00,7.4,1023.3,,96,6.8,,0.1,,3.2,114,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000XI,2023-01-01 00:15:00,7.1,1023.5,,95,6.3,,0.4,,3.2,114,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000XI,2023-01-01 00:30:00,6.6,1023.3,,95,5.9,,1.4,,3.2,114,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000XI,2023-01-01 00:45:00,6.8,1023.2,,97,6.4,,1.3,,6.4,147,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000XI,2023-01-01 01:00:00,7.8,1023,,98,7.6,,3.2,,6.4,151,,,0.2,,,,,,0.2,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 01:15:00,8.6,1023,,98,8.2,,2.2,,4.8,112,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 01:30:00,8.6,1022.8,,98,8.3,,2.5,,9.7,124,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 01:45:00,8.7,1022.6,,96,8.1,,3.9,,11.3,92,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 02:00:00,8.5,1022.7,,97,8,,5,,11.3,,,,0,0.2,,,,,0,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 02:15:00,8.2,1022.9,,96,7.6,,2,,4.8,105,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 02:30:00,7.5,1022.8,,95,6.8,,1.1,,4.8,,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000XI,2023-01-01 02:45:00,7.4,1022.7,,97,6.9,,2,,4.8,89,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
