station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XJ,2025-01-01 00:00:00,-4.3,1028.7,,98,-4.6,,1.3,,3.2,142,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 00:15:00,-4.2,1028.5,,98,-4.5,,0.7,,3.2,142,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 00:30:00,-3.9,1028.3,,98,-4.3,,0.5,,4.8,246,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 00:45:00,-4.2,1028.3,,97,-4.5,,1,,3.2,252,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 01:00:00,-4.3,1028.2,,97,-4.7,,2.4,,4.8,218,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 01:15:00,-4.2,1027.8,,97,-4.6,,3.5,,6.4,149,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 01:30:00,-3.9,1027.7,,98,-4.2,,5.9,,11.3,155,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 01:45:00,-3.7,1027.6,,98,-4,,2.3,,6.4,152,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 02:00:00,-3.2,1027.6,,98,-3.4,,2.3,,8,169,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 02:15:00,-3.2,1027.4,,98,-3.4,,4.8,,11.3,159,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 02:30:00,-3,1027.3,,98,-3.3,,6.3,,12.9,161,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 02:45:00,-2.9,1027.1,,98,-3.3,,3.8,,9.7,168,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 03:00:00,-3.1,1026.9,-1.8,98,-3.4,,1.7,,6.4,199,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 03:15:00,-3.3,1026.8,-1.9,98,-3.6,,1.9,,6.4,260,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 03:30:00,-2.9,1026.4,-2.3,98,-3.2,,4.8,,11.3,160,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 03:45:00,-2.7,1026.3,-2.4,98,-3,,6.8,,11.3,168,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 04:00:00,-0.7,1026,-2.2,99,-0.9,,10.9,,24.1,179,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 04:15:00,0.2,1026,-2.2,98,-0.2,,10.3,,17.7,177,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 04:30:00,0.8,1025.7,-2.5,96,0.2,,12.9,,22.5,176,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 04:45:00,0.9,1025.4,-2.8,91,-0.3,,9.4,,19.3,194,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 05:00:00,1.6,1025.4,-2.2,91,0.2,,14.1,,29,175,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 05:15:00,2.8,1025.3,-2.3,85,0.5,,16.5,,43.5,175,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 05:30:00,3.7,1025.2,-2.4,79,0.4,,19.7,,46.7,176,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 05:45:00,4,1025.4,-2.2,76,0.2,,16.2,,32.2,184,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 06:00:00,3.8,1025.4,-1.5,76,0,,15,,29,187,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000XJ,2025-01-01 06:15:00,3.3,1025.7,-1.2,77,-0.3,,12.5,,24.1,194,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
