station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XR,2021-08-12 12:10:00,28.3,1019,,67,21.7,,4.8,,9.7,219,13.6,28.3,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@29.7@27.9@29.7@8:58am@2:05pm@28.3@31.1@0@59@55@61@12:01am@1:43pm@1334@1752@+0200,wlkIPxml
000XR,2021-08-12 12:20:00,28.7,1019,,68,22.2,,4.8,,9.7,242,13.6,28.7,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@29.8@27.9@29.8@8:58am@2:19pm@28.9@32.2@0@59@55@61@12:01am@1:43pm@1419@1752@+0200,wlkIPxml
000XR,2021-08-12 12:30:00,29.2,1019,,67,22.2,,3.2,,9.7,217,13.6,29.2,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@29.9@27.9@29.9@8:58am@2:29pm@29.4@32.8@0@59@55@61@12:01am@1:43pm@1428@1752@+0200,wlkIPxml
000XR,2021-08-12 12:40:00,29.3,1019.1,,65,22.2,,4.8,,11.3,210,13.6,29.3,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@29.9@27.9@29.9@8:58am@2:29pm@29.4@32.8@0@59@55@61@12:01am@1:43pm@1432@1752@+0200,wlkIPxml
000XR,2021-08-12 12:50:00,28.9,1019,,66,21.7,,4.8,,11.3,234,13.6,29.3,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@30@27.9@30.1@8:58am@2:41pm@28.9@32.2@0@59@55@61@12:01am@1:43pm@1432@1752@+0200,wlkIPxml
000XR,2021-08-12 13:00:00,29.3,1018.7,,65,22.2,,1.6,,6.4,199,13.6,29.3,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@30.1@27.9@30.1@8:58am@2:41pm@29.4@32.8@0@58@55@61@12:01am@1:43pm@1432@1752@+0200,wlkIPxml
000XR,2021-08-12 13:10:00,29.4,1018.8,,66,22.2,,1.6,,8,184,13.6,29.4,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@30.1@27.9@30.1@8:58am@2:41pm@29.4@32.8@0@58@55@61@12:01am@1:43pm@1508@1752@+0200,wlkIPxml
000XR,2021-08-12 13:20:00,29.3,1018.9,,67,22.8,,1.6,,6.4,151,13.6,29.5,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@30.1@27.9@30.1@8:58am@3:10pm@29.4@33.3@0@58@55@61@12:01am@1:43pm@1512@1752@+0200,wlkIPxml
000XR,2021-08-12 13:30:00,28.8,1018.8,,68,22.2,,4.8,,8,130,13.6,29.5,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@30.2@27.9@30.2@8:58am@3:21pm@28.9@32.2@0@59@55@61@12:01am@1:43pm@1512@1752@+0200,wlkIPxml
000XR,2021-08-12 13:40:00,28.6,1018.6,,68,22.2,,4.8,,8,118,13.6,29.5,,,,,,0,0,0,,,,,,@@@@752.6@@@14.5@30.2@27.9@30.2@8:58am@3:21pm@28.3@31.7@0@58@55@61@12:01am@1:43pm@1512@1752@+0200,wlkIPxml
