station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XW,2021-08-15 07:10:00,13.4,1015.3,,98,13.3,,0,,0,322,9.9,13.4,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@19.8@19.4@20.9@7:04am@12:00am@13.3@13.3@0@57@57@64@12:00am@5:50am@2109@1702@+0200,wlkIPxml
000XW,2021-08-15 07:20:00,14,1015.2,,98,13.9,,0,,0,322,9.9,14,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@19.9@19.4@20.9@7:04am@12:00am@13.9@13.9@0@56@56@64@9:14am@5:50am@2119@1702@+0200,wlkIPxml
000XW,2021-08-15 07:30:00,14.6,1015.2,,99,14.4,,0,,0,322,9.9,14.6,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@20@19.4@20.9@7:04am@12:00am@14.4@14.4@0@57@56@64@9:14am@5:50am@2129@1702@+0200,wlkIPxml
000XW,2021-08-15 07:40:00,15,1015.2,,98,15,,0,,0,322,9.9,15,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@20.1@19.4@20.9@7:04am@12:00am@15@15@0@56@56@64@9:14am@5:50am@2138@1702@+0200,wlkIPxml
000XW,2021-08-15 07:50:00,15.6,1015.2,,98,15.6,,0,,0,322,9.9,15.6,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@20.1@19.4@20.9@7:04am@12:00am@15.6@16.1@0@57@56@64@9:14am@5:50am@2149@1702@+0200,wlkIPxml
000XW,2021-08-15 08:00:00,16.2,1015.2,,97,15.6,,0,,0,322,9.9,16.2,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@20.2@19.4@20.9@7:04am@12:00am@16.1@16.7@0@57@56@64@9:14am@5:50am@2159@1702@+0200,wlkIPxml
000XW,2021-08-15 08:10:00,16.9,1015.3,,94,16.1,,0,,0,322,9.9,16.9,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@20.4@19.4@20.9@7:04am@12:00am@16.7@17.2@0@57@56@64@9:14am@5:50am@2208@1702@+0200,wlkIPxml
000XW,2021-08-15 08:20:00,17.3,1015.2,,91,16.1,,0,,1.6,322,9.9,17.3,,,,,,0,0,0,,,,,,@@@@438.4@@@1.6@20.5@19.4@20.9@7:04am@12:00am@17.2@17.8@0@57@56@64@9:14am@5:50am@2217@1702@+0200,wlkIPxml
000XW,2021-08-15 08:30:00,17.7,1015.1,,88,15.6,,0,,3.2,322,9.9,17.7,,,,,,0,0,0,,,,,,@@@@438.4@@@3.2@20.4@19.4@20.9@7:04am@12:00am@17.8@17.8@0@56@56@64@9:14am@5:50am@2227@1702@+0200,wlkIPxml
000XW,2021-08-15 08:40:00,18.3,1015,,86,16.1,,0,,1.6,322,9.9,18.3,,,,,,0,0,0,,,,,,@@@@438.4@@@3.2@20.5@19.4@20.9@7:04am@12:00am@18.3@18.9@0@57@56@64@9:14am@5:50am@2239@1702@+0200,wlkIPxml
000XW,2021-08-15 08:50:00,18.9,1015,,86,16.7,,0,,0,322,9.9,18.9,,,,,,0,0,0,,,,,,@@@@438.4@@@3.2@20.6@19.4@20.9@7:04am@12:00am@18.9@19.4@0@57@56@64@9:14am@5:50am@2249@1702@+0200,wlkIPxml
000XW,2021-08-15 09:00:00,19.4,1014.8,,83,16.7,,0,,1.6,322,9.9,19.4,0,,,,,0,0,0,,,,,,@@@@438.4@@@3.2@20.8@19.4@20.9@7:04am@12:00am@19.4@20@0@57@56@64@9:14am@5:50am@2258@1702@+0200,wlkIPxml
000XW,2021-08-15 09:10:00,19.9,1014.7,,79,16.1,,0,,3.2,258,9.9,19.9,,,,,,0,0,0,,,,,,@@@@438.4@@@3.2@20.9@19.4@20.9@7:04am@12:00am@20@20.6@0@56@56@64@9:14am@5:50am@2309@1702@+0200,wlkIPxml
000XW,2021-08-15 09:20:00,20.3,1014.7,,78,16.1,,0,,3.2,296,9.9,20.3,,,,,,0,0,0,,,,,,@@@@438.4@@@3.2@20.9@19.4@20.9@7:04am@12:00am@20.6@20.6@0@55@55@64@11:17am@5:50am@2319@1702@+0200,wlkIPxml
000XW,2021-08-15 09:30:00,20.7,1014.6,,78,16.7,,1.6,,8,246,9.9,20.7,,,,,,0,0,0,,,,,,@@@@438.4@@@8@20.9@19.4@20.9@7:04am@12:00am@20.6@21.1@0@55@55@64@11:17am@5:50am@2328@1702@+0200,wlkIPxml
000XW,2021-08-15 09:40:00,21.1,1014.5,,76,16.7,,1.6,,8,291,9.9,21.1,,,,,,0,0,0,,,,,,@@@@438.4@@@8@21.1@19.4@21.1@7:04am@11:35am@21.1@21.7@0@55@55@64@11:17am@5:50am@2339@1702@+0200,wlkIPxml
000XW,2021-08-15 09:50:00,21.5,1014.4,,74,16.7,,1.6,,6.4,259,9.9,21.5,,,,,,0,0,0,,,,,,@@@@438.4@@@8@21.1@19.4@21.1@7:04am@11:35am@21.7@21.7@0@54@54@64@11:44am@5:50am@2349@1702@+0200,wlkIPxml
000XW,2021-08-15 10:00:00,21.8,1014.4,-0.9,72,16.7,,1.6,,8,255,9.9,21.8,0,,,,,0,0,0,,,,,,@@@@438.4@@@8@21.2@19.4@21.2@7:04am@11:54am@21.7@22.2@0@54@54@64@11:44am@5:50am@2357@1702@+0200,wlkIPxml
000XW,2021-08-15 10:10:00,22.1,1014.3,-1,72,16.7,,1.6,,11.3,255,9.9,22.1,,,,,,0,0,0,,,,,,@@@@438.4@@@11.3@21.2@19.4@21.2@7:04am@11:54am@22.2@22.2@0@54@54@64@11:44am@5:50am@2408@1702@+0200,wlkIPxml
000XW,2021-08-15 10:20:00,22.5,1014.3,-1,72,17.2,,0,,6.4,275,9.9,22.5,,,,,,0,0,0,,,,,,@@@@438.4@@@11.3@21.3@19.4@21.3@7:04am@12:17pm@22.8@22.8@0@54@54@64@11:44am@5:50am@2419@1702@+0200,wlkIPxml
000XW,2021-08-15 10:30:00,22.7,1014.3,-1,70,17.2,,1.6,,9.7,261,9.9,22.7,,,,,,0,0,0,,,,,,@@@@438.4@@@11.3@21.3@19.4@21.3@7:04am@12:17pm@22.8@23.3@0@54@54@64@11:44am@5:50am@2427@1702@+0200,wlkIPxml
000XW,2021-08-15 10:40:00,22.9,1014.2,-1.1,71,17.2,,3.2,,12.9,299,9.9,22.9,,,,,,0,0,0,,,,,,@@@@438.4@@@12.9@21.3@19.4@21.3@7:04am@12:35pm@22.8@23.3@0@55@54@64@11:44am@5:50am@2435@1702@+0200,wlkIPxml
000XW,2021-08-15 10:50:00,23.3,1014.2,-1.1,71,17.8,,0,,9.7,325,9.9,23.3,,,,,,0,0,0,,,,,,@@@@438.4@@@12.9@21.3@19.4@21.3@7:04am@12:35pm@23.3@23.9@0@55@54@64@11:44am@5:50am@2449@1702@+0200,wlkIPxml
000XW,2021-08-15 11:00:00,23.8,1014.1,-1.1,70,17.8,,1.6,,11.3,320,9.9,23.8,0,,,,,0,0,0,,,,,,@@@@438.4@@@12.9@21.4@19.4@21.4@7:04am@12:50pm@23.9@25@0@56@54@64@11:44am@5:50am@2458@1702@+0200,wlkIPxml
000XW,2021-08-15 11:10:00,23.7,1014,-1.2,71,18.3,,1.6,,12.9,246,9.9,23.8,,,,,,0,0,0,,,,,,@@@@438.4@@@12.9@21.6@19.4@21.6@7:04am@1:07pm@23.9@24.4@0@56@54@64@11:44am@5:50am@1300@1702@+0200,wlkIPxml
000XW,2021-08-15 11:20:00,23.4,1013.9,-1.3,69,17.2,,1.6,,11.3,178,9.9,23.8,,,,,,0,0,0,,,,,,@@@@438.4@@@12.9@21.6@19.4@21.6@7:04am@1:07pm@23.3@24.4@0@56@54@64@11:44am@5:50am@1300@1702@+0200,wlkIPxml
000XW,2021-08-15 11:30:00,23,1014,-1.2,69,17.2,,3.2,,12.9,303,9.9,23.8,,,,,,0,0,0,,,,,,@@@@438.4@@@12.9@21.6@19.4@21.6@7:04am@1:07pm@22.8@23.9@0@54@54@64@11:44am@5:50am@1300@1702@+0200,wlkIPxml
