station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XY,2021-08-26 05:30:00,15.2,1016.4,,88,13.2,,0.3,,1.8,107,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 05:45:00,15.4,1016.4,,86,13.2,,1.2,,3.6,82,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 06:00:00,15.9,1016.5,,85,13.4,,2,,6,145,,,0,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 06:15:00,16.3,1016.7,,84,13.6,,0.6,,2,131,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 06:30:00,16.3,1016.8,,84,13.7,,1.5,,3.2,50,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 06:45:00,17.3,1016.8,,79,13.6,,1.1,,5,108,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 07:00:00,16.6,1016.9,,83,13.7,,2.9,,6.3,16,,,0,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 07:15:00,16.7,1016.8,,83,13.7,,2.8,,7.6,349,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 07:30:00,17.4,1016.8,,80,13.8,,2.8,,6.2,332,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 07:45:00,17.8,1016.6,,76,13.5,,5.9,,11.1,48,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 08:00:00,18.2,1016.8,0.4,74,13.6,,3.6,,10.2,21,,,0,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 08:15:00,18.3,1016.8,0.4,75,13.8,,3.8,,7.8,346,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 08:30:00,18.7,1016.8,0.4,73,13.8,,3.9,,8.3,18,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
000XY,2021-08-26 08:45:00,19.5,1016.8,0.4,72,14.3,,2,,7.5,64,,,,,,,,,0,,,,,,,@@@@420.8@@@@,wlkLive
