station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000Y9,2018-01-01 00:20:00,12.4,1013.8,,93,11.3,,,,,251,12.4,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.00@12.4@11.3,weatherlink
000Y9,2018-01-01 00:50:00,12.1,1013.9,,93,11,,,,,271,12.1,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.00@12.1@14.5,weatherlink
000Y9,2018-01-01 01:20:00,11.8,1014.4,,91,10.4,,,,,297,11.8,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.00@11.8@29.0,weatherlink
000Y9,2018-01-01 01:50:00,11.1,1015.2,,88,9.2,,,,,298,11.1,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.00@11.1@30.6,weatherlink
000Y9,2018-01-01 02:20:00,11.1,1015.3,,82,8.2,,,,,285,11,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.00@11.0@30.6,weatherlink
000Y9,2018-01-01 02:50:00,11.3,1015.2,,73,6.6,,,,,281,11,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.03@11.0@35.4,weatherlink
000Y9,2018-01-01 03:20:00,11.1,1015.5,1.7,69,5.6,,,,,282,11,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.03@11.0@35.4,weatherlink
000Y9,2018-01-01 03:50:00,10.9,1015.3,1.5,69,5.4,,,,,279,10.9,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.08@10.9@35.4,weatherlink
000Y9,2018-01-01 04:20:00,10.8,1015.3,0.9,69,5.3,,,,,309,10.8,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.08@10.8@38.6,weatherlink
000Y9,2018-01-01 04:50:00,10.7,1015.7,1.3,69,5.2,,,,,263,10.7,13.2,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@13.2@0.0@0.13@10.7@40.2,weatherlink
