station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YB,2022-01-01 00:00:00,13.1,1026.5,,36,-1.7,,3.2,,,331,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 00:15:00,13,1026.4,,36,-1.7,,3.2,,,335,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 00:30:00,13.1,1026.1,,35,-2.2,,3.2,,,327,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 00:45:00,13.4,1025.9,,35,-1.7,,3.2,,,325,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 01:00:00,13.3,1025.8,,33,-2.8,,3.2,,,323,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 01:15:00,13.3,1025.7,,33,-2.8,,3.2,,,321,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 01:30:00,13.6,1025.8,,32,-2.8,,3.2,,,333,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 01:45:00,13.6,1025.8,,32,-2.8,,3.2,,,324,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 02:00:00,13.3,1025.9,,33,-2.8,,3.2,,,321,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 02:15:00,14.1,1025.8,,30,-3.3,,3.2,,,321,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 02:30:00,13.4,1025.7,,34,-2.2,,3.2,,,323,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 02:45:00,13.3,1025.7,,32,-3.3,,3.2,,,326,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 03:00:00,13.3,1025.8,-0.7,32,-3.3,,3.2,,,329,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 03:15:00,13.3,1025.7,-0.8,33,-2.8,,3.2,,,327,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 03:30:00,13.1,1025.6,-0.9,34,-2.8,,3.2,,,329,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 03:45:00,13.1,1025.6,-0.9,33,-2.8,,3.2,,,325,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 04:00:00,13,1025.5,-0.3,35,-2.2,,3.2,,,327,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 04:15:00,12.9,1025.5,-0.3,34,-2.8,,3.2,,,320,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 04:30:00,12.9,1025.3,-0.5,35,-2.2,,3.2,,,332,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 04:45:00,12.9,1025.3,-0.5,34,-2.8,,3.2,,,331,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 05:00:00,12.9,1025.1,-0.8,35,-2.2,,3.2,,,329,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 05:15:00,13,1025.1,-0.8,33,-2.8,,3.2,,,330,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 05:30:00,12.9,1025,-0.9,35,-2.2,,3.2,,,328,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 05:45:00,12.9,1025.1,-0.8,33,-3.3,,3.2,,,332,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 06:00:00,13,1025.1,-0.7,34,-2.8,,3.2,,,326,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 06:15:00,12.8,1025.2,-0.6,35,-2.2,,3.2,,,327,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 06:30:00,12.9,1025.4,-0.4,34,-2.8,,3.2,,,320,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 06:45:00,12.7,1025.5,-0.3,35,-2.2,,3.2,,,322,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 07:00:00,12.7,1025.8,0.3,35,-2.8,,3.2,,,327,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 07:15:00,12.7,1026,0.5,37,-1.7,,3.2,,,328,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 07:30:00,12.8,1026.2,0.7,35,-2.2,,3.2,,,338,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 07:45:00,12.8,1026.1,0.6,36,-2.2,,3.2,,,326,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 08:00:00,12.8,1026.1,1,36,-2.2,,3.2,,,324,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 08:15:00,12.8,1026.1,1,35,-2.2,,3.2,,,340,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 08:30:00,13.3,1025.9,0.8,33,-2.8,,3.2,,,335,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 08:45:00,13.6,1026.1,1,30,-3.9,,1.6,,,15,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 09:00:00,15,1026.1,1,28,-3.3,,1.6,,,15,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 09:15:00,17.4,1026.3,1.2,25,-2.8,,0,,,54,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 09:30:00,18.8,1026.2,1.1,25,-1.7,,0,,,54,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 10:00:00,18.3,1026.2,0.4,28,-0.6,,1.6,,,90,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 10:15:00,19.2,1025.9,0.1,28,0,,0,,,90,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 10:30:00,19.6,1026,0.2,30,1.7,,1.6,,,134,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 10:45:00,20.1,1025.7,-0.1,33,3.3,,0,,,137,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 11:00:00,19.9,1025.4,-0.7,33,3.3,,1.6,,,187,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 11:15:00,20.2,1025.5,-0.6,30,2.2,,1.6,,,138,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 11:30:00,20.2,1025.4,-0.7,36,4.4,,1.6,,,209,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 11:45:00,20.3,1025.3,-0.8,33,3.3,,1.6,,,234,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 12:00:00,19.9,1025.2,-0.9,37,5,,1.6,,,199,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 12:15:00,20,1025,-1.1,36,4.4,,1.6,,,178,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 12:30:00,19.4,1025,-1.1,39,5,,1.6,,,187,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 12:45:00,19.1,1025,-1.1,38,4.4,,1.6,,,171,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 13:00:00,19,1024.9,-1.3,38,4.4,,1.6,,,207,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 13:15:00,18.7,1024.8,-1.4,39,4.4,,1.6,,,213,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 13:30:00,18.4,1024.6,-1.6,45,6.1,,1.6,,,171,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 13:45:00,18.3,1024.4,-1.8,44,5.6,,1.6,,,195,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 14:00:00,17.4,1024.4,-1,47,6.1,,1.6,,,227,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 14:15:00,17,1024.1,-1.3,49,6.1,,1.6,,,184,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 14:30:00,17.4,1024.3,-1.1,48,6.1,,1.6,,,198,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 14:45:00,17.5,1024.3,-1.1,48,6.1,,1.6,,,178,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 15:00:00,17.3,1024.3,-0.9,49,6.7,,0,,,178,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YB,2022-01-01 15:15:00,16.8,1024.3,-0.9,48,5.6,,0,,,178,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
