station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YG,2021-09-13 18:00:00,,,,,,,,,,,11.2,28.4,,,,0,,,,,,,,,,,wlkLivePostprocessed
000YG,2021-09-13 21:30:00,17.1,1015,,87,14.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 21:40:00,17,1015,,90,15.4,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 22:00:00,16.7,1014.9,,89,14.9,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 22:10:00,17.1,1015,,89,15.2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 22:20:00,17.2,1014.9,,87,15.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 22:30:00,17,1014.9,,88,14.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 22:40:00,16.9,1014.8,,89,15,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 22:50:00,16.8,1014.8,,89,14.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 23:00:00,16.6,1014.9,,90,15,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 23:10:00,16.4,1015,,90,14.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 23:20:00,17.3,1015,,91,15.7,,0.6,,3.2,148,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000YG,2021-09-13 23:30:00,17.5,1015,,90,15.8,,0,,1.6,157,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
