station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YJ,2023-01-01 00:00:00,11.4,1009.8,,75,7.2,,13.4,,27.4,320,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 00:15:00,11.4,1009.7,,76,7.3,,13.3,,25.7,316,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 00:30:00,11.5,1009.7,,78,7.8,,14,,35.4,316,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 00:45:00,11.6,1009.8,,79,8,,14.2,,27.4,312,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 01:00:00,11.6,1010,,79,8.1,,13.7,,29,309,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 01:15:00,11.7,1010.1,,79,8.2,,14.8,,25.7,311,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 01:30:00,11.7,1010.2,,79,8.2,,16.1,,27.4,313,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 01:45:00,11.7,1010.2,,79,8.2,,13.8,,30.6,309,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 02:00:00,11.6,1010.4,,79,8.1,,16.3,,30.6,308,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 02:15:00,11.6,1010.7,,79,8,,16.4,,35.4,311,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 02:30:00,11.3,1010.6,,80,7.9,,15.5,,27.4,304,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 02:45:00,11.3,1010.6,,80,8,,17.2,,35.4,304,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 03:00:00,11.1,1010.6,0.8,81,7.9,,14.8,,27.4,308,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 03:15:00,11.1,1010.9,1.1,81,7.9,,16.1,,38.6,308,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 03:30:00,11,1010.9,1.1,81,7.8,,16.6,,32.2,305,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 03:45:00,10.8,1011.1,1.3,82,7.9,,14.7,,27.4,303,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 04:00:00,10.7,1011,1,83,7.9,,13.6,,24.1,300,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 04:15:00,10.7,1011.2,1.2,83,8,,12.6,,22.5,298,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 04:30:00,11,1011.3,1.3,83,8.1,,16.3,,29,299,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 04:45:00,11.1,1011.3,1.3,82,8.2,,14.4,,25.7,300,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 05:00:00,11.1,1011.4,1,82,8.2,,14.6,,32.2,300,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 05:15:00,11.2,1011.7,1.3,83,8.3,,14.3,,27.4,302,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 05:30:00,11.2,1011.6,1.2,82,8.2,,16.2,,41.8,302,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 05:45:00,11.2,1011.6,1.2,83,8.3,,12.7,,24.1,302,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 06:00:00,10.8,1011.9,1.3,81,7.7,,13.3,,25.7,298,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 06:15:00,10.3,1012.1,1.5,82,7.2,,11.6,,24.1,306,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 06:30:00,10.2,1012.3,1.7,83,7.4,,10.3,,20.9,302,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 06:45:00,10,1012.4,1.8,84,7.4,,9,,16.1,297,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 07:00:00,9.8,1012.3,1.3,85,7.4,,5.1,,9.7,299,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 07:15:00,9.9,1012.3,1.3,87,7.8,,5.8,,11.3,286,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 07:30:00,10.1,1012.2,1.2,87,7.9,,6.5,,12.9,276,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 07:45:00,10.3,1012.1,1.1,87,8.2,,7.5,,16.1,286,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 08:00:00,10.4,1011.8,0.4,86,8.2,,9.4,,19.3,288,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 08:15:00,10.6,1012.2,0.8,85,8.2,,9.9,,19.3,293,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 08:30:00,10.7,1012.1,0.7,85,8.2,,7.8,,17.7,298,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 08:45:00,10.7,1012.4,1,85,8.2,,7.5,,12.9,295,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 09:00:00,10.7,1012.6,0.7,85,8.3,,9.4,,16.1,290,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 09:15:00,10.7,1012.5,0.6,86,8.3,,8.1,,16.1,285,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 09:30:00,10.8,1012.4,0.5,86,8.4,,9.1,,14.5,288,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 09:45:00,10.9,1012.1,0.2,86,8.6,,8.5,,16.1,281,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 10:00:00,11.1,1012.2,-0.1,86,8.7,,8.6,,14.5,284,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 10:15:00,11.1,1012.1,-0.2,86,8.8,,7.5,,12.9,285,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 10:30:00,11.3,1012.2,-0.1,86,9,,6.6,,12.9,286,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 10:45:00,11.3,1012,-0.3,86,9.2,,4.2,,6.4,283,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 11:00:00,11.5,1011.9,0.1,86,9.3,,4.8,,11.3,277,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 11:15:00,11.5,1011.8,,82,8.6,,9.7,,17.7,281,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 11:30:00,11,1011.6,-0.2,82,8.1,,12.6,,20.9,291,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 11:45:00,10.6,1011.4,-0.4,84,8,,12,,20.9,299,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YJ,2023-01-01 12:00:00,10.3,1011.5,-1.1,86,8.1,,11,,16.1,298,,,0.2,0.2,0.2,0.2,,,0.2,,,,,,,@@@@0.2,wlkLive
000YJ,2023-01-01 12:15:00,10.2,1011.4,-1.2,88,8.2,,7.4,,14.5,296,,,,,,,,,0.8,,,,,,,@@@@0.4,wlkLive
000YJ,2023-01-01 12:30:00,10,1011.4,-1.2,88,8.1,,7,,14.5,302,,,,,,,,,0.2,,,,,,,@@@@0.6,wlkLive
000YJ,2023-01-01 12:45:00,9.9,1011.3,-1.3,89,8.2,,6.4,,11.3,306,,,,,,,,,0.2,,,,,,,@@@@0.8,wlkLive
000YJ,2023-01-01 13:00:00,9.8,1011,-1.2,90,8.3,,4.1,,8,309,,,0.8,1,1,1,,,1,,,,,,61,@@@@1,wlkLive
000YJ,2023-01-01 13:15:00,9.7,1010.6,-1.6,90,8.2,,3.3,,6.4,293,,,,,,,,,1.2,,,,,,61,@@@@1.4,wlkLive
000YJ,2023-01-01 13:30:00,9.7,1010.3,-1.9,91,8.2,,2.9,,6.4,294,,,,,,,,,0.8,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 13:45:00,9.8,1009.9,-2.3,91,8.4,,3.6,,6.4,276,,,,,,,,,0,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 14:00:00,9.8,1009.6,-2.3,91,8.4,,3.8,,6.4,274,,,0.6,1.6,1.6,1.6,,,0,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 14:15:00,9.8,1009.2,-2.7,91,8.3,,3.5,,6.4,242,,,,,,,,,0,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 14:30:00,9.7,1009.3,-2.6,91,8.3,,3.3,,6.4,236,,,,,,,,,0,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 14:45:00,9.7,1009,-2.9,91,8.4,,2.6,,4.8,247,,,,,,,,,0,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 15:00:00,9.6,1009.2,-2.3,91,8.3,,2.6,,4.8,247,,,0,1.4,1.6,1.6,,,0,,,,,,,@@@@1.6,wlkLive
000YJ,2023-01-01 15:15:00,9.6,1009,-2.5,92,8.2,,1.4,,3.2,247,,,,,,,,,2.8,,,,,,63,@@@@2.2,wlkLive
000YJ,2023-01-01 15:30:00,9.4,1009,-2.5,92,8.1,,2.1,,6.4,228,,,,,,,,,1.8,,,,,,61,@@@@2.6,wlkLive
000YJ,2023-01-01 15:45:00,9.2,1009.1,-2.4,92,7.9,,0.5,,3.2,237,,,,,,,,,1.4,,,,,,61,@@@@3,wlkLive
000YJ,2023-01-01 16:00:00,9.2,1009,-2,92,8,,0.4,,1.6,237,,,2,2.6,3.6,3.6,,,2.6,,,,,,63,@@@@3.6,wlkLive
000YJ,2023-01-01 16:15:00,9.2,1008.7,-2.3,93,8.1,,0,,0,0,,,,,,,,,2.8,,,,,,63,@@@@4.4,wlkLive
000YJ,2023-01-01 16:30:00,9.2,1008.7,-2.3,93,8,,0,,0,0,,,,,,,,,1.6,,,,,,61,@@@@4.8,wlkLive
000YJ,2023-01-01 16:45:00,9.1,1008.7,-2.3,93,7.9,,0.6,,3.2,237,,,,,,,,,1.4,,,,,,61,@@@@5.2,wlkLive
000YJ,2023-01-01 17:00:00,8.9,1008.7,-0.9,93,7.8,,1,,3.2,237,,,2,4,5.6,5.6,,,1.8,,,,,,61,@@@@5.6,wlkLive
000YJ,2023-01-01 17:15:00,8.9,1008.7,-0.9,93,7.8,,0,,0,0,,,,,,,,,1.2,,,,,,61,@@@@6,wlkLive
000YJ,2023-01-01 17:30:00,8.8,1008.9,-0.7,93,7.8,,3.9,,6.4,59,,,,,,,,,1.4,,,,,,61,@@@@6.4,wlkLive
000YJ,2023-01-01 17:45:00,8.8,1008.8,-0.8,93,7.8,,3.3,,8,47,,,,,,,,,1.2,,,,,,61,@@@@6.6,wlkLive
000YJ,2023-01-01 18:00:00,8.8,1008.9,-0.3,93,7.8,,3,,8,28,,,1.2,5.2,6.6,6.8,,,1.2,,,,,,61,@@@@6.8,wlkLive
000YJ,2023-01-01 18:15:00,8.7,1008.9,-0.3,93,7.7,,2.1,,6.4,26,,,,,,,,,0.8,,,,,,,@@@@7,wlkLive
000YJ,2023-01-01 18:30:00,8.6,1008.9,-0.3,94,7.6,,1.6,,6.4,14,,,,,,,,,0.2,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 18:45:00,8.6,1009.4,0.2,94,7.6,,4.6,,12.9,337,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 19:00:00,8.6,1009.4,0.4,94,7.6,,3.7,,6.4,336,,,0.4,3.6,6.2,7.2,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 19:15:00,8.6,1009.6,0.6,94,7.6,,4.7,,12.9,345,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 19:30:00,8.6,1010,1,94,7.7,,5.7,,14.5,339,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 19:45:00,8.6,1010.1,1.1,94,7.7,,6.6,,14.5,339,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 20:00:00,8.6,1010.4,1.7,94,7.7,,5.4,,14.5,340,,,0,1.6,5.6,7.2,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 20:15:00,8.6,1010.3,1.6,94,7.7,,4.8,,12.9,343,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 20:30:00,8.6,1010.4,1.7,94,7.7,,4.2,,12.9,342,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 20:45:00,8.6,1010.7,2,94,7.7,,4.2,,9.7,344,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 21:00:00,8.4,1011.1,2.2,93,7.4,,4.7,,14.5,329,,,0,0.4,5.6,7.2,,,0,,,,,,,@@@@7.2,wlkLive
000YJ,2023-01-01 21:15:00,8.2,1011.1,2.2,93,7.2,,4.4,,8,324,,,,,,,,,0,,,,,,,@@@@7.2,wlkLive
