station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YM,2023-01-01 00:00:00,9.2,1028.7,,92,8,,0.2,,3.2,70,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 00:15:00,9.4,1028.4,,93,8.3,,1,,3.2,70,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 00:30:00,9,1028.5,,92,7.8,,0.1,,1.6,70,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 00:45:00,8.7,1028.3,,92,7.5,,0.1,,1.6,70,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 01:00:00,8.4,1028.3,,93,7.3,,1.6,,3.2,342,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 01:15:00,8.5,1028.3,,93,7.4,,0.3,,3.2,347,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 01:30:00,8.4,1028.5,,93,7.3,,0.7,,3.2,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 01:45:00,8.3,1028.5,,93,7.3,,0.1,,1.6,356,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 02:00:00,8.2,1028.6,,93,7.2,,0.1,,3.2,356,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 02:15:00,8,1028.3,,94,7,,0.6,,3.2,356,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000YM,2023-01-01 02:30:00,8.1,1028.1,,94,7.1,,0.8,,3.2,9,,,,,,,,,0.2,,,,,,,@@@@0.2,wlkLive
000YM,2023-01-01 02:45:00,10.1,1028.3,,95,9.4,,1.1,,6.4,100,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
