station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YN,2022-01-01 00:00:00,8.5,1029.1,,64,2,,0,,0,0,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 00:15:00,8.6,1028.9,,61,1.4,,4.5,,9.7,150,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 00:30:00,8.9,1029,,60,1.6,,0.3,,4.8,149,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 00:45:00,8.4,1028.9,,62,1.5,,4.1,,6.4,127,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 01:00:00,8.4,1028.7,,61,1.3,,1.5,,4.8,128,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 01:15:00,8.2,1028.5,,60,0.9,,3.5,,6.4,137,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 01:30:00,8.6,1028.4,,59,1.1,,0,,0,0,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 01:45:00,8.5,1028.5,,61,1.3,,3.1,,6.4,116,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 02:00:00,8.2,1028.5,,61,1.2,,0.6,,3.2,28,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 02:15:00,8.1,1028.4,,61,0.9,,4.2,,6.4,120,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 02:30:00,8,1028.4,,62,1.1,,3,,6.4,4,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 02:45:00,7.7,1028.3,,62,0.7,,2.2,,4.8,69,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 03:00:00,7.8,1028.4,-0.7,62,1,,6,,11.3,138,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 03:15:00,8.2,1028.1,-1,59,0.6,,2.7,,4.8,108,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 03:30:00,7.8,1028,-1.1,61,0.7,,3.7,,6.4,120,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 03:45:00,7.7,1028.1,-1,60,0.3,,3.3,,9.7,111,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 04:00:00,7.8,1028,-0.7,60,0.5,,4.5,,8,80,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 04:15:00,7.7,1028.1,-0.6,59,0.3,,0,,1.6,113,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 04:30:00,7.4,1028.1,-0.6,59,0,,3.9,,6.4,129,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 04:45:00,7.7,1028,-0.7,58,-0.1,,0.6,,3.2,152,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 05:00:00,7.6,1028,-0.5,59,0.1,,4.8,,6.4,124,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 05:15:00,7.8,1028.1,-0.4,55,-0.6,,3.2,,6.4,123,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 05:30:00,8.2,1028,-0.5,54,-0.4,,1.1,,4.8,141,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 05:45:00,8,1028,-0.5,55,-0.6,,0,,0,0,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 06:00:00,7.9,1028.2,-0.2,54,-0.8,,1.7,,4.8,114,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 06:15:00,7.8,1028.1,-0.3,56,-0.4,,2.6,,4.8,116,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 06:30:00,7.6,1028,-0.4,56,-0.7,,1.7,,6.4,146,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 06:45:00,7.4,1028.2,-0.2,58,-0.3,,1.1,,6.4,86,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 07:00:00,6.9,1028.4,0.4,60,-0.3,,2.6,,4.8,87,,,0,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
000YN,2022-01-01 07:15:00,6.9,1028.4,0.4,60,-0.3,,0,,0.2,0,,,,,,,,,0,,0,,,,,@@@@321.8@@@@,wlkLive
