station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YO,2021-09-30 15:15:00,22.4,1022,,46,10.3,,7.9,,19.3,346,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 15:30:00,22.3,1022,,47,10.4,,4.7,,14.5,328,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 15:45:00,22.2,1022.1,,46,10.1,,6.9,,20.9,327,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 16:00:00,21.8,1022.1,,48,10.2,,8.4,,22.5,320,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 16:15:00,21.2,1022.2,,50,10.2,,6.1,,20.9,313,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 16:30:00,21.2,1022.2,,49,10.1,,6.1,,14.5,333,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 16:45:00,20.9,1022.2,,51,10.3,,4.4,,14.5,326,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 17:00:00,20.4,1022.3,,50,9.8,,5.4,,16.1,332,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 17:15:00,19.9,1022.4,,51,9.4,,4.5,,12.9,332,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 17:30:00,19.6,1022.4,,52,9.5,,5,,16.1,331,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 17:45:00,19.1,1022.4,,52,9,,4.4,,12.9,331,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 18:00:00,18.7,1022.4,0.4,52,8.7,,5.8,,17.7,328,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 18:15:00,18.3,1022.4,0.4,52,8.4,,5.4,,16.1,330,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 18:30:00,18.1,1022.5,0.5,53,8.3,,4.2,,12.9,335,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 18:45:00,17.8,1022.5,0.5,53,8.2,,6.6,,17.7,311,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 19:00:00,17.6,1022.6,0.5,54,8.1,,6.4,,17.7,302,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 19:15:00,17.3,1022.7,0.6,54,7.9,,4.3,,12.9,315,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 19:30:00,17.1,1022.8,0.7,55,7.9,,3.7,,11.3,319,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 19:45:00,17,1022.9,0.8,55,7.8,,3.1,,12.9,325,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 20:00:00,16.9,1023,0.7,55,7.8,,3.8,,12.9,316,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 20:15:00,16.7,1023.1,0.8,56,7.8,,3.1,,12.9,,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 20:30:00,16.5,1023.1,0.8,57,7.9,,1.3,,4.8,334,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 20:45:00,16.3,1023.1,0.8,57,7.8,,1.9,,6.4,308,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 21:00:00,16.2,1023.1,0.7,58,7.8,,2.7,,9.7,315,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 21:15:00,16.1,1023.1,0.7,58,7.9,,2.3,,9.7,318,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 21:30:00,15.9,1023.2,0.8,59,7.9,,1.9,,6.4,318,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 21:45:00,15.8,1023.1,0.7,59,7.9,,2.4,,4.8,317,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 22:00:00,15.6,1023.2,0.6,61,8,,1.7,,4.8,320,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 22:15:00,15.5,1023.1,0.5,61,8,,1.9,,4.8,305,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 22:30:00,15.3,1023.2,0.6,62,8.1,,1.2,,4.8,307,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 22:45:00,14.9,1023.1,0.5,63,7.9,,1.3,,6.4,310,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 23:00:00,14.6,1023.1,0.1,64,7.9,,2.6,,6.4,284,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 23:15:00,14.5,1023.2,0.2,65,7.9,,1.7,,4.8,291,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 23:30:00,14.4,1023.1,0.1,65,7.8,,1.8,,6.4,296,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-09-30 23:45:00,14.3,1023.1,0.1,65,7.8,,1.7,,6.4,290,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 00:00:00,14.2,1023.1,,65,7.8,,0.3,,3.2,320,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 00:15:00,14.1,1023.1,,66,7.8,,0.2,,3.2,319,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 00:30:00,13.7,1023.1,,68,7.8,,0,,1.6,324,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 00:45:00,13.6,1023.2,,69,7.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 01:00:00,13.3,1023.1,,70,8,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 01:15:00,13,1023,,71,7.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 01:30:00,12.8,1022.9,,73,8,,0,,1.6,324,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 01:45:00,12.7,1022.8,,73,7.9,,0,,0.1,324,,,,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
000YO,2021-10-01 02:00:00,12.7,1022.8,,72,7.7,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@13.6@@@@,wlkLive
