station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YU,2025-01-01 00:00:00,0.3,1030.4,,96,-0.3,,4.9,,11.3,154,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 00:15:00,0.4,1030.1,,96,-0.2,,6.5,,14.5,159,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 00:30:00,0.4,1029.9,,96,-0.1,,6.5,,12.9,162,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 00:45:00,0.5,1030,,96,-0.1,,6.2,,14.5,155,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 01:00:00,0.6,1029.7,,96,0,,4.5,,11.3,166,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 01:15:00,0.6,1029.6,,96,0.1,,5,,9.7,175,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 01:30:00,0.6,1029.7,,96,0.1,,5.5,,12.9,162,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 01:45:00,0.7,1029.6,,96,0.1,,5.6,,12.9,163,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 02:00:00,0.8,1029.5,,96,0.2,,7,,17.7,170,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 02:15:00,0.7,1029.3,,96,0.2,,7.4,,19.3,,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 02:30:00,0.7,1029,,96,0.2,,6.6,,16.1,172,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 02:45:00,0.7,1028.9,,96,0.1,,5.7,,11.3,179,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 03:00:00,0.7,1029.1,-1.3,96,0.1,,4.6,,12.9,158,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 03:15:00,0.7,1028.9,-1.5,96,0.2,,5.3,,12.9,171,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 03:30:00,0.7,1028.8,-1.6,96,0.2,,5.2,,11.3,168,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 03:45:00,0.7,1028.9,-1.5,96,0.1,,4.6,,12.9,158,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 04:00:00,0.7,1028.7,-1,96,0.2,,4.1,,9.7,168,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 04:15:00,0.8,1028.5,-1.2,96,0.3,,4.8,,11.3,166,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 04:30:00,0.8,1028.5,-1.2,96,0.3,,7,,16.1,156,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 04:45:00,0.8,1028.2,-1.5,96,0.3,,5.9,,12.9,155,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 05:00:00,0.8,1028.2,-1.3,96,0.3,,5,,11.3,154,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 05:15:00,0.8,1028.1,-1.4,96,0.3,,5.4,,11.3,174,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 05:30:00,0.7,1027.9,-1.6,96,0.2,,5.5,,12.9,173,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 05:45:00,0.7,1027.9,-1.6,96,0.2,,4,,9.7,166,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 06:00:00,0.7,1028,-1.1,96,0.1,,4.5,,11.3,175,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 06:15:00,0.6,1027.9,-1.2,96,0.1,,7,,14.5,157,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000YU,2025-01-01 06:30:00,0.4,1028,-1.1,96,-0.1,,6.7,,16.1,155,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
