station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YW,2022-01-01 00:00:00,6.9,1025.2,,98,6.6,,0,,1.6,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 00:15:00,7.3,1025,,99,7.1,,0.7,,3.2,64,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 00:30:00,6.9,1024.7,,98,6.7,,0.4,,3.2,58,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 00:45:00,6.7,1024.8,,98,6.4,,1.7,,3.2,14,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 01:00:00,7,1024.4,,98,6.8,,1.2,,3.2,36,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 01:15:00,6.9,1024.5,,99,6.7,,3.1,,4.8,5,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 01:30:00,7,1024.3,,98,6.8,,1.7,,4.8,51,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 01:45:00,7,1024.2,,98,6.8,,2.3,,6.4,54,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 02:00:00,6.8,1024.2,,98,6.5,,1.8,,4.8,58,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000YW,2022-01-01 02:15:00,5.3,1024.5,,97,4.9,,0.1,,1.6,46,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
