station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000YZ,2021-11-08 10:00:00,16.2,1011.6,,61,8.6,,0.8,,3.2,184,9.2,16.1,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 10:10:00,16.4,1011.7,,61,8.9,,2.7,,6.4,117,9.2,16.4,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 10:20:00,16.8,1011.6,,59,8.8,,3.4,,6.4,88,9.2,16.8,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 10:30:00,17.3,1011.6,,57,8.7,,3.9,,9.7,106,9.2,17.3,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 10:40:00,17.6,1011.6,,56,8.7,,4.2,,9.7,126,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 10:50:00,17.3,1011.5,,56,8.4,,4.2,,11.3,95,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 11:00:00,17.2,1011.6,,58,8.8,,5.8,,12.9,83,9.2,17.6,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 11:10:00,16.8,1011.7,,57,8.2,,6.6,,14.5,81,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 11:20:00,16.8,1011.7,,56,8,,7.9,,19.3,83,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 11:30:00,16.7,1011.8,,56,7.9,,8,,19.3,86,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 11:40:00,16.6,1011.8,,56,7.7,,6.4,,14.5,90,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 11:50:00,15.8,1011.9,,58,7.6,,5.3,,11.3,88,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 12:00:00,15.4,1012,,64,8.7,,2.1,,9.7,115,9.2,17.6,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 12:10:00,15.2,1012,,64,8.5,,0.8,,3.2,45,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 12:20:00,15.1,1012.1,,53,5.6,,3.5,,19.3,47,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 12:30:00,14.7,1012,,50,4.4,,8.7,,32.2,95,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 12:40:00,14.3,1012,,43,1.9,,7.4,,19.3,78,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 12:50:00,14.4,1012.1,,39,0.7,,10.3,,40.2,80,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 13:00:00,14.4,1012.2,0.6,40,1,,11.1,,32.2,110,9.2,17.6,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 13:10:00,14.1,1012.2,0.6,40,0.7,,8,,24.1,311,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 13:20:00,13.9,1012.2,0.6,39,0.2,,7.9,,27.4,213,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 13:30:00,14,1012.3,0.7,37,-0.5,,8.9,,20.9,104,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 13:40:00,14,1012.1,0.5,39,0.3,,6.9,,29,105,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 13:50:00,13.9,1012.2,0.6,36,-0.9,,4.2,,24.1,194,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 14:00:00,14.1,1012.1,0.5,35,-1.1,,6.3,,19.3,113,9.2,17.6,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 14:10:00,14.1,1012.3,0.7,37,-0.4,,3.1,,11.3,182,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 14:20:00,14.1,1012.3,0.7,34,-1.6,,1.9,,6.4,280,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 14:30:00,14.2,1012.5,0.9,33,-1.9,,2.7,,12.9,82,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 14:40:00,14.1,1012.6,1,32,-2.3,,2.1,,9.7,137,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 14:50:00,14.2,1012.6,1,31,-2.7,,4,,17.7,328,9.2,17.6,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000YZ,2021-11-08 15:00:00,14.1,1012.6,0.6,32,-2.4,,2.3,,8,217,9.2,17.6,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
