station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZA,2021-11-11 10:10:00,10,1026,,91,8.9,,0,,0,90,8.8,10,,,,,,17.8,0,0,54,0,,,,0@@100@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@10@10.6@27.26@45@45@50@5:26am@12:00am@2302@1507@+0100,wlkIPxml
000ZA,2021-11-11 10:20:00,10,1025.9,,91,8.9,,0,,0,90,8.8,10.1,,,,,,17.8,0,0,51,0,,,,0@@100@@896.2@@@9.7@22.6@21.5@23.1@12:00am@5:31am@10@10.6@27.26@45@45@50@5:26am@12:00am@2314@1507@+0100,wlkIPxml
000ZA,2021-11-11 10:30:00,10.1,1025.9,,91,8.9,,0,,0,90,8.8,10.1,,,,,,17.8,0,0,60,0,,,,0@@100@@896.2@@@9.7@22.4@21.5@23.1@12:00am@5:31am@10@10.6@27.26@45@45@50@5:26am@12:00am@2314@1507@+0100,wlkIPxml
000ZA,2021-11-11 10:40:00,10.1,1025.7,,91,8.9,,0,,0,85,8.8,10.1,,,,,,17.8,0,0,86,0.5,,,,0.5@@100@@896.2@@@9.7@22.4@21.5@23.1@12:00am@5:31am@10@10.6@27.26@45@45@50@5:26am@12:00am@2338@1507@+0100,wlkIPxml
000ZA,2021-11-11 10:50:00,10.1,1025.6,,91,8.9,,0,,0,84,8.8,10.2,,,,,,17.8,0,0,116,0.7,,,,0.7@@116@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@10@10.6@27.26@45@45@50@5:26am@12:00am@2348@1507@+0100,wlkIPxml
000ZA,2021-11-11 11:00:00,10.4,1025.3,,91,8.9,,0,,0,313,8.8,10.4,,,,,,17.8,0,0,162,1,,,,1@@167@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@10.6@10.6@27.26@45@45@50@5:26am@12:00am@2400@1507@+0100,wlkIPxml
000ZA,2021-11-11 11:10:00,10.7,1025.2,,91,9.4,,0,,0,344,8.8,10.7,,,,,,17.8,0,0,139,0.9,,,,0.9@@167@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@10.6@11.1@27.26@45@45@50@5:26am@12:00am@2409@1507@+0100,wlkIPxml
000ZA,2021-11-11 11:20:00,11.2,1024.9,,91,10,,0,,0,344,8.8,11.2,,,,,,17.8,0,0,162,1,,,,1@@167@@896.2@@@9.7@22.6@21.5@23.1@12:00am@5:31am@11.1@11.7@27.26@45@45@50@5:26am@12:00am@2419@1507@+0100,wlkIPxml
000ZA,2021-11-11 11:30:00,11.4,1024.8,,90,10,,0,,0,344,8.8,11.4,,,,,,17.8,0,0,151,0.9,,,,0.9@@167@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@2426@1507@+0100,wlkIPxml
000ZA,2021-11-11 11:40:00,11.4,1024.7,,90,10,,0,,0,344,8.8,11.4,,,,,,17.8,0,0,111,0.7,,,,0.7@@167@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@2426@1507@+0100,wlkIPxml
000ZA,2021-11-11 11:50:00,11.5,1024.4,,89,10,,0,,0,344,8.8,11.5,,,,,,17.8,0,0,98,0.6,,,,0.6@@167@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@2450@1507@+0100,wlkIPxml
000ZA,2021-11-11 12:00:00,11.4,1024.2,,88,9.4,,0,,0,344,8.8,11.5,0,,,,,17.8,0,0,72,0,,,,0@@167@@896.2@@@9.7@22.5@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@2450@1507@+0100,wlkIPxml
000ZA,2021-11-11 12:20:00,11.5,1024,,88,9.4,,0,,0,344,8.8,11.6,,,,,,17.8,0,0,84,0.5,,,,0.5@@167@@896.2@@@9.7@22.6@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1321@1507@+0100,wlkIPxml
000ZA,2021-11-11 12:30:00,11.5,1024.1,,88,9.4,,0,,0,327,8.8,11.6,,,,,,17.8,0,0,91,0.5,,,,0.5@@167@@896.2@@@9.7@22.8@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1323@1507@+0100,wlkIPxml
000ZA,2021-11-11 12:40:00,11.4,1024,,88,9.4,,0,,0,327,8.8,11.6,,,,,,17.8,0,0,88,0.5,,,,0.5@@167@@896.2@@@9.7@22.9@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1323@1507@+0100,wlkIPxml
000ZA,2021-11-11 12:50:00,11.6,1023.9,,88,9.4,,0,,0,327,8.8,11.6,,,,,,17.8,0,0,84,0.5,,,,0.5@@167@@896.2@@@9.7@23.1@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1323@1507@+0100,wlkIPxml
000ZA,2021-11-11 13:00:00,11.7,1023.9,-2.1,88,10,,0,,0,327,8.8,11.7,0,,,,,17.8,0,0,79,0.5,,,,0.5@@167@@896.2@@@9.7@23.1@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1355@1507@+0100,wlkIPxml
000ZA,2021-11-11 13:10:00,11.8,1023.7,-2.3,87,10,,0,,0,327,8.8,11.8,,,,,,17.8,0,0,70,0,,,,0@@167@@896.2@@@9.7@23.1@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1410@1507@+0100,wlkIPxml
000ZA,2021-11-11 13:20:00,11.8,1023.4,-2.6,88,10,,0,,0,327,8.8,11.8,,,,,,17.8,0,0,69,0,,,,0@@167@@896.2@@@9.7@23.1@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1412@1507@+0100,wlkIPxml
000ZA,2021-11-11 13:30:00,11.8,1023.2,-2.8,87,10,,0,,0,327,8.8,11.8,,,,,,17.8,0,0,86,0.5,,,,0.5@@167@@896.2@@@9.7@23.1@21.5@23.1@12:00am@5:31am@11.7@11.7@27.26@45@45@50@5:26am@12:00am@1412@1507@+0100,wlkIPxml
000ZA,2021-11-11 13:40:00,11.9,1023,-3,87,10,,0,,0,327,8.8,11.9,,,,,,17.8,0,0,88,0.5,,,,0.5@@167@@896.2@@@9.7@23.1@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@45@45@50@5:26am@12:00am@1440@1507@+0100,wlkIPxml
000ZA,2021-11-11 13:50:00,12,1023,-3,87,10,,0,,0,328,8.8,12,,,,,,17.8,0,0,79,0,,,,0@@167@@896.2@@@9.7@23@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@45@45@50@5:26am@12:00am@1446@1507@+0100,wlkIPxml
000ZA,2021-11-11 14:00:00,12.1,1022.8,-2.5,87,10,,0,,0,328,8.8,12.1,0,,,,,17.8,0,0,84,0,,,,0@@167@@896.2@@@9.7@23@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1453@1507@+0100,wlkIPxml
000ZA,2021-11-11 14:10:00,12.1,1022.8,-2.5,87,10,,0,,0,328,8.8,12.2,,,,,,17.8,0,0,72,0,,,,0@@167@@896.2@@@9.7@22.9@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1503@1507@+0100,wlkIPxml
000ZA,2021-11-11 14:20:00,12.2,1022.6,-2.7,87,10,,0,,0,328,8.8,12.2,,,,,,17.8,0,0,70,0,,,,0@@167@@896.2@@@9.7@22.9@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1503@1507@+0100,wlkIPxml
000ZA,2021-11-11 14:30:00,12.3,1022.4,-2.9,87,10,,0,,0,346,8.8,12.3,,,,,,17.8,0,0,74,0,,,,0@@167@@896.2@@@9.7@22.9@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1529@1507@+0100,wlkIPxml
000ZA,2021-11-11 14:40:00,12.4,1022.3,-3,87,10.6,,0,,0,346,8.8,12.4,,,,,,17.8,0,0,76,0,,,,0@@167@@896.2@@@9.7@22.9@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1540@1507@+0100,wlkIPxml
000ZA,2021-11-11 14:50:00,12.3,1022.2,-3.1,87,10,,0,,0,346,8.8,12.4,,,,,,17.8,0,0,69,0,,,,0@@167@@896.2@@@9.7@22.8@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1540@1507@+0100,wlkIPxml
000ZA,2021-11-11 15:00:00,12.3,1022.1,-2.1,88,10.6,,0,,0,346,8.8,12.4,0,,,,,17.8,0,0,49,0,,,,0@@167@@896.2@@@9.7@22.8@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1540@1507@+0100,wlkIPxml
000ZA,2021-11-11 15:10:00,12.3,1022.1,-2.1,88,10.6,,0,,0,346,8.8,12.4,,,,,,17.8,0,0,33,0,,,,0@@167@@896.2@@@9.7@22.8@21.5@23.1@12:00am@5:31am@12.2@12.2@27.26@46@45@50@5:26am@12:00am@1540@1507@+0100,wlkIPxml
