station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZC,2021-11-13 11:30:00,8.1,1016.7,,74,3.8,,4.5,,12.9,106,8.1,8.4,,,,,,0,0,0,181,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 11:40:00,7.8,1016.6,,76,3.9,,2.9,,11.3,124,7.8,8.4,,,,,,0,0,0,81,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 11:50:00,7.9,1016.8,,75,3.8,,4.3,,14.5,137,7.8,8.4,,,,,,0,0,0,102,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 12:00:00,7.5,1016.6,,77,3.7,,4.2,,14.5,132,7.6,8.4,0,0,0,0,,0,0,0,81,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 12:10:00,7.4,1016.7,,78,3.8,,3.5,,12.9,133,7.3,8.4,,,,,,0,0,0,84,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 12:20:00,7.3,1016.9,,78,3.8,,1.8,,6.4,156,7.3,8.4,,,,,,0,0,0,86,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 12:30:00,7.3,1017,,78,3.7,,2.6,,11.3,138,7.3,8.4,,,,,,0,0,0,65,,,,0,@@@@0@@@,weatherlink
000ZC,2021-11-13 12:40:00,7.2,1017,,79,3.8,,1.4,,4.8,90,7.2,8.4,,,,,,0,0,0,63,,,,0,@@@@0@@@,weatherlink
000ZC,2021-11-13 12:50:00,6.9,1017.3,,81,3.9,,0.5,,3.2,218,6.9,8.4,,,,,,0,0,0,44,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 13:00:00,6.6,1017.1,,82,3.7,,0.3,,3.2,225,6.6,8.4,0,0,0,0,,0,0,0,56,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 13:10:00,6.6,1017.3,,81,3.5,,0.3,,3.2,223,6.5,8.4,,,,,,0,0,0,56,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 13:20:00,6.4,1017.5,,82,3.5,,0.2,,3.2,203,6.4,8.4,,,,,,0,0,0,39,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 13:30:00,6.2,1017.6,,84,3.7,,0.6,,3.2,225,6.2,8.4,,,,,,0,0,0,30,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 13:40:00,6.2,1017.7,,85,3.8,,0.3,,4.8,135,6.1,8.4,,,,,,0,0,0,42,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 13:50:00,6.1,1017.7,,85,3.8,,0.8,,6.4,206,6.1,8.4,,,,,,0,0,0,47,,,,,@@@@0@@@,weatherlink
000ZC,2021-11-13 14:00:00,5.9,1017.9,1.2,88,4.1,,1,,6.4,252,5.8,8.4,0,0,0,0,,0,0,0,63,,,,,@@@@0@@@,weatherlink
