station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZE,2021-11-19 18:50:00,-3.4,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 19:00:00,-4.2,,,96,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 19:10:00,-4.2,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 19:20:00,-4,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 19:30:00,-4.1,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 19:40:00,-4.1,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 19:50:00,-4.1,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 20:00:00,-4.8,,,97,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 20:10:00,-4.7,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 20:20:00,-4.8,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 20:30:00,-4.8,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 20:40:00,-5,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 20:50:00,-5.1,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 21:00:00,-5.4,,,97,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 21:10:00,-5.5,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 21:20:00,-5.5,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 21:30:00,-5.5,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 21:40:00,-5.7,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 21:50:00,-6.2,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 22:00:00,-5.8,,,99,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 22:10:00,-5.5,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 22:20:00,-5.3,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 22:30:00,-5.2,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 22:40:00,-5.1,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 22:50:00,-5.6,,,95,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 23:00:00,-6.2,,,95,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 23:10:00,-6.5,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 23:20:00,-6.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 23:30:00,-5.8,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 23:40:00,-6,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-19 23:50:00,-6.3,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 00:00:00,-6.4,,,97,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 00:10:00,-6.3,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 00:20:00,-6,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 00:30:00,-6.3,,,95,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 00:40:00,-6.4,,,95,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 00:50:00,-6.7,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 01:00:00,-6.8,,,97,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 01:10:00,-6.2,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 01:20:00,-6.3,,,96,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 01:30:00,-6.3,,,98,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 01:40:00,-6.7,,,95,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 01:50:00,-7.1,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZE,2021-11-20 02:00:00,-6.5,,,99,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
