station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZF,2021-11-19 19:00:00,0.3,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 19:10:00,0.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 19:20:00,-1.6,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 19:30:00,-0.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 19:40:00,0.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 19:50:00,-0.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 20:00:00,-0.6,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 20:10:00,-0.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 20:20:00,-0.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 20:30:00,-2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 20:40:00,-1.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 20:50:00,-1.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 21:00:00,-1,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 21:10:00,-1.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 21:20:00,-1.5,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 21:30:00,-2.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 21:40:00,-2.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 21:50:00,-2.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 22:00:00,-2.2,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 22:10:00,-2.5,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 22:20:00,-2.7,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 22:30:00,-2.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 22:40:00,-2.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 22:50:00,-2.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 23:00:00,-2.3,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 23:10:00,-2.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 23:20:00,-2.5,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 23:30:00,-1.9,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 23:40:00,-1.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-19 23:50:00,-2.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 00:00:00,-3,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 00:10:00,-2.9,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 00:20:00,-2.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 00:30:00,-2.5,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 00:40:00,-2.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 00:50:00,-2.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 01:00:00,-3.5,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 01:10:00,-3.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 01:20:00,-3.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 01:30:00,-2.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 01:40:00,-2.5,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 01:50:00,-3.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 02:00:00,-3.5,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 02:10:00,-3.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 02:20:00,-3.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 02:30:00,-2.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 02:40:00,-3.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 02:50:00,-3.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 03:00:00,-3.5,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 03:10:00,-3.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 03:20:00,-2.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 03:30:00,-2.9,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 03:40:00,-2.9,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 03:50:00,-4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 04:00:00,-3.3,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 04:10:00,-2.9,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 04:20:00,-2.7,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 04:30:00,-3.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 04:40:00,-2.7,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 04:50:00,-2.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 05:00:00,-4.2,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 05:10:00,-4.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 05:20:00,-2.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 05:30:00,-3.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 05:40:00,-3.7,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 05:50:00,-3.6,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 06:00:00,-3.1,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 06:10:00,-3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 06:20:00,-3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 06:30:00,-4.4,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 06:40:00,-4.1,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 06:50:00,-3.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 07:00:00,-2.9,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 07:10:00,-2.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 07:20:00,-3.7,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 07:30:00,-2.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 07:40:00,-2.3,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 07:50:00,-1.9,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 08:00:00,-1.1,,,100,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 08:10:00,-0.8,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 08:20:00,-0.2,,,100,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 08:30:00,0.6,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 08:40:00,0.8,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 08:50:00,1.4,,,99,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 09:00:00,2.3,,,98,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 09:10:00,2.9,,,97,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 09:20:00,3.7,,,91,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 09:30:00,4.9,,,88,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 09:40:00,5.4,,,85,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 09:50:00,6.2,,,84,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 10:00:00,7.5,,,78,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 10:10:00,7.8,,,76,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 10:20:00,8.4,,,75,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 10:30:00,9.4,,,71,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 10:40:00,9.5,,,69,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 10:50:00,10.4,,,65,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 11:00:00,11.1,,,60,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 11:10:00,11.5,,,58,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 11:20:00,12,,,56,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 11:30:00,13.1,,,52,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 11:40:00,13.7,,,47,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 11:50:00,13.9,,,51,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 12:00:00,13.9,,,40,,,,,,,,,0,0,0,0,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 12:10:00,13.9,,,39,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 12:20:00,14.4,,,39,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 12:30:00,14.4,,,44,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
000ZF,2021-11-20 12:40:00,14.5,,,43,,,,,,,,,,,,,,,,,,,,,,@@@@@@@,weatherlink
