station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZJ,2021-11-28 09:15:00,2.7,1006.4,,85,0.4,,1.2,,8,253,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 09:30:00,2.9,1006.2,,85,0.6,,0.9,,6.4,247,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 09:45:00,3.3,1006.4,,83,0.7,,2.4,,16.1,255,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 10:00:00,3.6,1006.4,,82,0.8,,1.1,,8,317,,,0,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 10:15:00,3.8,1006.3,,81,0.8,,0.6,,6.4,43,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 10:30:00,4.2,1006.2,,80,1,,2.2,,9.7,318,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 10:45:00,4.4,1006.1,,77,0.7,,2.4,,11.3,273,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 11:00:00,4.7,1006.1,,76,0.8,,3.2,,12.9,257,,,0,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 11:15:00,4.7,1006.1,,75,0.6,,4.8,,17.7,259,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 11:30:00,5.1,1006.2,,74,0.8,,2,,14.5,307,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 11:45:00,5.4,1006.2,,70,0.3,,3,,17.7,286,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 12:00:00,5.3,1006.2,-0.2,70,0.2,,2.3,,16.1,287,,,0,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
000ZJ,2021-11-28 12:15:00,4.7,1006.1,-0.3,67,-1,,3.3,,20.9,274,,,,,,,,,0,,,,,,,@@@@11.8@@@@,wlkLive
