station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZK,2021-11-30 23:15:00,-2.2,1018.4,,98,-2.4,,1.3,,3.2,344,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-11-30 23:30:00,-2.2,1018.4,,98,-2.5,,0.5,,1.6,347,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-11-30 23:45:00,-2.4,1018.1,,98,-2.8,,2.3,,4.8,330,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 00:00:00,-2.4,1017.6,,98,-2.6,,2.6,,4.8,325,,,0,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 00:15:00,-2.3,1017.5,,99,-2.6,,0.5,,3.2,318,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 00:30:00,-2.5,1017.7,,98,-2.7,,2.4,,4.8,317,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 00:45:00,-2.6,1017.4,,98,-2.9,,0.6,,3.2,316,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 01:00:00,-2.6,1016.9,,98,-2.8,,1.6,,3.2,318,,,0,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 01:15:00,-2.7,1016.9,,98,-3.1,,1.5,,4.8,323,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 01:30:00,-2.7,1016.8,,98,-2.9,,2.1,,4.8,327,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 01:45:00,-2.8,1016.7,,98,-3.1,,1.1,,3.2,46,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 02:00:00,-2.8,1016.6,,98,-3,,0.9,,3.2,5,,,0,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 02:15:00,-3,1016.7,,98,-3.3,,1.9,,4.8,331,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 02:30:00,-2.9,1016.6,,98,-3.2,,0.2,,1.6,342,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 02:45:00,-2.9,1016.5,,98,-3.2,,0.6,,3.2,342,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 03:00:00,-3.1,1016.3,-1.3,98,-3.3,,1.4,,3.2,341,,,0,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 03:15:00,-2.9,1015.7,-1.9,99,-3.1,,2.2,,4.8,337,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 03:30:00,-2.7,1015.4,-2.2,99,-2.8,,0.4,,1.6,352,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 03:45:00,-2.8,1015.4,-2.2,98,-3.1,,1.4,,3.2,344,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 04:00:00,-2.9,1015.2,-1.7,98,-3.2,,1.1,,3.2,342,,,0,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 04:15:00,-2.9,1015.1,-1.8,98,-3.2,,2,,3.2,341,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
000ZK,2021-12-01 04:30:00,-3.1,1014.8,-2.1,98,-3.3,,1.4,,3.2,340,,,,,,,,,0,,,,,,,@@@@710@@@@,wlkLive
