station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZL,2021-12-01 05:45:00,5.1,999.7,,98,4.8,,11.2,,27.4,183,,,,,,,,,0.2,,,,,,,@@@@441@@@@,wlkLive
000ZL,2021-12-01 06:00:00,5.2,999.5,,98,4.9,,10.3,,22.5,188,,,0.2,,,,,,0,,,,,,,@@@@441@@@@,wlkLive
000ZL,2021-12-01 06:15:00,5.3,999.4,,98,5,,11.6,,22.5,181,,,,,,,,,0,,,,,,,@@@@441@@@@,wlkLive
000ZL,2021-12-01 06:30:00,5.3,999.1,,98,5.1,,9.3,,25.7,199,,,,,,,,,0.2,,,,,,,@@@@441.2@@@@,wlkLive
000ZL,2021-12-01 06:45:00,5.4,998.9,,98,5.2,,8.7,,22.5,197,,,,,,,,,0,,,,,,,@@@@441.2@@@@,wlkLive
000ZL,2021-12-01 07:00:00,5.5,998.6,,98,5.3,,9.8,,20.9,,,,0.2,,,,,,0,,,,,,,@@@@441.2@@@@,wlkLive
000ZL,2021-12-01 07:15:00,5.6,998.3,,99,5.4,,8.6,,20.9,,,,,,,,,,0,,,,,,,@@@@441.2@@@@,wlkLive
000ZL,2021-12-01 07:30:00,5.7,998,,98,5.4,,9.1,,19.3,186,,,,,,,,,2,,,,,,61,@@@@441.8@@@@,wlkLive
000ZL,2021-12-01 07:45:00,5.7,997.7,,98,5.4,,9.7,,24.1,191,,,,,,,,,2.6,,,,,,63,@@@@442.4@@@@,wlkLive
000ZL,2021-12-01 08:00:00,5.8,997.4,-2.3,98,5.6,,9.8,,25.7,190,,,1.6,2,,,,,1.2,,,,,,61,@@@@442.8@@@@,wlkLive
000ZL,2021-12-01 08:15:00,5.9,997.2,-2.5,98,5.6,,9.4,,27.4,180,,,,,,,,,1.2,,,,,,61,@@@@443@@@@,wlkLive
000ZL,2021-12-01 08:30:00,6.1,996.9,-2.8,98,5.7,,9.4,,20.9,185,,,,,,,,,1,,,,,,61,@@@@443.2@@@@,wlkLive
000ZL,2021-12-01 08:45:00,6,996.6,-3.1,98,5.7,,8.9,,27.4,186,,,,,,,,,3,,,,,,63,@@@@443.8@@@@,wlkLive
000ZL,2021-12-01 09:00:00,6.1,996.5,-3,98,5.7,,8.6,,25.7,200,,,1.6,3.4,,,,,1.8,,,,,,61,@@@@444.4@@@@,wlkLive
000ZL,2021-12-01 09:15:00,6.1,996.2,-3.3,98,5.7,,8,,20.9,194,,,,,,,,,3.6,,,,,,63,@@@@445.2@@@@,wlkLive
000ZL,2021-12-01 09:30:00,6.1,995.9,-3.6,98,5.7,,9,,22.5,186,,,,,,,,,2,,,,,,61,@@@@445.8@@@@,wlkLive
000ZL,2021-12-01 09:45:00,6.1,995.7,-3.8,97,5.7,,9.8,,22.5,189,,,,,,,,,1.6,,,,,,61,@@@@446.2@@@@,wlkLive
000ZL,2021-12-01 10:00:00,6.2,995.7,-2.9,98,5.8,,8.5,,19.3,192,,,2,5.2,,,,,1,,,,,,61,@@@@446.4@@@@,wlkLive
000ZL,2021-12-01 10:15:00,6.3,995.5,-3.1,98,5.9,,9.8,,19.3,188,,,,,,,,,1.2,,,,,,61,@@@@446.8@@@@,wlkLive
000ZL,2021-12-01 10:30:00,6.5,995.2,-3.4,98,6.2,,9.3,,17.7,189,,,,,,,,,0.8,,,,,,,@@@@447@@@@,wlkLive
000ZL,2021-12-01 10:45:00,6.6,994.9,-3.7,98,6.3,,8.3,,22.5,201,,,,,,,,,0.8,,,,,,,@@@@447.2@@@@,wlkLive
000ZL,2021-12-01 11:00:00,6.7,994.6,-2.8,98,6.4,,9.9,,22.5,191,,,1,4.6,6.6,,,,1.4,,,,,,61,@@@@447.4@@@@,wlkLive
000ZL,2021-12-01 11:15:00,6.9,994.4,-3,98,6.7,,8.5,,20.9,190,,,,,,,,,0.2,,,,,,,@@@@447.6@@@@,wlkLive
000ZL,2021-12-01 11:30:00,7.1,994.2,-3.2,98,6.8,,8.6,,22.5,183,,,,,,,,,3.4,,,,,,63,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 11:45:00,7.3,994.2,-3.2,98,6.9,,6.9,,16.1,186,,,,,,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 12:00:00,7.4,994.1,-2.4,97,6.9,,6.2,,17.7,185,,,1,4,7.4,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 12:15:00,7.5,994.1,-2.4,97,7.1,,6.5,,19.3,205,,,,,,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 12:30:00,7.6,,,96,7,,7.4,,19.3,193,,,,,,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 12:45:00,7.6,,,96,7.1,,5.9,,17.7,187,,,,,,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 13:00:00,7.8,,,97,7.3,,5.8,,16.1,192,,,0,2,7.2,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 13:15:00,7.8,,,96,7.3,,5.8,,20.9,,,,,,,,,,0,,,,,,,@@@@448.4@@@@,wlkLive
000ZL,2021-12-01 13:30:00,7.8,,,97,7.3,,5.6,,17.7,216,,,,,,,,,0.2,,,,,,,@@@@448.6@@@@,wlkLive
000ZL,2021-12-01 13:45:00,7.7,,,94,6.8,,6.9,,20.9,246,,,,,,,,,2.8,,,,,,63,@@@@449.6@@@@,wlkLive
000ZL,2021-12-01 14:00:00,7.8,,,95,7.1,,6.6,,17.7,260,,,1.2,2.2,6.8,,,,0,,,,,,,@@@@449.6@@@@,wlkLive
000ZL,2021-12-01 14:15:00,7.8,,,95,7.2,,4.6,,16.1,238,,,,,,,,,0.2,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 14:30:00,7.8,,,96,7.2,,4.4,,12.9,252,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 14:45:00,7.8,,,94,6.9,,5.9,,17.7,251,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 15:00:00,7.7,,,94,6.8,,3.5,,9.7,237,,,0.2,1.4,5.4,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 15:15:00,7.5,,,94,6.7,,3.7,,14.5,242,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 15:30:00,7.3,,,94,6.4,,4.7,,16.1,241,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 15:45:00,7.1,,,93,6.1,,5.1,,27.4,,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 16:00:00,6.8,,,93,5.8,,4,,12.9,243,,,0,1.4,3.4,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 16:15:00,6.7,,,94,5.7,,3.5,,12.9,238,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 16:30:00,6.6,,,94,5.8,,4.1,,16.1,234,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 16:45:00,6.6,,,95,5.8,,3.3,,11.3,243,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 17:00:00,6.4,,,95,5.7,,2.1,,6.4,252,,,0,0.2,2.4,9,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 17:30:00,6.3,,,95,5.7,,1.8,,6.4,251,,,,,,,,,0,,,,,,,@@@@449.8@@@@,wlkLive
000ZL,2021-12-01 17:45:00,6.2,,,96,5.6,,3.4,,11.3,250,,,,,,,,,1.2,,,,,,61,@@@@450.6@@@@,wlkLive
000ZL,2021-12-01 18:00:00,6.2,,,96,5.6,,3.3,,11.3,267,,,0.8,0.8,2.2,9.6,,,0.8,,,,,,,@@@@450.6@@@@,wlkLive
000ZL,2021-12-01 18:15:00,6.1,,,96,5.4,,2.8,,9.7,272,,,,,,,,,0,,,,,,,@@@@450.6@@@@,wlkLive
000ZL,2021-12-01 18:30:00,6,,,96,5.3,,2.3,,8,268,,,,,,,,,0,,,,,,,@@@@450.6@@@@,wlkLive
000ZL,2021-12-01 18:45:00,5.8,,,96,5.2,,2.6,,8,244,,,,,,,,,0,,,,,,,@@@@450.6@@@@,wlkLive
000ZL,2021-12-01 19:00:00,5.8,,,96,5.2,,1.5,,8,259,,,0.4,1.2,2.6,9.8,,,1.4,,,,,,61,@@@@451@@@@,wlkLive
000ZL,2021-12-01 19:15:00,5.6,,,96,5.1,,2.5,,9.7,239,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 19:30:00,5.5,,,96,4.9,,3.2,,9.7,246,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 19:45:00,5.4,,,96,4.9,,3.3,,12.9,236,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 20:00:00,5.4,,,96,4.8,,3.6,,12.9,251,,,0,1.2,1.4,8.2,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 20:15:00,5.4,,,96,4.8,,4.5,,14.5,256,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 20:30:00,5.4,,,96,4.8,,3.6,,12.9,250,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 20:45:00,5.3,,,96,4.7,,3.2,,12.9,,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 21:00:00,5.3,,,96,4.7,,3,,12.9,,,,0,0.4,1.2,6.6,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 21:15:00,5.2,,,96,4.7,,2.8,,8,237,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 21:30:00,5.2,,,96,4.6,,3,,11.3,247,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 21:45:00,5.1,,,96,4.5,,2.4,,9.7,254,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 22:00:00,5.1,,,96,4.5,,2,,8,239,,,0,,1.2,4.6,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 22:30:00,4.8,,,96,4.2,,1.9,,9.7,222,,,,,,,,,0,,,,,,,@@@@451@@@@,wlkLive
000ZL,2021-12-01 22:45:00,4.8,,,97,4.3,,2.3,,9.7,237,,,,,,,,,2.4,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-01 23:00:00,4.7,,,97,4.3,,1.9,,6.4,234,,,0.4,0.4,1.6,4,,,0.8,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-01 23:15:00,4.6,,,97,4.2,,1.1,,6.4,192,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-01 23:30:00,4.6,,,98,4.2,,1.8,,6.4,186,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-01 23:45:00,4.6,,,98,4.2,,2.4,,9.7,221,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 00:00:00,4.4,,,98,4.1,,2.4,,9.7,228,,,0,0.4,0.8,3,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 00:15:00,4.4,,,98,4.1,,1.8,,6.4,259,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 00:30:00,4.4,,,98,4.1,,1.5,,6.4,210,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 00:45:00,4.4,,,98,4.1,,1.7,,6.4,,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 01:00:00,4.4,,,98,4.1,,2.1,,11.3,247,,,0,0.4,0.4,3,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 01:15:00,4.4,,,98,4.1,,2.7,,9.7,246,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 01:30:00,4.4,,,98,4.1,,2.8,,6.4,250,,,,,,,,,0,,,,,,,@@@@451.4@@@@,wlkLive
000ZL,2021-12-02 01:45:00,4.3,,,98,4,,2.8,,9.7,260,,,,,,,,,0.2,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 02:00:00,4.3,,,98,4,,3.1,,12.9,253,,,0.2,0.2,0.6,2,,,0.2,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 02:15:00,4.3,,,98,4,,1.7,,6.4,251,,,,,,,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 02:30:00,4.3,,,98,3.9,,3.8,,14.5,262,,,,,,,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 02:45:00,4.2,,,98,3.9,,4.4,,14.5,259,,,,,,,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 03:00:00,4.2,,,98,3.9,,3.9,,11.3,262,,,0,0.2,0.6,1.8,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 03:15:00,4.1,,,98,3.8,,2.9,,9.7,261,,,,,,,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 03:30:00,4.1,,,98,3.8,,3.2,,11.3,264,,,,,,,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 03:45:00,4.1,,,99,3.8,,3.8,,9.7,264,,,,,,,,,0,,,,,,,@@@@451.6@@@@,wlkLive
000ZL,2021-12-02 04:00:00,4,,,99,3.8,,4.4,,14.5,261,,,0.2,0.4,0.8,2,,,0.2,,,,,,,@@@@451.8@@@@,wlkLive
000ZL,2021-12-02 04:15:00,3.9,,,98,3.7,,3.9,,11.3,,,,,,,,,,0,,,,,,,@@@@451.8@@@@,wlkLive
000ZL,2021-12-02 04:30:00,3.8,,,99,3.6,,4.6,,11.3,259,,,,,,,,,0,,,,,,,@@@@451.8@@@@,wlkLive
000ZL,2021-12-02 04:45:00,3.8,,,99,3.6,,4.3,,12.9,259,,,,,,,,,0,,,,,,,@@@@451.8@@@@,wlkLive
000ZL,2021-12-02 05:00:00,3.7,,,99,3.6,,4.7,,11.3,251,,,0.4,0.6,0.8,2.4,11.4,,1,,,,,,,@@@@452.2@@@@,wlkLive
000ZL,2021-12-02 05:15:00,3.7,,,99,3.6,,3.6,,14.5,255,,,,,,,,,0,,,,,,,@@@@452.2@@@@,wlkLive
000ZL,2021-12-02 05:30:00,3.7,,,99,3.6,,2.7,,6.4,254,,,,,,,,,0.2,,,,,,,@@@@452.4@@@@,wlkLive
000ZL,2021-12-02 05:45:00,3.6,,,98,3.4,,4.5,,16.1,271,,,,,,,,,0,,,,,,,@@@@452.4@@@@,wlkLive
000ZL,2021-12-02 06:00:00,3.4,,,96,2.8,,4.8,,16.1,266,,,0.8,1.4,1.6,2.4,12,,2.8,,,,,,,@@@@453@@@@,wlkLive
000ZL,2021-12-02 06:15:00,3.2,,,97,2.7,,3,,11.3,268,,,,,,,,,2,,,,,,,@@@@453.6@@@@,wlkLive
000ZL,2021-12-02 06:30:00,3.2,,,98,2.8,,1.7,,4.8,266,,,,,,,,,0,,,,,,,@@@@453.6@@@@,wlkLive
000ZL,2021-12-02 06:45:00,3.3,,,98,3,,2.4,,8,290,,,,,,,,,1.6,,,,,,,@@@@454@@@@,wlkLive
000ZL,2021-12-02 07:00:00,3.1,,,96,2.5,,4.8,,14.5,2,,,1.4,2.6,3,3.4,13.2,,1.6,,,,,,,@@@@454.4@@@@,wlkLive
000ZL,2021-12-02 07:15:00,2.8,,,96,2.2,,5.2,,16.1,334,,,,,,,,,1,,,,,,,@@@@454.8@@@@,wlkLive
000ZL,2021-12-02 07:30:00,2.7,,,96,2.2,,4.1,,17.7,332,,,,,,,,,1.4,,,,,,,@@@@455.2@@@@,wlkLive
000ZL,2021-12-02 07:45:00,2.2,,,96,1.6,,5.2,,17.7,333,,,,,,,,,1.8,,,,,,,@@@@455.6@@@@,wlkLive
000ZL,2021-12-02 08:00:00,1.8,,,96,1.2,,5.7,,17.7,14,,,1.4,3.6,4.2,4.8,13,,1.2,,,,,,,@@@@455.8@@@@,wlkLive
000ZL,2021-12-02 08:15:00,1.4,,,97,1.1,,2.1,,8,307,,,,,,,,,1.2,,,,,,,@@@@456.2@@@@,wlkLive
000ZL,2021-12-02 08:30:00,1.8,,,98,1.5,,3.6,,17.7,284,,,,,,,,,1.2,,,,,,,@@@@456.4@@@@,wlkLive
000ZL,2021-12-02 08:45:00,1.9,,,97,1.4,,4.3,,14.5,269,,,,,,,,,0,,,,,,,@@@@456.4@@@@,wlkLive
000ZL,2021-12-02 09:00:00,1.9,,,96,1.3,,4.8,,12.9,260,,,0.8,3.6,5,5.6,12.2,,0.2,,,,,,,@@@@456.6@@@@,wlkLive
000ZL,2021-12-02 09:15:00,2.1,,,96,1.5,,5.3,,12.9,263,,,,,,,,,0,,,,,,,@@@@456.6@@@@,wlkLive
000ZL,2021-12-02 09:30:00,2,,,95,1.3,,6.2,,19.3,265,,,,,,,,,0,,,,,,,@@@@456.6@@@@,wlkLive
000ZL,2021-12-02 09:45:00,1.9,,,95,1.2,,5.2,,14.5,272,,,,,,,,,0,,,,,,,@@@@456.6@@@@,wlkLive
000ZL,2021-12-02 10:00:00,1.9,,,92,0.8,,5.9,,16.1,270,,,0,2.2,4.8,5.6,10.2,,0,,,,,,,@@@@456.6@@@@,wlkLive
000ZL,2021-12-02 10:15:00,1.9,,,93,1,,5.7,,17.7,265,,,,,,,,,0,,,,,,,@@@@456.6@@@@,wlkLive
000ZL,2021-12-02 10:30:00,1.9,,,94,0.9,,4.3,,11.3,272,,,,,,,,,0,,,,,,,@@@@456.6@@@@,wlkLive
