station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZN,2021-12-02 17:20:00,7.1,1009.1,,49,-3.3,,14.5,,25.7,48,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@5.6@6.7@0@33@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 17:30:00,7,1009.2,,47,-3.9,,12.9,,27.4,350,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@6.1@6.7@0@34@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 17:40:00,7,1009.4,,47,-3.9,,14.5,,30.6,5,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@4.4@6.7@0@34@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 17:50:00,7.1,1009.8,,47,-3.9,,17.7,,37,321,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@4.4@6.7@0@33@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 18:00:00,6.8,1010.1,,48,-3.3,,14.5,,25.7,355,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@2.8@6.1@0@34@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 18:10:00,6.8,1010.4,,48,-3.9,,14.5,,27.4,312,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@3.9@6.1@0@34@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 18:20:00,6.7,1010.7,,48,-3.9,,14.5,,29,292,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@5@6.1@0@33@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 18:30:00,6.8,1010.8,,47,-3.9,,11.3,,25.7,332,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@4.4@6.1@0@33@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 18:40:00,6.5,1010.9,,47,-4.4,,9.7,,29,302,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@3.3@6.1@0@34@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
000ZN,2021-12-02 18:50:00,6.6,1010.9,,47,-3.9,,16.1,,29,301,0.5,12.4,,,,,,0.2,0,0,,,,,,@@@@450@@@41.8@19.4@19.3@21.3@3:33am@12:28pm@5@6.1@0@33@32@34@11:26am@12:01am@1355@1700@+0100,wlkIPxml
