station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZO,2021-12-08 17:00:00,2.4,1003.8,,94,1.6,,5.6,,14.5,250,2.4,3.9,2,0,0,0,,2,3,5.2,,,,,,@@@@2@@@,weatherlink
000ZO,2021-12-08 17:10:00,2.3,1003.9,,95,1.6,,3.7,,6.4,229,2.3,3.9,,,,,,2.4,1.6,5.2,,,,,,@@@@2.4@@@,weatherlink
000ZO,2021-12-08 17:20:00,2.3,1004,,96,1.8,,3.7,,8,212,2.3,3.9,,,,,,2.8,1.2,5.2,,,,,,@@@@2.8@@@,weatherlink
000ZO,2021-12-08 17:30:00,2.3,1004,,96,1.8,,3.1,,6.4,203,2.3,3.9,,,,,,3,1,5.2,,,,,,@@@@3@@@,weatherlink
000ZO,2021-12-08 17:50:00,2.4,1004.3,,96,1.8,,1.3,,3.2,206,2.3,3.9,,,,,,3,0,5.2,,,,,,@@@@3@@@,weatherlink
000ZO,2021-12-08 18:00:00,2.4,1004.5,,96,1.8,,0,,3.2,,2.3,3.9,0.8,0,0,0,,3,0,2.6,,,,,,@@@@3@@@,weatherlink
000ZO,2021-12-08 18:10:00,2.4,1004.5,,96,1.8,,1.1,,4.8,225,2.3,3.9,,,,,,3.2,0,2,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 18:20:00,2.4,1004.6,,96,1.8,,1,,3.2,225,2.3,3.9,,,,,,3.2,0,2,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 18:30:00,2.3,1004.7,,96,1.8,,2.3,,4.8,216,2.3,3.9,,,,,,3.2,0,1,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 18:40:00,2.4,1004.9,,97,2,,3.1,,6.4,234,2.3,3.9,,,,,,3.2,0,1,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 18:50:00,2.4,1004.9,,97,2,,2.6,,4.8,235,2.3,3.9,,,,,,3.2,0,0,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 19:00:00,2.4,1005.1,,97,2,,0.6,,3.2,264,2.3,3.9,0.2,0,0,0,,3.2,0,0,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 19:10:00,2.6,1005.4,,97,2.1,,1.8,,3.2,272,2.3,3.9,,,,,,3.2,0,0,,,,,,@@@@3.2@@@,weatherlink
000ZO,2021-12-08 19:20:00,2.6,1005.5,,97,2.1,,1,,3.2,329,2.3,3.9,,,,,,3.4,0,0,,,,,,@@@@3.4@@@,weatherlink
000ZO,2021-12-08 19:30:00,2.6,1005.6,,97,2.1,,0,,1.6,,2.3,3.9,,,,,,3.6,0.8,0.8,,,,,,@@@@3.6@@@,weatherlink
000ZO,2021-12-08 19:40:00,2.6,1005.7,,97,2.2,,0.3,,1.6,338,2.3,3.9,,,,,,3.6,0.8,0.8,,,,,,@@@@3.6@@@,weatherlink
000ZO,2021-12-08 19:50:00,2.7,1005.7,,97,2.3,,0.8,,3.2,329,2.3,3.9,,,,,,3.6,0,0.8,,,,,,@@@@3.6@@@,weatherlink
000ZO,2021-12-08 20:00:00,2.8,1005.7,1.9,97,2.3,,2.6,,6.4,319,2.3,3.9,0.4,0,0,0,,3.6,0,0.8,,,,,,@@@@3.6@@@,weatherlink
000ZO,2021-12-08 20:10:00,2.9,1005.7,1.9,96,2.4,,3.7,,8,338,2.3,3.9,,,,,,4,2.8,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 20:20:00,3.2,1005.9,2.1,95,2.4,,2.9,,6.4,326,2.3,3.9,,,,,,4,0.8,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 20:30:00,3.1,1006,2.2,95,2.4,,0,,0,,2.3,3.9,,,,,,4,0,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 20:40:00,3.1,1006.1,2.3,95,2.3,,0,,0,,2.3,3.9,,,,,,4,0,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 20:50:00,3.1,1006.1,2.3,96,2.5,,0,,0,,2.3,3.9,,,,,,4,0,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 21:00:00,3.1,1006.3,1.8,96,2.5,,0.6,,3.2,12,2.3,3.9,0.4,1,0,0,,4,0,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 21:10:00,3.1,1006.4,1.9,96,2.5,,1.3,,6.4,41,2.3,3.9,,,,,,4,0,2.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 21:20:00,2.8,1006.4,1.9,95,2.1,,0,,1.6,,2.3,3.9,,,,,,4,0,0.8,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 21:30:00,2.7,1006.6,2.1,96,2.1,,0.6,,3.2,62,2.3,3.9,,,,,,4,0,0,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 21:40:00,2.6,1006.8,2.3,96,2,,0,,1.6,,2.3,3.9,,,,,,4,0,0,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 21:50:00,2.6,1006.9,2.4,96,2,,0,,0,,2.3,3.9,,,,,,4,0,0,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 22:00:00,2.6,1007,1.9,97,2.2,,0,,0,,2.3,3.9,0,0,0,0,,4,0,0,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 22:10:00,2.6,1007,1.9,97,2.2,,0,,0,,2.3,3.9,,,,,,4,0,0,,,,,,@@@@4@@@,weatherlink
000ZO,2021-12-08 22:20:00,2.6,1007.1,2,97,2.2,,0,,0,,2.3,3.9,,,,,,4,0,0,,,,,,@@@@4@@@,weatherlink
