station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZP,2021-12-15 18:00:00,,,,,,,,,,,4.1,4.6,,,,0,,,,,,,,,,,wlkLivePostprocessed
000ZP,2021-12-15 20:20:00,4.4,1033.5,,100,4.3,,2.8,,14.5,50,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 20:30:00,4.4,1033.7,,100,4.3,,2.2,,8,40,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 20:40:00,4.4,1033.7,,100,4.4,,1.7,,6.4,48,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 20:50:00,4.4,1033.7,,100,4.3,,3.7,,9.7,40,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 21:00:00,4.4,1033.7,,100,4.4,,2.1,,6.4,42,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 21:10:00,4.4,1033.8,,100,4.3,,2.2,,12.9,54,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 21:20:00,4.4,1033.8,,100,4.4,,2.7,,12.9,43,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 21:30:00,4.5,1033.9,,100,4.4,,1.7,,6.4,50,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 21:40:00,4.6,1033.9,,100,4.5,,2.3,,9.7,67,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 21:50:00,4.6,1033.7,,100,4.5,,2,,8,47,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 22:00:00,4.6,1033.8,,100,4.6,,2.1,,9.7,46,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 22:10:00,4.7,1033.9,,100,4.6,,2.7,,11.3,62,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 22:20:00,4.7,1033.9,,100,4.7,,1,,6.4,69,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 22:30:00,4.7,1033.8,,100,4.7,,1.6,,6.4,79,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 22:40:00,4.7,1033.8,,100,4.6,,2.1,,9.7,73,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 22:50:00,4.7,1033.9,,100,4.7,,2.4,,6.4,73,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 23:00:00,4.7,1033.9,0.4,100,4.7,,2.5,,12.9,48,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 23:10:00,4.7,1033.8,0.3,100,4.7,,2.8,,11.3,59,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 23:20:00,4.8,1033.9,0.4,100,4.7,,1.8,,8,63,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 23:30:00,4.7,1034.1,0.6,100,4.7,,2.2,,8,79,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 23:40:00,4.8,1034,0.5,100,4.7,,2,,11.3,92,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-15 23:50:00,4.7,1034,0.5,100,4.7,,2.3,,11.3,69,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 00:00:00,4.7,1034,,100,4.6,,2.6,,6.4,78,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 00:10:00,4.7,1034,,100,4.7,,2.1,,8,73,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 00:20:00,4.8,1034.1,,100,4.8,,1.8,,8,65,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 00:30:00,4.9,1034.1,,100,4.8,,2.5,,8,77,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 00:40:00,4.9,1034.1,,100,4.9,,1.8,,6.4,88,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 00:50:00,4.9,1034,,100,4.9,,2,,9.7,73,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 01:00:00,4.9,1034,,100,4.9,,3,,16.1,63,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 01:10:00,5,1034,,100,5,,3.2,,11.3,62,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 01:20:00,5.1,1033.9,,100,5.1,,2.4,,8,87,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 01:30:00,5.1,1033.9,,100,5.1,,2.1,,8,96,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 01:40:00,5.2,1033.9,,100,5.1,,2.3,,8,62,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 01:50:00,5.2,1033.9,,100,5.1,,2.3,,11.3,75,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 02:00:00,5.2,1033.9,,100,5.2,,2.5,,6.4,69,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 02:10:00,5.3,1034.1,,100,5.2,,2.8,,9.7,61,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 02:20:00,5.3,1034.1,,100,5.2,,2.4,,11.3,69,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 02:30:00,5.3,1034.1,,99,5.2,,2.6,,9.7,62,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 02:40:00,5.3,1034.2,,99,5.2,,2.2,,8,66,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 02:50:00,5.4,1034.3,,99,5.3,,2.5,,9.7,65,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 03:00:00,5.4,1034.2,0.2,99,5.2,,2.8,,14.5,61,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 03:10:00,5.3,1034.2,0.2,99,5.1,,3.2,,11.3,65,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 03:20:00,5.2,1034.1,0.1,98,5,,3.3,,14.5,58,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 03:30:00,5.2,1034.3,0.3,98,4.9,,2.5,,14.5,44,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 03:40:00,5.2,1034.3,0.3,98,4.9,,2.5,,12.9,,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 03:50:00,5.2,1034.4,0.4,97,4.8,,2.3,,9.7,55,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 04:00:00,5.3,1034.5,0.5,97,4.9,,2.3,,12.9,86,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 04:10:00,5.3,1034.6,0.6,97,4.8,,2.8,,8,71,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 04:20:00,5.3,1034.6,0.6,97,4.8,,3.5,,12.9,61,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 04:30:00,5.3,1034.7,0.7,96,4.8,,3.3,,14.5,60,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 04:40:00,5.3,1034.8,0.8,96,4.8,,2.5,,11.3,55,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 04:50:00,5.3,1034.7,0.7,96,4.7,,3.2,,14.5,64,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 05:00:00,5.4,1034.8,0.9,96,4.7,,3.9,,16.1,86,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 05:10:00,5.4,1034.8,0.9,95,4.7,,3.3,,12.9,56,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 05:20:00,5.4,1035,1.1,95,4.8,,3.4,,14.5,52,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 05:30:00,5.4,1034.9,1,95,4.7,,2.7,,11.3,78,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 05:40:00,5.5,1034.9,1,95,4.7,,2.9,,11.3,83,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 05:50:00,5.5,1035,1.1,95,4.7,,2,,6.4,75,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 06:00:00,5.6,1035.1,0.9,94,4.6,,3.3,,14.5,85,4.3,5.6,0,,,0,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLivePostprocessed
000ZP,2021-12-16 06:10:00,5.6,1035.1,0.9,94,4.6,,2,,8,59,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 06:20:00,5.6,1035.1,0.9,94,4.7,,3.2,,14.5,66,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 06:30:00,5.6,1035.2,1,94,4.7,,2.4,,8,69,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 06:40:00,5.7,1035.3,1.1,93,4.6,,2.4,,11.3,61,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 06:50:00,5.7,1035.3,1.1,93,4.6,,2.8,,12.9,70,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 07:00:00,5.7,1035.3,0.8,93,4.7,,2.3,,8,57,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 07:10:00,5.7,1035.4,0.9,93,4.6,,2,,8,58,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 07:20:00,5.8,1035.6,1.1,93,4.7,,2.8,,11.3,77,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 07:30:00,5.8,1035.7,1.2,93,4.7,,2.5,,12.9,64,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 07:40:00,5.8,1035.7,1.2,93,4.7,,2.6,,8,55,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 07:50:00,5.8,1035.8,1.3,93,4.7,,2.7,,17.7,64,,,,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 08:00:00,5.9,1035.9,1.1,93,4.8,,2.7,,14.5,65,,,0,,,,,,0,,0,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 08:10:00,5.9,1036,1.2,92,4.8,,3,,12.9,68,,,,,,,,,0,,7,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 08:20:00,5.9,1036.1,1.3,92,4.7,,2.3,,9.7,89,,,,,,,,,0,,11,0,,,,0@@@@250.4@@@@,wlkLive
000ZP,2021-12-16 08:30:00,6.1,1036.1,1.3,92,4.8,,3.2,,11.3,71,,,,,,,,,0,,16,0,,,,0@@@@250.4@@@@,wlkLive
