station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZR,2021-12-16 20:40:00,8.3,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 20:50:00,8.4,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 21:00:00,8.3,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 21:10:00,8.4,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 21:20:00,8.3,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 21:30:00,8.3,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 21:40:00,8.3,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 21:50:00,8.3,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 22:00:00,8.2,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 22:10:00,8.2,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 22:20:00,8.2,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 22:30:00,8.1,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 22:40:00,8.1,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 22:50:00,8,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 23:00:00,7.9,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 23:10:00,7.9,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 23:20:00,7.9,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 23:30:00,7.8,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 23:40:00,7.7,,,85,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-16 23:50:00,7.7,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 00:00:00,7.5,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 00:10:00,7.1,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 00:20:00,6.7,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 00:30:00,6.4,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 00:40:00,6.1,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 00:50:00,5.9,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 01:00:00,5.8,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 01:10:00,5.6,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 01:20:00,5.3,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 01:30:00,5.2,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 01:40:00,5,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 01:50:00,4.9,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 02:00:00,5,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 02:10:00,5.2,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 02:20:00,5.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 02:30:00,5,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 02:40:00,4.9,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 02:50:00,4.6,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 03:00:00,4.4,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 03:10:00,4.2,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 03:20:00,4.1,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 03:30:00,4,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 03:40:00,4,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 03:50:00,4.1,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 04:00:00,3.9,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 04:10:00,3.7,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 04:20:00,3.5,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 04:30:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 04:40:00,3.4,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 04:50:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 05:00:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 05:10:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 05:20:00,3.9,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 05:30:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 05:40:00,3.9,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 05:50:00,3.9,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 06:00:00,3.8,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 06:10:00,3.7,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 06:20:00,3.8,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 06:30:00,3.7,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 06:40:00,3.9,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 06:50:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 07:00:00,3.9,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 07:10:00,3.8,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 07:20:00,3.6,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 07:30:00,3.6,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 07:40:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 07:50:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 08:00:00,3.6,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 08:10:00,3.7,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 08:20:00,3.7,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 08:30:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 08:40:00,3.9,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 08:50:00,4,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 09:00:00,3.9,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 09:10:00,4,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 09:20:00,4.1,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 09:30:00,4.2,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 09:40:00,4.3,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 09:50:00,4.4,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 10:00:00,4.5,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 10:10:00,4.7,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 10:20:00,5.2,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 10:30:00,5.7,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 10:40:00,6.2,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 10:50:00,6.7,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 11:00:00,7.1,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 11:10:00,7.4,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 11:20:00,7.9,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 11:30:00,8.3,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 11:40:00,8.7,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 11:50:00,8.9,,,85,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 12:00:00,9.1,,,85,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 12:10:00,9.4,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 12:20:00,9.6,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 12:30:00,9.7,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 12:40:00,9.8,,,82,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 12:50:00,9.8,,,84,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 13:00:00,9.8,,,82,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 13:10:00,9.8,,,82,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 13:20:00,9.5,,,82,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 13:30:00,9.6,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 13:40:00,9.3,,,82,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 13:50:00,8.8,,,83,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 14:00:00,8.1,,,86,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 14:10:00,8.2,,,87,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 14:20:00,8,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 14:30:00,7.6,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 14:40:00,7.5,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 14:50:00,7.3,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 15:00:00,7.4,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 15:10:00,7.3,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 15:20:00,7.2,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 15:30:00,7.2,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 15:40:00,7.2,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 15:50:00,7.2,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 16:00:00,7.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 16:10:00,7.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 16:20:00,7.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 16:30:00,7.1,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 16:40:00,7,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 16:50:00,7,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 17:00:00,7,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 17:10:00,6.9,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 17:20:00,6.9,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 17:30:00,6.9,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 17:40:00,6.8,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 17:50:00,6.8,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 18:00:00,6.7,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 18:10:00,6.7,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 18:20:00,6.7,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 18:30:00,6.7,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 18:40:00,6.8,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 18:50:00,6.7,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 19:00:00,6.8,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 19:10:00,6.8,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 19:20:00,6.8,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 19:30:00,6.8,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 19:40:00,6.8,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 19:50:00,6.9,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 20:00:00,6.8,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 20:10:00,6.9,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 20:20:00,6.9,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 20:30:00,7,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 20:40:00,7,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 20:50:00,7,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 21:00:00,7,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 21:10:00,6.9,,,88,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 21:20:00,6.8,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 21:30:00,6.6,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 21:40:00,6.5,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 21:50:00,6.1,,,89,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 22:00:00,5.7,,,90,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 22:10:00,5.5,,,91,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 22:20:00,5.4,,,92,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 22:30:00,5.2,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 22:40:00,4.9,,,93,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 22:50:00,4.8,,,94,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 23:00:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 23:10:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 23:20:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 23:30:00,4.7,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 23:40:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-17 23:50:00,4.5,,,95,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 00:00:00,4.4,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 00:10:00,4.4,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 00:20:00,4.3,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 00:30:00,4.2,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 00:40:00,4,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 00:50:00,4,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 01:00:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 01:10:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 01:20:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 01:30:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 01:40:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 01:50:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 02:00:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 02:10:00,3.6,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 02:20:00,3.6,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 02:30:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 02:40:00,3.6,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 02:50:00,3.7,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 03:00:00,3.6,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 03:10:00,3.4,,,96,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 03:20:00,3.2,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 03:30:00,3,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 03:40:00,2.8,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 03:50:00,2.6,,,97,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 04:00:00,2.5,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 04:10:00,2.4,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 04:20:00,2.4,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 04:30:00,2.4,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 04:40:00,2.4,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 04:50:00,2.3,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 05:00:00,2.3,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 05:10:00,2.3,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 05:20:00,2.2,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 05:30:00,2,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 05:40:00,2.1,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 05:50:00,2.2,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 06:00:00,2.2,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 06:10:00,2.3,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 06:20:00,2.2,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 06:30:00,2.1,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 06:40:00,2,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 06:50:00,2,,,98,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 07:00:00,2,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 07:10:00,1.9,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 07:20:00,1.8,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 07:30:00,1.8,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 07:40:00,1.7,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 07:50:00,1.6,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 08:00:00,1.7,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 08:10:00,1.6,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 08:20:00,1.6,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 08:30:00,1.6,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 08:40:00,1.6,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 08:50:00,1.5,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 09:00:00,1.3,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
000ZR,2021-12-18 09:10:00,1.3,,,99,,,,,,,,,,,,,,,,,,,,,,,oy1110
