station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ZS,2021-12-15 14:00:00,11,1026.9,,48,,,4.8,,,23,,,,,,,,,31,,,,,,,,wlk2webdl
000ZS,2021-12-15 14:30:00,10.5,1027.1,,50,,,3.2,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 15:00:00,9.9,1027.1,,53,,,6.4,20.9,,45,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 15:30:00,9.3,1027.4,,55,,,4.8,,,45,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 16:00:00,9.6,1028,,55,,,4.8,19.3,,23,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 16:30:00,8.9,1028.3,,58,,,4.8,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 17:00:00,8.5,1028.4,,59,,,3.2,22.5,,90,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 17:30:00,8.7,1028.6,,57,,,4.8,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 18:00:00,8.7,1028.9,,55,,,4.8,17.7,,45,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 18:30:00,9.6,1029,,46,,,3.2,,,45,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 19:00:00,9.6,1029.2,,51,,,6.4,17.7,,338,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 19:30:00,9.2,1029.5,,61,,,6.4,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 20:00:00,9.1,1029.5,,67,,,6.4,20.9,,0,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 20:30:00,8.9,1029.6,,64,,,4.8,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 21:00:00,8.7,1029.8,,63,,,4.8,24.1,,23,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 21:30:00,4.7,1030.3,,74,,,3.2,,,135,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 22:00:00,2.9,1030.6,,80,,,1.6,12.9,,158,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 22:30:00,2.3,1030.7,,83,,,1.6,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 23:00:00,2.8,1030.3,,79,,,0,6.4,,0,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-15 23:30:00,1.3,1030.4,,84,,,1.6,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 00:00:00,0.6,1030.6,,87,,,0,9.7,,135,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 00:30:00,0.1,1030.7,,89,,,0,,,293,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 01:00:00,0.1,1030.8,,90,,,0,4.8,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 01:30:00,-0.3,1030.8,,92,,,0,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 02:00:00,-0.1,1030.7,,90,,,1.6,6.4,,45,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 02:30:00,-0.3,1030.9,,91,,,0,,,90,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 03:00:00,-0.7,1030.9,,92,,,0,6.4,,90,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 03:30:00,0.2,1030.9,,91,,,3.2,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 04:00:00,0.4,1031,,89,,,3.2,14.5,,203,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 04:30:00,0.7,1031.1,,89,,,4.8,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 05:00:00,0.4,1031,,88,,,3.2,12.9,,225,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 05:30:00,8.3,1030.9,,59,,,6.4,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 06:00:00,9.6,1030.9,,52,,,12.9,33.8,,23,-0.7,9.7,0,0,0,0,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 06:30:00,9.8,1030.8,,49,,,12.9,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 07:00:00,10.3,1031.1,,46,,,11.3,35.4,,0,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 07:30:00,10,1031.4,,46,,,12.9,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 08:00:00,10.3,1031.5,,44,,,14.5,40.2,,23,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 08:30:00,12.1,1031.3,,27,,,8,,,45,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 09:00:00,13.3,1031.4,,25,,,11.3,24.1,,0,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 09:30:00,13.2,1031.5,,26,,,11.3,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 10:00:00,13.3,1031.1,,22,,,12.9,33.8,,0,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 10:30:00,14.1,1030.9,,19,,,11.3,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 11:00:00,14.2,1030.6,,18,,,11.3,30.6,,0,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 11:30:00,14.7,1030.3,,19,,,11.3,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 12:00:00,14.9,1030.1,,19,,,11.3,30.6,,23,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 12:30:00,14.9,1029.7,,18,,,12.9,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 13:00:00,15.2,1029.5,,20,,,9.7,29,,23,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 13:30:00,14.2,1029.5,,17,,,12.9,,,0,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 14:00:00,13.3,1029.7,,20,,,11.3,33.8,,23,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 14:30:00,12.6,1029.8,,22,,,6.4,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 15:00:00,12.3,1030,,22,,,8,24.1,,23,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 15:30:00,12.2,1030,,23,,,8,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 16:00:00,11.8,1030.2,,24,,,6.4,22.5,,23,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 16:30:00,11.9,1030.1,,21,,,8,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 17:00:00,11.5,1030.2,,20,,,9.7,24.1,,23,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 17:30:00,11.2,1030.3,,22,,,8,,,23,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 18:00:00,11.2,1030.2,,23,,,9.7,27.4,,23,9.6,15.2,0,0,0,0,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 18:30:00,3.1,1030.4,,55,,,8,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 19:00:00,1.6,1030.3,,62,,,3.2,17.7,,203,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 19:30:00,1.4,1030.2,,62,,,3.2,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 20:00:00,0.4,1030.4,,65,,,4.8,16.1,,180,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 20:30:00,-0.2,1030.7,,68,,,4.8,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 21:00:00,-1.1,1030.3,,72,,,1.6,11.3,,180,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 21:30:00,-1.8,1030.4,,75,,,0,,,158,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 22:00:00,-1.9,1030.9,,76,,,0,4.8,,135,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 22:30:00,-2.3,1030.7,,77,,,0,,,113,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 23:00:00,-2.8,1030.6,,78,,,0,4.8,,113,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-16 23:30:00,-2.9,1030.6,,80,,,0,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 00:00:00,-3.3,1030.6,,82,,,0,4.8,,203,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 00:30:00,-3.3,1030.5,,82,,,0,,,113,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 01:00:00,-3.7,1030.9,,84,,,0,3.2,,113,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 01:30:00,-3.3,1030.9,,82,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 02:00:00,-4,1030.7,,85,,,0,6.4,,180,,,0,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 02:30:00,-4.1,1030.5,,87,,,0,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 03:00:00,-3.9,1030.6,,85,,,4.8,11.3,,45,,,0,0,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 03:30:00,-4.3,1030.9,,85,,,0,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000ZS,2021-12-17 03:50:00,-3.3,1030.3,,83,-5.6,,3.2,,8,240,-4.2,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@9.7@22.1@21.8@22.6@2:32am@1:01am@-3.9@-3.3@0@39@39@45@3:44am@12:39am@2400@1527@+0100,wlkIPxml
000ZS,2021-12-17 04:00:00,-3.8,1030.6,,85,-6.1,,4.8,,9.7,169,-4.2,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@11.3@22.1@21.8@22.6@2:32am@1:01am@-6.1@-3.9@0@39@39@45@3:44am@12:39am@2400@1527@+0100,wlkIPxml
000ZS,2021-12-17 04:20:00,-4.1,1030.6,,85,-6.1,,0,,1.6,196,-4.2,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@11.3@21.8@21.8@22.6@4:16am@1:01am@-3.9@-3.9@0@39@39@45@3:44am@12:39am@2400@1527@+0100,wlkIPxml
000ZS,2021-12-17 04:30:00,-4.3,1030.9,,85,-6.7,,0,,0,196,-4.3,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@11.3@21.7@21.7@22.6@4:25am@1:01am@-4.4@-4.4@0@39@39@45@3:44am@12:39am@2400@1629@+0100,wlkIPxml
000ZS,2021-12-17 04:40:00,-4.1,1030.9,,87,-6.1,,1.6,,6.4,355,-4.4,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@11.3@21.7@21.6@22.6@4:31am@1:01am@-5.6@-3.9@0@39@39@45@3:44am@12:39am@2400@1631@+0100,wlkIPxml
000ZS,2021-12-17 04:50:00,-3.9,1030.8,,86,-6.1,,4.8,,9.7,10,-4.4,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@11.3@22.1@21.6@22.6@4:31am@1:01am@-5@-3.9@0@38@38@45@4:45am@12:39am@2400@1631@+0100,wlkIPxml
000ZS,2021-12-17 05:00:00,-3.1,1030.7,,83,-5.6,,6.4,,9.7,15,-4.4,-2.8,0,,,,,0,0,0,,,,,,@@@@0.4@@@12.9@22.2@21.6@22.6@4:31am@1:01am@-5.6@-3.3@0@38@38@45@4:45am@12:39am@2400@1631@+0100,wlkIPxml
000ZS,2021-12-17 05:10:00,-3.2,1031,,82,-6.1,,4.8,,11.3,184,-4.4,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@12.9@22.2@21.6@22.6@4:31am@1:01am@-5@-3.3@0@38@38@45@4:45am@12:39am@2400@1631@+0100,wlkIPxml
000ZS,2021-12-17 05:20:00,-3.6,1030.9,,83,-6.1,,1.6,,4.8,38,-4.4,-2.8,,,,,,0,0,0,,,,,,@@@@0.4@@@12.9@22.2@21.6@22.6@4:31am@1:01am@-3.3@-3.3@0@38@38@45@4:45am@12:39am@2400@1631@+0100,wlkIPxml
