"station_id","dh_utc","temperature","pression","pression_variation_3h","humidite","point_de_rosee","visibilite","vent_moyen","vent_rafales","vent_rafales_10min","vent_direction","temperature_min","temperature_max","pluie_1h","pluie_3h","pluie_6h","pluie_12h","pluie_24h","ensoleillement","temperature_sol","temps_omm","source","radiations","neige_au_sol","nebulosite","raw_msg"
7110,"2000-01-01 00:00:00",9.5,1024.7,0.4,97,9,12000,11.112,"","",240,"","","","","","","","","","","og-post","","","","AAXX 01004 07110 32462 42406 10095 20090 30131 40247 52004 84500 333 82610 83629="
7110,"2000-01-01 01:00:00",9.7,1024.6,0.2,97,9.2,12000,7.408,"","",250,"","","","","","","","","","","og-post","","","","AAXX 01014 07110 32462 72504 10097 20092 30130 40246 50002 878// 333 83813 85629="
7110,"2000-01-01 02:00:00",9.9,1024.8,0.2,97,9.4,10000,7.408,"","",240,"","","","","","","","","","","og-post","","","","AAXX 01024 07110 32460 62404 10099 20094 30132 40248 53002 86800 333 84611 85626="
7110,"2000-01-01 03:00:00",9.8,1025,0.3,98,9.5,3000,11.112,"","",240,"","","",0.4,"","","","","",50,"og-post","","","","AAXX 01034 07110 21130 82406 10098 20095 30134 40250 53003 75051 87700 333 69947 87702="
7110,"2000-01-01 04:00:00",9.9,1024.9,0.3,98,9.6,3000,11.112,"","",230,"","",0.2,"","","","","","",51,"og-post","","","","AAXX 01044 07110 21130 82306 10099 20096 30133 40249 50003 75155 87700 333 69925 87703="
7110,"2000-01-01 05:00:00",10.1,1024.9,0.1,99,9.9,3000,7.408,"","",230,"","",0.4,"","","","","","",51,"og-post","","","","AAXX 01054 07110 21130 82304 10101 20099 30133 40249 51001 75155 87700 333 69945 87703="
7110,"2000-01-01 06:00:00",10.4,1025,0,99,10.2,3000,7.408,"","",240,8.9,10.4,"",0.8,"",1,2.8,"",8,51,"og-post","","","","AAXX 01064 07110 01130 82404 10104 20102 30134 40250 55000 60012 75151 87700 333 10104 20089 3/008 55000 69987 70028 87703="
7110,"2000-01-01 07:00:00",10.6,1025.5,0.6,99,10.4,2500,7.408,"","",240,"","",0.2,"","","","","","",50,"og-post","","","","AAXX 01074 07110 21125 82404 10106 20104 30139 40255 53006 75055 87700 333 69925 87703="
7110,"2000-01-01 08:00:00",10.7,1025.8,0.9,99,10.5,2500,7.408,"","",240,"","","","","","","","","",50,"og-post","","","","AAXX 01084 07110 21125 82404 10107 20105 30142 40258 53009 75055 87700 333 69905 87703="
7110,"2000-01-01 09:00:00",10.9,1026.2,1.2,99,10.7,2500,11.112,"","",250,"","","",0.4,"","","","","",50,"og-post","","","","AAXX 01094 07110 21125 82506 10109 20107 30146 40262 51012 75055 87700 333 69947 87703="
7110,"2000-01-01 10:00:00",11,1026.5,1,99,10.8,2000,11.112,"","",240,"","","","","","","","","",20,"og-post","","","","AAXX 01104 07110 21120 82406 10110 20108 30149 40265 52010 72052 87700 333 69905 87703="
7110,"2000-01-01 11:00:00",11.1,1026.8,1,99,10.9,2000,11.112,"","",240,"","","","","","","","","",10,"og-post","","","","AAXX 01114 07110 31120 82406 10111 20109 30152 40268 51010 71022 87700 333 87703="
7110,"2000-01-01 12:00:00",11.5,1026.3,0.1,99,11.3,1500,7.408,"","",230,"","","","",0.4,"","","","",10,"og-post","","","","AAXX 01124 07110 01115 82304 10115 20113 30147 40263 50001 69941 71052 877// 333 69907 87702="
7110,"2000-01-01 13:00:00",11.6,1025.8,-0.6,99,11.4,2000,11.112,"","",230,"","",0.2,"","","","","","",50,"og-post","","","","AAXX 01134 07110 21220 82306 10116 20114 30143 40258 58006 75052 877// 333 69925 87704="
7110,"2000-01-01 14:00:00",11.7,1025.7,-1,99,11.5,4000,7.408,"","",230,"","","","","","","","","",20,"og-post","","","","AAXX 01144 07110 21140 82304 10117 20115 30142 40257 56010 72052 877// 333 69905 87703="
7110,"2000-01-01 15:00:00",11.5,1025.6,-0.6,99,11.3,3500,7.408,"","",230,"","","",0.4,"","","","","",50,"og-post","","","","AAXX 01154 07110 21235 82304 10115 20113 30141 40256 56006 75052 877// 333 69947 87704="
7110,"2000-01-01 16:00:00",11.1,1026,0.1,99,10.9,50000,7.408,"","",210,"","","","","","","","","",20,"og-post","","","","AAXX 01164 07110 21184 82104 10111 20109 30144 40260 53001 72052 876// 333 69905 82703 87706="
7110,"2000-01-01 17:00:00",10.9,1026.2,0.4,99,10.7,3500,7.408,"","",240,"","","","","","","","","",28,"og-post","","","","AAXX 01174 07110 31235 82404 10109 20107 30146 40262 53004 72842 876// 333 82705 87709="
7110,"2000-01-01 19:00:00",10.8,1026.7,0.7,99,10.6,2000,7.408,"","",210,"","","","","","","","","",20,"og-post","","","","AAXX 01194 07110 21120 82104 10108 20106 30151 40267 52007 72052 877// 333 69905 87703="
7110,"2000-01-01 20:00:00",10.7,1027,0.8,99,10.5,400,7.408,"","",220,"","","","","","","","","",46,"og-post","","","","AAXX 01204 07110 31104 82204 10107 20105 30154 40270 52008 74642 887// 333 88702="
7110,"2000-01-01 21:00:00",10.9,1027.1,0.6,99,10.7,500,11.112,"","",210,"","","",0.2,"","","","","",42,"og-post","","","","AAXX 01214 07110 21005 82106 10109 20107 30155 40271 51006 74254 887// 333 69927 88701="
7110,"2000-01-01 22:00:00",11,1027.3,0.6,99,10.8,600,7.408,"","",230,"","","","","","","","","",46,"og-post","","","","AAXX 01224 07110 31006 82304 10110 20108 30157 40273 51006 74644 887// 333 88701="
7110,"2000-01-01 23:00:00",11,1027.3,0.3,99,10.8,2000,11.112,"","",240,"","",0.2,"","","","","","","","og-post","","","","AAXX 01234 07110 26/20 /2406 10110 20108 30157 40273 51003 333 69925="
