station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,ensoleillement,temperature_sol,temps_omm,source,radiations,neige_au_sol,nebulosite,raw_msg
07240,2007-01-01 00:00:00,12.8,1024.1,-0.6,96,12.2,9000,29.632,50.004,,210,,,2,7,9,,,,,61,og-post,,,,AAXX 01004 07240 01459 82116 10128 20122 30107 40241 58006 60091 76162 878// 333 60077 85811 87616 90710 91127 93100 555 60025=
07240,2007-01-01 01:00:00,12.7,1023.6,-1.2,96,12.1,26000,29.632,46.3,,210,,,1,,,,,,,61,og-post,,,,AAXX 01014 07240 24376 82116 10127 20121 30102 40236 58012 761// 333 60015 90710 91125=
07240,2007-01-01 02:00:00,12.6,1024.1,-0.5,86,10.3,11000,31.484,64.82,64.82,250,,,2,,,,,,,60,og-post,,,,AAXX 01024 07240 24361 82517 10126 20103 30107 40241 55005 760// 333 60025 91035 90710 91135=
07240,2007-01-01 03:00:00,12.2,1024.2,0.1,83,9.4,35000,25.928,42.596,,230,,,,3,,,,,,0,og-post,,,,AAXX 01034 07240 24681 82314 10122 20094 30108 40242 53001 700// 333 60037 90710 91123 555 69905=
07240,2007-01-01 04:00:00,11.2,1024.6,0.9,85,8.8,28000,25.928,35.188,,230,,,0,,,,,,,0,og-post,,,,AAXX 01044 07240 24578 72314 10112 20088 30111 40246 51009 700// 333 60005 90710 91119=
07240,2007-01-01 05:00:00,10.3,1024.8,0.6,87,8.2,15000,25.928,38.892,,240,,,0,,,,,,,,og-post,,,,AAXX 01054 07240 22565 52414 10103 20082 30113 40248 53006 85800 333 60005 83820 83640 90710 91121=
07240,2007-01-01 06:00:00,10,1024.9,0.5,88,8.1,15000,22.224,64.82,,230,9.9,13.3,0,0,,12,14.6,0,9,2,og-post,,,,AAXX 01064 07240 01565 52312 10100 20081 30113 40249 51005 60122 70262 85800 333 10133 20099 32009 55000 60007 70146 83820 83640 91135 555 60005=
07240,2007-01-01 07:00:00,9.5,1025.7,1,87,7.4,15000,29.632,46.3,,230,,,0,,,,,,,,og-post,,,,AAXX 01074 07240 22665 12316 10095 20074 30121 40257 53010 81500 333 60005 81640 90710 91125 93100=
07240,2007-01-01 08:00:00,9.2,1026.6,1.7,87,7.2,15000,22.224,38.892,,230,,,0,,,,,,,,og-post,,,,AAXX 01084 07240 22465 32312 10092 20072 30130 40266 53017 81130 333 60005 81815 83359 90710 91121 93100=
07240,2007-01-01 09:00:00,9,1027.1,2.2,86,6.8,25000,18.52,38.892,,240,,,0,0,,,,,,,og-post,,,,AAXX 01094 07240 22475 12410 10090 20068 30135 40271 51022 81130 333 60007 81816 90710 91121 93100 555 60005=
07240,2007-01-01 10:00:00,10.3,1027.6,1.9,80,7,25000,22.224,31.484,,240,,,0,,,,,,,,og-post,,,,AAXX 01104 07240 22975 42412 10103 20070 30140 40276 51019 80002 333 60005 84075 90710 91117 93100=
07240,2007-01-01 11:00:00,9.9,1028.3,1.7,80,6.6,30000,14.816,31.484,,240,,,0,,,,,,,,og-post,,,,AAXX 01114 07240 22580 72408 10099 20066 30147 40283 53017 81172 333 60005 81820 83362 85075 90710 91117 93100=
07240,2007-01-01 12:00:00,10,1027.6,0.5,81,6.9,25000,14.816,22.224,,240,,,0,0,,,,,,,og-post,,,,AAXX 01124 07240 02575 72408 10100 20069 30140 40276 50005 60001 81172 333 60007 81820 85364 85075 90710 91112 93100 555 60005=
07240,2007-01-01 13:00:00,10.3,1026.8,-0.8,77,6.5,25000,14.816,25.928,,230,,,0,,,,,,,,og-post,,,,AAXX 01134 07240 22575 72308 10103 20065 30132 40268 58008 82872 333 60005 81820 85364 85075 90710 91114 93100=
07240,2007-01-01 14:00:00,10.4,1025.7,-2.5,79,6.9,20000,11.112,22.224,,220,,,0,,,,,,,,og-post,,,,AAXX 01144 07240 22670 72206 10104 20069 30122 40257 58025 8357/ 333 60005 83646 87362 90710 91112 93100=
07240,2007-01-01 15:00:00,10.1,1024.6,-2.9,80,6.8,15000,11.112,18.52,,180,,,0,0,,,,,,,og-post,,,,AAXX 01154 07240 22565 81806 10101 20068 30111 40246 58029 8357/ 333 60007 83626 87360 90710 91110 93100 555 60005=
07240,2007-01-01 16:00:00,9.1,1023.4,-3.4,70,3.9,10000,22.224,38.892,,220,,,0.2,,,,,,,61,og-post,,,,AAXX 01164 07240 21560 82212 10091 20039 30098 40234 58034 76162 878// 333 69925 82826 87646 90710 91121 93100=
07240,2007-01-01 17:00:00,6.2,1021.2,-4.7,90,4.7,8000,25.928,38.892,,150,,,8,,,,,,,21,og-post,,,,AAXX 01174 07240 21458 71514 10062 20047 30075 40212 58047 72162 878// 333 60085 84810 85626 90710 91121 93100=
