station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
CAYOLLE,2021-08-19 12:20:00,10.4,1026.01,,67,4.6,,8.5,,9.86,123,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 12:30:00,9.8,1025.71,,69,4.5,,8.6,,13.86,231,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.87@@@@@@@0,csv
CAYOLLE,2021-08-19 12:40:00,9.9,1025.81,,69,4.5,,13.7,,24.59,260,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.85@@@@@@@0,csv
CAYOLLE,2021-08-19 12:50:00,10.2,1025.81,,66,4.3,,9.5,,13.86,282,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 13:00:00,10.6,1025.81,,65,4.4,,9.8,,29.27,299,,,0,0,0,0,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@0.2534389@13.84@@9.7@10.8@@@182@0,csv
CAYOLLE,2021-08-19 13:10:00,10.7,1025.81,,63,4,,8.9,,24.59,342,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0.7,csv
CAYOLLE,2021-08-19 13:20:00,10.8,1025.61,,63,4.1,,11.6,,21.85,325,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 13:30:00,11,1025.81,,62,4.2,,14.4,,28.62,5,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 13:40:00,10.8,1025.91,,59,3.3,,15.8,,35.75,328,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 13:50:00,11.2,1025.71,,61,4,,9.7,,18.43,295,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 14:00:00,11.9,1025.81,,59,4.3,,11.8,,22.18,261,,,0.7,0.7,0.7,0.7,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@0.5293608@13.84@@10.5@11.9@@@198@0,csv
CAYOLLE,2021-08-19 14:10:00,11.9,1025.51,,59,4.2,,13.4,,21.6,285,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 14:20:00,11.3,1025.61,,59,3.7,,13,,28.98,302,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.84@@@@@@@0,csv
CAYOLLE,2021-08-19 14:30:00,11.1,1025.51,,62,4.2,,15.4,,24.8,278,,,,,,,,,,,,,,,,@@@@@@@@@@@@@@@@@@@@@@@@@13.81@@@@@@@0,csv
